epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9368,2.859,2.96579,3.85731,0.49626,0.50494,0.48283,0.1945,2.09298,1.99796,3.08485,0.00333025,0.00333025,0.00333025
2,120.759,1.48871,1.32007,2.23198,0.95038,0.9351,0.97808,0.65779,1.10027,0.79928,1.733,0.00664159,0.00664159,0.00664159
3,177.188,0.9167,0.70731,1.56966,0.93196,0.93975,0.9741,0.67214,1.03452,0.70661,1.84926,0.00993093,0.00993093,0.00993093
4,232.424,0.76589,0.54517,1.41952,0.98579,0.98622,0.99428,0.86444,0.54349,0.38974,1.14018,0.009901,0.009901,0.009901
5,287.911,0.69029,0.47334,1.34802,0.99441,0.98964,0.99486,0.90621,0.46209,0.30994,1.07044,0.009868,0.009868,0.009868
6,343.337,0.64633,0.43236,1.31168,0.99066,0.99567,0.99479,0.90227,0.43952,0.29108,1.04127,0.009835,0.009835,0.009835
7,398.643,0.62068,0.40815,1.29605,0.99587,0.99444,0.99489,0.91618,0.42907,0.26364,1.03154,0.009802,0.009802,0.009802
8,454.017,0.60152,0.38723,1.27498,0.99015,0.99629,0.99452,0.91808,0.39988,0.25144,1.01277,0.009769,0.009769,0.009769
9,509.597,0.58614,0.37415,1.26469,0.99244,0.99815,0.99448,0.92887,0.39709,0.23238,1.01184,0.009736,0.009736,0.009736
10,565.16,0.57703,0.36604,1.25413,0.99323,0.99709,0.99491,0.92742,0.39439,0.23102,1.00217,0.009703,0.009703,0.009703
11,621.014,0.56692,0.35528,1.24763,0.99628,0.99336,0.99486,0.93057,0.39198,0.2268,0.99508,0.00967,0.00967,0.00967
12,678.396,0.55495,0.34558,1.23187,0.99568,0.99668,0.99491,0.93308,0.37428,0.21397,0.98543,0.009637,0.009637,0.009637
13,736.065,0.54817,0.33224,1.2331,0.99595,0.99629,0.99496,0.93015,0.37995,0.21397,0.9911,0.009604,0.009604,0.009604
14,792.555,0.54601,0.3322,1.23113,0.99385,0.99911,0.99492,0.93357,0.37212,0.2093,0.98476,0.009571,0.009571,0.009571
15,848.631,0.53699,0.32416,1.22275,0.99454,0.99567,0.99493,0.93942,0.36489,0.19812,0.9805,0.009538,0.009538,0.009538
16,904.733,0.53176,0.32109,1.21355,0.99495,0.99815,0.9949,0.93473,0.37565,0.20204,0.97818,0.009505,0.009505,0.009505
17,960.576,0.52617,0.31539,1.21641,0.99507,0.99815,0.99494,0.94348,0.35442,0.18994,0.9725,0.009472,0.009472,0.009472
18,1016.09,0.5244,0.31053,1.21119,0.99866,0.99815,0.99499,0.94253,0.35606,0.18004,0.96864,0.009439,0.009439,0.009439
