epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1022,0.54683,1.03248,1.09405,0.99259,0.99574,0.9948,0.88242,0.47448,0.4998,1.05379,0.00332226,0.00332226,0.00332226
2,129.26,0.56757,0.47418,1.07881,0.65785,0.64064,0.62739,0.19023,2.44897,1.68269,3.62545,0.0065897,0.0065897,0.0065897
3,183.386,0.63882,0.43408,1.12091,0.37089,0.51549,0.34516,0.09384,2.38403,2.93256,4.88504,0.00979115,0.00979115,0.00979115
4,237.258,0.6516,0.40906,1.13068,0.9137,0.97082,0.98566,0.8578,0.52482,0.4154,1.14034,0.009703,0.009703,0.009703
5,291.204,0.60121,0.35929,1.0991,0.98144,0.98885,0.9945,0.87766,0.53736,0.31832,1.0785,0.009604,0.009604,0.009604
6,345.221,0.57167,0.33703,1.0835,0.98618,0.98637,0.99453,0.88796,0.49411,0.29052,1.10479,0.009505,0.009505,0.009505
7,399.137,0.55633,0.31994,1.07773,0.98761,0.98784,0.99467,0.89935,0.46178,0.27372,1.04576,0.009406,0.009406,0.009406
8,453.086,0.54659,0.30999,1.06918,0.99066,0.99318,0.99461,0.92056,0.43083,0.24466,1.0306,0.009307,0.009307,0.009307
9,506.946,0.53115,0.29915,1.06107,0.99737,0.99752,0.99484,0.92453,0.39829,0.21205,0.98902,0.009208,0.009208,0.009208
10,560.982,0.52467,0.295,1.05689,0.99723,0.99442,0.99499,0.92965,0.40397,0.21307,0.99236,0.009109,0.009109,0.009109
11,615.026,0.5114,0.28388,1.04831,0.99383,0.99761,0.99487,0.91686,0.40269,0.22079,0.99279,0.00901,0.00901,0.00901
12,669.017,0.50532,0.27877,1.04498,0.99765,0.99442,0.99498,0.93912,0.38575,0.2061,0.98296,0.008911,0.008911,0.008911
13,722.881,0.50001,0.27554,1.04357,0.99506,0.99856,0.99499,0.9373,0.38077,0.20912,0.98041,0.008812,0.008812,0.008812
14,776.874,0.4974,0.27371,1.0415,0.99814,0.99809,0.99499,0.94496,0.37113,0.19298,0.9617,0.008713,0.008713,0.008713
15,830.812,0.49091,0.2693,1.03672,0.9969,0.9972,0.995,0.93376,0.37437,0.19342,0.97315,0.008614,0.008614,0.008614
