epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7691,3.09327,3.35621,4.14908,0.01999,0.10657,0.01835,0.00485,2.61129,3.55572,4.11612,0.00332251,0.00332251,0.00332251
2,130.755,2.00288,1.97488,2.79885,0.91238,0.86865,0.9483,0.65815,1.09695,0.97272,1.81581,0.00663388,0.00663388,0.00663388
3,183.766,1.01645,0.79215,1.6645,0.94666,0.93804,0.98132,0.73638,0.82635,0.63689,1.40676,0.00992325,0.00992325,0.00992325
4,235.216,0.78212,0.53703,1.42357,0.99098,0.98885,0.99477,0.86293,0.55356,0.36191,1.1112,0.009901,0.009901,0.009901
5,286.585,0.69623,0.46701,1.35129,0.98712,0.99687,0.99458,0.89097,0.47533,0.31257,1.07507,0.009868,0.009868,0.009868
6,337.851,0.6618,0.42976,1.32657,0.99292,0.99814,0.99494,0.90969,0.44295,0.27715,1.03407,0.009835,0.009835,0.009835
7,389.4,0.63062,0.40754,1.29477,0.99193,0.9904,0.99489,0.90209,0.45481,0.27886,1.05208,0.009802,0.009802,0.009802
8,442.875,0.61448,0.39261,1.28062,0.99646,0.99566,0.99495,0.91689,0.408,0.24884,1.01573,0.009769,0.009769,0.009769
9,496.623,0.59653,0.37378,1.26671,0.99565,0.99306,0.99496,0.9191,0.4028,0.25451,1.00364,0.009736,0.009736,0.009736
10,550.174,0.58936,0.36627,1.26646,0.99404,0.99504,0.99494,0.92432,0.39575,0.24246,1.0043,0.009703,0.009703,0.009703
11,604.392,0.57191,0.35395,1.25196,0.99443,0.99638,0.99495,0.92852,0.38307,0.22789,0.98304,0.00967,0.00967,0.00967
12,656.756,0.56774,0.34735,1.24775,0.99482,0.99628,0.99499,0.92816,0.3873,0.22787,0.99285,0.009637,0.009637,0.009637
13,709.33,0.55724,0.3396,1.23996,0.99568,0.99869,0.99498,0.93084,0.37831,0.21195,0.98997,0.009604,0.009604,0.009604
14,761.907,0.55404,0.33576,1.23997,0.99896,0.99566,0.995,0.92786,0.38613,0.22089,0.99587,0.009571,0.009571,0.009571
15,813.512,0.546,0.32597,1.22797,0.9969,0.99589,0.99499,0.92925,0.37581,0.20425,0.97947,0.009538,0.009538,0.009538
16,865.57,0.54231,0.3233,1.22586,0.99691,0.99799,0.99499,0.93738,0.37769,0.20288,0.98509,0.009505,0.009505,0.009505
17,914.28,0.53553,0.31708,1.22116,0.99506,0.99917,0.99499,0.92865,0.36441,0.1989,0.97314,0.009472,0.009472,0.009472
18,962.817,0.53124,0.3133,1.2167,0.99752,0.9979,0.99498,0.93207,0.36851,0.19603,0.97495,0.009439,0.009439,0.009439
19,1011.08,0.52564,0.30875,1.21289,0.99752,0.99598,0.995,0.93772,0.36517,0.19717,0.9693,0.009406,0.009406,0.009406
20,1059.1,0.52448,0.30481,1.21258,0.99814,0.99858,0.99496,0.94046,0.35629,0.192,0.96573,0.009373,0.009373,0.009373
21,1107.48,0.52297,0.30367,1.21036,0.99506,0.99897,0.99497,0.93567,0.37266,0.19444,0.97274,0.00934,0.00934,0.00934
22,1156.05,0.51995,0.30174,1.20998,0.9992,0.99876,0.99499,0.94095,0.35324,0.17683,0.96439,0.009307,0.009307,0.009307
23,1206.12,0.5136,0.29508,1.20347,0.99927,0.99814,0.995,0.94547,0.35213,0.17665,0.9628,0.009274,0.009274,0.009274
24,1256.27,0.51311,0.29345,1.20296,0.99814,0.99974,0.99498,0.94114,0.34691,0.17566,0.96081,0.009241,0.009241,0.009241
25,1304.71,0.51008,0.29184,1.20034,0.9963,0.99994,0.995,0.94205,0.35019,0.1772,0.965,0.009208,0.009208,0.009208
26,1353.06,0.5047,0.29025,1.19837,0.99691,0.99844,0.995,0.9441,0.34524,0.17807,0.95523,0.009175,0.009175,0.009175
27,1401.36,0.50905,0.28903,1.19529,0.99825,0.99814,0.995,0.94187,0.34755,0.17686,0.95485,0.009142,0.009142,0.009142
28,1449.43,0.50153,0.28635,1.18861,0.99745,0.99938,0.99491,0.94541,0.34625,0.17233,0.95406,0.009109,0.009109,0.009109
29,1497.87,0.50529,0.28722,1.19306,0.99753,0.99904,0.99499,0.9448,0.34346,0.17226,0.95378,0.009076,0.009076,0.009076
30,1547.38,0.49789,0.28105,1.1855,0.99859,0.99938,0.995,0.94586,0.34083,0.16715,0.95344,0.009043,0.009043,0.009043
31,1597.11,0.4979,0.28293,1.18605,0.99549,0.99938,0.995,0.94401,0.34331,0.16981,0.9561,0.00901,0.00901,0.00901
32,1645.68,0.49929,0.27948,1.1947,0.99707,0.99876,0.995,0.95163,0.33964,0.16106,0.95146,0.008977,0.008977,0.008977
33,1694.44,0.49686,0.27721,1.18694,0.99567,0.99802,0.99499,0.94739,0.34186,0.16592,0.9511,0.008944,0.008944,0.008944
34,1743.02,0.49535,0.27414,1.18695,0.99753,0.99972,0.995,0.95149,0.3345,0.16105,0.94962,0.008911,0.008911,0.008911
35,1792.24,0.48816,0.27326,1.17996,0.99876,0.99855,0.995,0.94785,0.334,0.16117,0.94839,0.008878,0.008878,0.008878
36,1841.61,0.48514,0.27055,1.17742,0.99876,0.99876,0.99499,0.95172,0.33474,0.16066,0.94238,0.008845,0.008845,0.008845
37,1890.96,0.48585,0.27108,1.17734,0.99865,0.99814,0.99499,0.95058,0.32877,0.15601,0.94266,0.008812,0.008812,0.008812
38,1939.32,0.48653,0.26865,1.18249,0.99809,0.99938,0.99496,0.95225,0.33851,0.15691,0.9498,0.008779,0.008779,0.008779
39,1987.67,0.48689,0.27015,1.17679,0.99752,0.99875,0.995,0.95434,0.33083,0.15321,0.94329,0.008746,0.008746,0.008746
40,2036.62,0.4853,0.26714,1.17391,0.99852,1,0.995,0.95181,0.32817,0.15482,0.93844,0.008713,0.008713,0.008713
41,2084.69,0.48732,0.26807,1.17451,0.9987,0.99938,0.995,0.95427,0.33131,0.15517,0.94106,0.00868,0.00868,0.00868
42,2133.44,0.48347,0.26756,1.16904,0.99906,1,0.995,0.95316,0.3287,0.15023,0.93898,0.008647,0.008647,0.008647
43,2181.65,0.48012,0.26465,1.16699,0.99799,1,0.99498,0.95199,0.32462,0.14926,0.93489,0.008614,0.008614,0.008614
44,2229.69,0.48127,0.26534,1.16388,0.99814,0.99938,0.99498,0.95185,0.33629,0.15237,0.94292,0.008581,0.008581,0.008581
45,2278.18,0.47889,0.26258,1.16795,0.99931,1,0.995,0.95337,0.32807,0.14831,0.93804,0.008548,0.008548,0.008548
46,2326.99,0.48249,0.26506,1.16434,0.99871,0.99938,0.99496,0.95379,0.32505,0.14729,0.93349,0.008515,0.008515,0.008515
47,2376.43,0.47941,0.26171,1.16578,0.99876,0.99992,0.995,0.95503,0.32263,0.14501,0.93341,0.008482,0.008482,0.008482
48,2424.46,0.47613,0.25989,1.1607,0.99859,1,0.995,0.95672,0.3222,0.14708,0.93038,0.008449,0.008449,0.008449
49,2473.61,0.47622,0.25739,1.16275,0.9965,1,0.99499,0.95755,0.3208,0.14511,0.92976,0.008416,0.008416,0.008416
50,2522.74,0.47465,0.25874,1.16664,0.99909,1,0.995,0.95531,0.32136,0.1424,0.93102,0.008383,0.008383,0.008383
51,2571.2,0.47434,0.25361,1.15779,0.99858,1,0.99498,0.95427,0.32446,0.14115,0.93363,0.00835,0.00835,0.00835
52,2620.04,0.47106,0.25449,1.15269,0.99848,0.99876,0.99498,0.95541,0.32213,0.14302,0.93101,0.008317,0.008317,0.008317
53,2668.22,0.47362,0.25665,1.15711,0.99992,1,0.995,0.95532,0.31923,0.14152,0.92987,0.008284,0.008284,0.008284
54,2717.56,0.4724,0.25601,1.15437,0.99917,0.99876,0.995,0.95667,0.31963,0.14124,0.9312,0.008251,0.008251,0.008251
55,2766.13,0.47213,0.25557,1.15407,0.99876,0.99996,0.995,0.95583,0.31736,0.13761,0.92915,0.008218,0.008218,0.008218
56,2813.78,0.47057,0.25199,1.16029,0.99918,1,0.995,0.95544,0.31896,0.138,0.9308,0.008185,0.008185,0.008185
57,2862.53,0.46791,0.2506,1.15316,0.99865,1,0.995,0.9563,0.31774,0.13697,0.92902,0.008152,0.008152,0.008152
58,2910.78,0.46789,0.25069,1.1559,0.99865,1,0.995,0.95545,0.32029,0.13624,0.93157,0.008119,0.008119,0.008119
59,2959.26,0.46513,0.25159,1.15728,0.99867,1,0.995,0.9568,0.31787,0.1359,0.93013,0.008086,0.008086,0.008086
60,3007.64,0.46516,0.24939,1.14664,1,0.99983,0.995,0.95596,0.31765,0.13802,0.92874,0.008053,0.008053,0.008053
61,3056.14,0.466,0.25026,1.1496,0.99989,1,0.995,0.95517,0.31555,0.14053,0.92743,0.00802,0.00802,0.00802
