epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6003,0.53995,0.50723,1.09124,0.99565,0.99752,0.99489,0.9302,0.38065,0.2387,0.98828,0.00332715,0.00332715,0.00332715
2,187.334,0.53302,0.33229,1.06132,0.99318,0.99323,0.99487,0.90196,0.47669,0.2975,1.06411,0.00659454,0.00659454,0.00659454
3,280.963,0.59663,0.38123,1.09599,0.9889,0.99313,0.99482,0.89789,0.47511,0.30084,1.05759,0.00979594,0.00979594,0.00979594
4,366.66,0.59319,0.37452,1.09683,0.9895,0.99213,0.99463,0.88298,0.48909,0.30077,1.08418,0.009703,0.009703,0.009703
5,459.948,0.56789,0.34734,1.0807,0.99076,0.99566,0.99489,0.89828,0.47771,0.27625,1.07876,0.009604,0.009604,0.009604
6,546.778,0.54572,0.32576,1.06846,0.9992,0.99628,0.995,0.92464,0.40235,0.23025,0.99605,0.009505,0.009505,0.009505
7,638.092,0.53139,0.31425,1.06191,0.99753,0.99938,0.995,0.92512,0.40968,0.22358,0.99449,0.009406,0.009406,0.009406
8,729.667,0.5206,0.30668,1.05333,0.99915,0.99876,0.995,0.92748,0.39799,0.22213,0.99208,0.009307,0.009307,0.009307
9,813.42,0.50655,0.29496,1.0442,0.99832,0.99814,0.995,0.94051,0.36776,0.20342,0.96493,0.009208,0.009208,0.009208
10,905.14,0.50319,0.28787,1.04497,0.99774,0.99628,0.99499,0.93032,0.39581,0.21794,0.99007,0.009109,0.009109,0.009109
11,990.174,0.48881,0.27843,1.03382,0.99691,0.99852,0.99496,0.93309,0.37564,0.20889,0.97195,0.00901,0.00901,0.00901
12,1078.06,0.48636,0.27602,1.03184,0.9969,0.99755,0.99497,0.93835,0.37116,0.20958,0.972,0.008911,0.008911,0.008911
13,1165.95,0.4806,0.27171,1.03184,0.99845,0.99876,0.995,0.94091,0.37055,0.20223,0.9661,0.008812,0.008812,0.008812
14,1249.11,0.48007,0.27023,1.0317,0.99685,0.99938,0.99499,0.94101,0.37085,0.19815,0.96292,0.008713,0.008713,0.008713
15,1334.33,0.46865,0.26305,1.02438,0.99814,0.99935,0.99496,0.94537,0.35541,0.19081,0.95023,0.008614,0.008614,0.008614
16,1417.49,0.46996,0.26233,1.02368,0.99871,1,0.995,0.94667,0.35933,0.18739,0.95356,0.008515,0.008515,0.008515
17,1504.61,0.46204,0.25819,1.02052,1,0.9999,0.995,0.94458,0.36366,0.18837,0.95744,0.008416,0.008416,0.008416
18,1591.87,0.45999,0.25588,1.01744,0.99752,0.99849,0.99498,0.94942,0.34512,0.1867,0.94321,0.008317,0.008317,0.008317
19,1679.16,0.45796,0.25525,1.01932,0.99924,0.99814,0.995,0.94649,0.35399,0.18353,0.94744,0.008218,0.008218,0.008218
20,1766.34,0.45474,0.25292,1.01813,0.99927,0.99938,0.995,0.94956,0.34489,0.18146,0.9437,0.008119,0.008119,0.008119
21,1853.54,0.45069,0.24928,1.01915,0.99789,0.99938,0.99499,0.95035,0.33965,0.18268,0.93758,0.00802,0.00802,0.00802
22,1940.7,0.45133,0.24856,1.01631,0.99691,0.99982,0.99484,0.94532,0.35897,0.18419,0.95301,0.007921,0.007921,0.007921
23,2027.81,0.44456,0.2457,1.0129,0.99858,1,0.99499,0.94623,0.34255,0.18079,0.94352,0.007822,0.007822,0.007822
24,2114.94,0.44774,0.24534,1.01318,0.99626,1,0.995,0.95434,0.33771,0.17349,0.94051,0.007723,0.007723,0.007723
25,2202.13,0.44071,0.24047,1.00923,0.99742,1,0.99499,0.95459,0.34068,0.16899,0.93845,0.007624,0.007624,0.007624
26,2289.42,0.43841,0.23858,1.00785,0.99886,0.99938,0.995,0.95318,0.32945,0.16684,0.93077,0.007525,0.007525,0.007525
27,2376.61,0.43932,0.23711,1.0081,1,0.99933,0.995,0.95139,0.33143,0.16904,0.9328,0.007426,0.007426,0.007426
28,2463.75,0.43569,0.23788,1.00505,0.99852,1,0.995,0.95427,0.33486,0.1717,0.93151,0.007327,0.007327,0.007327
29,2552.81,0.43791,0.23555,1.00838,0.99876,0.9996,0.995,0.95288,0.33034,0.1643,0.93203,0.007228,0.007228,0.007228
30,2640.04,0.43019,0.23134,1.00448,0.99928,0.99938,0.995,0.95386,0.33172,0.16927,0.93105,0.007129,0.007129,0.007129
