epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.263,0.51027,0.42486,1.08302,0.99665,0.99814,0.99497,0.92306,0.40465,0.24627,1.0134,0.00333024,0.00333024,0.00333024
2,344.979,0.54117,0.33489,1.0837,0.99751,0.99182,0.99494,0.9225,0.42323,0.27403,1.02381,0.0065976,0.0065976,0.0065976
3,513.739,0.60173,0.3804,1.11365,0.98803,0.99442,0.99476,0.89059,0.46999,0.3346,1.07441,0.00979897,0.00979897,0.00979897
4,681.805,0.61853,0.38466,1.1217,0.99436,0.99814,0.99496,0.9049,0.43993,0.25893,1.03339,0.009703,0.009703,0.009703
5,850.13,0.58265,0.3538,1.09634,0.99689,0.99433,0.99499,0.91419,0.42484,0.24719,1.03202,0.009604,0.009604,0.009604
6,1018.37,0.55497,0.32862,1.07653,0.99593,1,0.99498,0.92588,0.39997,0.22408,0.99461,0.009505,0.009505,0.009505
7,1186.56,0.54253,0.31378,1.07538,0.99618,1,0.99496,0.92306,0.40846,0.23139,0.99642,0.009406,0.009406,0.009406
8,1354.67,0.52487,0.29953,1.05978,0.99876,0.99777,0.995,0.9328,0.37785,0.20761,0.98226,0.009307,0.009307,0.009307
9,1522.63,0.50963,0.28851,1.04923,0.99773,0.9969,0.99488,0.93156,0.37399,0.21268,0.98272,0.009208,0.009208,0.009208
10,1690.76,0.50263,0.28308,1.04905,0.99876,0.99896,0.995,0.94326,0.37016,0.19166,0.96523,0.009109,0.009109,0.009109
11,1858.95,0.49364,0.2735,1.04148,0.99876,0.99986,0.995,0.94666,0.35494,0.18369,0.95287,0.00901,0.00901,0.00901
12,2027.37,0.4899,0.26977,1.03863,0.99778,0.99876,0.995,0.93948,0.36867,0.18694,0.9692,0.008911,0.008911,0.008911
13,2195.56,0.48442,0.26564,1.03678,0.99856,0.99938,0.99499,0.94389,0.35551,0.18477,0.95622,0.008812,0.008812,0.008812
14,2363.55,0.47607,0.26144,1.03096,0.99928,0.99876,0.995,0.95056,0.34015,0.18715,0.94542,0.008713,0.008713,0.008713
15,2531.96,0.47357,0.25896,1.03045,0.99804,0.99876,0.995,0.94768,0.34974,0.18324,0.95065,0.008614,0.008614,0.008614
16,2700.2,0.46523,0.25371,1.02635,0.9967,1,0.995,0.9472,0.34327,0.16936,0.94201,0.008515,0.008515,0.008515
17,2868.65,0.4632,0.25156,1.02463,0.99938,0.99796,0.995,0.94806,0.33879,0.1729,0.94231,0.008416,0.008416,0.008416
18,3036.54,0.45987,0.24729,1.02169,0.99923,0.99938,0.995,0.95142,0.33316,0.16385,0.93443,0.008317,0.008317,0.008317
19,3204.44,0.45529,0.24388,1.01895,0.99855,0.99938,0.995,0.94809,0.33679,0.17063,0.93902,0.008218,0.008218,0.008218
20,3372.75,0.45448,0.24288,1.01896,0.99932,1,0.995,0.95362,0.33633,0.16798,0.93891,0.008119,0.008119,0.008119
21,3541.17,0.44729,0.23929,1.01125,0.99876,0.99997,0.995,0.95219,0.33341,0.16293,0.93506,0.00802,0.00802,0.00802
22,3709.5,0.44514,0.23541,1.01501,0.99938,0.99978,0.995,0.95437,0.32972,0.16587,0.93324,0.007921,0.007921,0.007921
23,3877.67,0.44339,0.23402,1.01252,1,0.99995,0.995,0.95417,0.32903,0.15926,0.93482,0.007822,0.007822,0.007822
24,4045.93,0.44115,0.23339,1.01071,1,0.99997,0.995,0.95446,0.32223,0.15266,0.92543,0.007723,0.007723,0.007723
25,4214.47,0.43625,0.23167,1.00817,0.99985,1,0.995,0.95487,0.32202,0.15038,0.92663,0.007624,0.007624,0.007624
26,4382.78,0.43608,0.22919,1.01036,0.99988,1,0.995,0.95415,0.32834,0.17356,0.93633,0.007525,0.007525,0.007525
27,4550.95,0.43904,0.2288,1.00917,0.99924,1,0.995,0.95584,0.32022,0.15208,0.92466,0.007426,0.007426,0.007426
28,4719.26,0.4321,0.2274,1.00624,0.99921,1,0.995,0.95707,0.3161,0.1486,0.92089,0.007327,0.007327,0.007327
29,4887.2,0.43329,0.22824,1.00658,0.99744,1,0.995,0.95824,0.31228,0.14589,0.92009,0.007228,0.007228,0.007228
30,5055.67,0.42573,0.22283,1.00309,0.99804,1,0.99497,0.95788,0.31513,0.14661,0.92295,0.007129,0.007129,0.007129
31,5224.04,0.42755,0.22213,1.00242,0.99938,0.99929,0.995,0.9582,0.31064,0.14078,0.9189,0.00703,0.00703,0.00703
32,5392.18,0.42463,0.22122,1.00327,0.9993,1,0.995,0.96189,0.31193,0.1484,0.91856,0.006931,0.006931,0.006931
33,5560.41,0.42573,0.21975,1.00449,0.99814,0.99998,0.995,0.96003,0.31878,0.15864,0.92663,0.006832,0.006832,0.006832
34,5728.24,0.42116,0.2159,1.00187,0.9993,1,0.99499,0.95729,0.30763,0.14845,0.91599,0.006733,0.006733,0.006733
35,5896.54,0.4211,0.21717,0.99978,0.99988,1,0.995,0.95845,0.31182,0.14807,0.91941,0.006634,0.006634,0.006634
36,6064.75,0.42071,0.21719,1.0011,0.99994,1,0.995,0.96029,0.30653,0.14461,0.9141,0.006535,0.006535,0.006535
37,6232.81,0.41761,0.21384,0.99783,0.99938,0.99893,0.995,0.96034,0.30661,0.13958,0.91364,0.006436,0.006436,0.006436
38,6400.96,0.41755,0.21405,0.99872,0.99988,1,0.995,0.95939,0.30993,0.14251,0.91672,0.006337,0.006337,0.006337
39,6569.09,0.41395,0.21357,0.99648,1,0.99981,0.995,0.96049,0.30244,0.1344,0.9107,0.006238,0.006238,0.006238
40,6737.4,0.41158,0.20883,0.99452,0.99866,1,0.99499,0.96041,0.30472,0.13416,0.91208,0.006139,0.006139,0.006139
41,6905.58,0.41435,0.21089,0.99673,0.99904,0.99938,0.995,0.96164,0.3046,0.13341,0.91118,0.00604,0.00604,0.00604
42,7074.08,0.41112,0.20815,0.9953,0.99863,1,0.99499,0.96143,0.30659,0.13543,0.91251,0.005941,0.005941,0.005941
43,7242.38,0.40887,0.20869,0.99316,0.99929,1,0.995,0.96121,0.30323,0.13441,0.91101,0.005842,0.005842,0.005842
44,7410.42,0.40775,0.20948,0.9929,0.99867,1,0.99499,0.9616,0.30475,0.13579,0.91063,0.005743,0.005743,0.005743
45,7578.98,0.4026,0.20555,0.98873,0.99921,1,0.99499,0.9604,0.30188,0.1331,0.90965,0.005644,0.005644,0.005644
46,7747.16,0.40746,0.20753,0.99488,0.99917,1,0.995,0.96067,0.30204,0.13312,0.90971,0.005545,0.005545,0.005545
47,7915.66,0.40548,0.20627,0.99169,0.99918,1,0.995,0.96179,0.30385,0.1324,0.91054,0.005446,0.005446,0.005446
48,8083.8,0.40062,0.20286,0.98608,0.99909,1,0.99499,0.96074,0.30432,0.13099,0.91097,0.005347,0.005347,0.005347
49,8251.91,0.40365,0.2023,0.99203,0.99923,1,0.99499,0.96147,0.30136,0.13018,0.90909,0.005248,0.005248,0.005248
50,8420.28,0.39823,0.20062,0.98624,0.9987,1,0.99499,0.96234,0.2995,0.1295,0.90912,0.005149,0.005149,0.005149
51,8588.59,0.39584,0.19961,0.98604,0.99868,1,0.99499,0.96108,0.2988,0.12746,0.90876,0.00505,0.00505,0.00505
52,8757.17,0.39429,0.19699,0.98531,0.99919,1,0.99499,0.96162,0.29878,0.1267,0.90724,0.004951,0.004951,0.004951
53,8925.57,0.39623,0.19732,0.98698,0.99914,1,0.99499,0.96287,0.29953,0.12655,0.90747,0.004852,0.004852,0.004852
54,9093.56,0.39437,0.19913,0.98683,0.99862,1,0.995,0.96063,0.30024,0.12763,0.9081,0.004753,0.004753,0.004753
55,9261.73,0.39208,0.19558,0.98538,0.99928,1,0.995,0.96194,0.29953,0.12609,0.90783,0.004654,0.004654,0.004654
