epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,65.4254,0.54976,0.82163,1.09205,0.99667,0.99442,0.99491,0.89018,0.44748,0.33286,1.05799,0.00998374,0.00332791,0.00998374,0.00332791,0.00998374,0.00332791,0.00998374,0.00332791
2,123.641,0.59337,0.39238,1.09788,0.96618,0.96716,0.99112,0.85089,0.54077,0.43959,1.13871,0.0197859,0.0065953,0.0197859,0.0065953,0.0197859,0.0065953,0.0197859,0.0065953
3,179.845,0.64549,0.41685,1.12665,0.92057,0.92634,0.96343,0.66165,0.93528,0.62746,1.64682,0.0293901,0.00979669,0.0293901,0.00979669,0.0293901,0.00979669,0.0293901,0.00979669
4,236.603,0.64108,0.40163,1.12703,0.98566,0.99752,0.99487,0.8854,0.47402,0.30235,1.08286,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,292.632,0.59364,0.35841,1.0955,0.98471,0.99743,0.99483,0.8812,0.47932,0.27462,1.06198,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,348.151,0.56935,0.33862,1.08084,0.99442,0.9938,0.99485,0.89438,0.45002,0.2545,1.04702,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,403.692,0.55448,0.32032,1.07411,0.99207,0.9938,0.99483,0.9064,0.41588,0.23909,1.02403,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,458.621,0.53924,0.308,1.06559,0.99445,0.9985,0.99474,0.90209,0.42204,0.22635,1.01885,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,510.594,0.52862,0.29669,1.06049,0.99663,0.99938,0.99497,0.91644,0.38764,0.20991,0.99167,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,562.562,0.51441,0.28462,1.0492,0.99797,0.99938,0.99495,0.92294,0.3808,0.20077,0.98385,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,614.464,0.50882,0.28169,1.04978,0.99629,1,0.99498,0.9172,0.39248,0.20785,0.99697,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,666.327,0.50215,0.27944,1.04213,0.99726,0.99814,0.99498,0.92485,0.37971,0.23687,0.98343,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,718.222,0.49728,0.27235,1.03827,0.99921,0.99938,0.995,0.92047,0.37464,0.19515,0.98363,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,770.16,0.49099,0.26954,1.03944,0.99814,0.99965,0.99499,0.92097,0.3813,0.19408,0.98308,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,822.244,0.48529,0.26593,1.03436,0.99752,0.99869,0.995,0.93022,0.3633,0.19253,0.96391,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,874.199,0.48259,0.2643,1.03597,0.99682,1,0.99495,0.92998,0.36034,0.18435,0.9687,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,926.105,0.47463,0.2594,1.02807,0.99838,0.99752,0.99498,0.9275,0.37133,0.19103,0.97738,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
