epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.235,0.58889,0.66812,1.11145,0.97867,0.98269,0.99266,0.85491,0.55325,0.41447,1.1433,0.000665689,0.000665689,0.000665689
2,229.82,0.61075,0.41317,1.11692,0.98379,0.99135,0.99435,0.88304,0.48547,0.32671,1.06945,0.00128839,0.00128839,0.00128839
3,342.683,0.58828,0.37243,1.09979,0.98647,0.99121,0.99391,0.88933,0.4792,0.3125,1.06434,0.00186709,0.00186709,0.00186709
4,455.414,0.57099,0.35234,1.09203,0.98816,0.99444,0.99447,0.90601,0.44178,0.28479,1.03753,0.001802,0.001802,0.001802
5,568.169,0.54676,0.32819,1.07411,0.99264,0.99506,0.99471,0.92326,0.41249,0.25982,1.01254,0.001736,0.001736,0.001736
6,680.966,0.52072,0.31081,1.05903,0.99009,0.99444,0.99414,0.92307,0.39264,0.24464,0.98965,0.00167,0.00167,0.00167
7,793.875,0.51266,0.30235,1.0576,0.99505,0.99336,0.99497,0.9257,0.3981,0.25231,0.99049,0.001604,0.001604,0.001604
8,906.265,0.49816,0.29263,1.0462,0.99431,0.99629,0.99487,0.93195,0.39339,0.22853,0.98629,0.001538,0.001538,0.001538
9,1025.05,0.48795,0.28215,1.04147,0.99485,0.99815,0.99487,0.9285,0.39055,0.23211,0.98733,0.001472,0.001472,0.001472
10,1139.84,0.48432,0.27806,1.04074,0.99568,0.99743,0.99466,0.92721,0.37526,0.2082,0.97924,0.001406,0.001406,0.001406
11,1253.49,0.47718,0.27258,1.0361,0.99463,0.99876,0.99491,0.9369,0.37232,0.20449,0.97145,0.00134,0.00134,0.00134
12,1367.75,0.47042,0.26527,1.02935,0.99299,0.99876,0.99488,0.94037,0.35992,0.19891,0.95989,0.001274,0.001274,0.001274
13,1482.1,0.4637,0.26062,1.02869,0.99198,0.99691,0.99487,0.94134,0.35925,0.20229,0.95642,0.001208,0.001208,0.001208
14,1596.81,0.45835,0.2543,1.02401,0.99775,0.99629,0.99491,0.94608,0.34851,0.19032,0.95518,0.001142,0.001142,0.001142
15,1711.96,0.45625,0.25231,1.02333,0.99569,0.99856,0.99499,0.9484,0.34972,0.18698,0.95593,0.001076,0.001076,0.001076
16,1827.09,0.45148,0.25052,1.02065,0.99689,0.99753,0.99491,0.9481,0.34596,0.17905,0.95051,0.00101,0.00101,0.00101
17,1942.12,0.44397,0.24607,1.0156,0.99814,0.99681,0.99495,0.94396,0.33747,0.1764,0.94564,0.000944,0.000944,0.000944
18,2057,0.43938,0.24011,1.01221,0.99894,0.99753,0.99497,0.948,0.34227,0.18258,0.94851,0.000878,0.000878,0.000878
19,2171.79,0.4315,0.23515,1.00901,0.99554,0.99815,0.99496,0.94798,0.33299,0.17087,0.94303,0.000812,0.000812,0.000812
20,2286.54,0.43054,0.23305,1.00776,0.99482,0.99876,0.99494,0.94737,0.33433,0.16997,0.94178,0.000746,0.000746,0.000746
21,2400.11,0.32706,0.18518,0.96564,0.9949,0.99815,0.99496,0.95041,0.33433,0.17259,0.93878,0.00068,0.00068,0.00068
22,2509.51,0.32068,0.17921,0.95735,0.99746,0.99815,0.99499,0.95198,0.33115,0.16951,0.94128,0.000614,0.000614,0.000614
23,2618.89,0.31372,0.17222,0.95373,0.99747,0.99876,0.99499,0.95083,0.32916,0.16528,0.93717,0.000548,0.000548,0.000548
24,2728.49,0.30841,0.16735,0.95122,0.99753,0.99872,0.99499,0.95301,0.32402,0.161,0.935,0.000482,0.000482,0.000482
25,2837.95,0.30255,0.16051,0.94781,0.99876,0.99864,0.99499,0.95402,0.32185,0.15557,0.93231,0.000416,0.000416,0.000416
26,2947.43,0.29886,0.15574,0.94804,0.99814,0.99746,0.99498,0.95192,0.32332,0.15521,0.93533,0.00035,0.00035,0.00035
27,3056.99,0.29244,0.15024,0.93654,0.99692,0.99936,0.99499,0.95494,0.31694,0.14756,0.92785,0.000284,0.000284,0.000284
28,3166.66,0.28884,0.14769,0.93966,0.99815,0.99854,0.99499,0.95307,0.31993,0.1497,0.93243,0.000218,0.000218,0.000218
29,3276.24,0.28557,0.14284,0.93181,0.99849,0.99815,0.99499,0.95466,0.31681,0.1459,0.92849,0.000152,0.000152,0.000152
30,3385.73,0.28056,0.13945,0.93258,0.99869,0.99876,0.99499,0.95678,0.31546,0.14555,0.92774,8.6e-05,8.6e-05,8.6e-05
