epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6366,0.56162,0.776,1.09741,0.94695,0.95056,0.98374,0.80277,0.6572,0.69517,1.24576,0.000664151,0.000664151,0.000664151
2,104.809,0.59792,0.43182,1.10815,0.96937,0.97837,0.9922,0.81601,0.61927,0.4688,1.22465,0.0012869,0.0012869,0.0012869
3,155.206,0.60319,0.38751,1.10914,0.8873,0.86131,0.94365,0.77416,0.64515,0.61184,1.21971,0.00186565,0.00186565,0.00186565
4,205.537,0.58063,0.35923,1.09416,0.99297,0.99258,0.99446,0.89755,0.46975,0.30654,1.05727,0.001802,0.001802,0.001802
5,256.943,0.54575,0.32739,1.07263,0.98961,0.98888,0.99469,0.91049,0.4175,0.28243,1.01345,0.001736,0.001736,0.001736
6,307.973,0.52985,0.313,1.0626,0.98915,0.98949,0.99421,0.90056,0.45182,0.2929,1.04699,0.00167,0.00167,0.00167
7,358.99,0.51062,0.30035,1.05159,0.99478,0.99567,0.99486,0.92771,0.40346,0.23102,1.00558,0.001604,0.001604,0.001604
8,410.098,0.50214,0.29203,1.04775,0.99377,0.99691,0.99482,0.92458,0.39707,0.23022,0.98943,0.001538,0.001538,0.001538
9,461.126,0.48679,0.28011,1.03858,0.99155,0.99567,0.9948,0.93108,0.37897,0.22019,0.97816,0.001472,0.001472,0.001472
10,512.194,0.48677,0.27704,1.03842,0.99414,0.99691,0.99476,0.9239,0.39787,0.24972,0.9936,0.001406,0.001406,0.001406
11,563.27,0.47305,0.27003,1.03201,0.99537,0.99815,0.99497,0.93779,0.38509,0.22409,0.98481,0.00134,0.00134,0.00134
12,614.3,0.46338,0.26145,1.02548,0.99422,0.99691,0.99495,0.93831,0.36967,0.21385,0.96714,0.001274,0.001274,0.001274
13,665.321,0.45847,0.25776,1.02361,0.99446,0.99846,0.99488,0.93963,0.36143,0.19825,0.9578,0.001208,0.001208,0.001208
14,716.411,0.45203,0.25291,1.02011,0.99313,0.99753,0.99491,0.93777,0.35446,0.19788,0.95708,0.001142,0.001142,0.001142
15,767.396,0.45259,0.24959,1.02024,0.99747,0.99629,0.99496,0.94529,0.35337,0.193,0.95499,0.001076,0.001076,0.001076
16,818.361,0.44045,0.24215,1.01407,0.99507,0.99859,0.99497,0.94395,0.35262,0.19145,0.95405,0.00101,0.00101,0.00101
17,869.36,0.43646,0.23904,1.01148,0.99814,0.99679,0.99492,0.94515,0.35101,0.19652,0.9557,0.000944,0.000944,0.000944
18,920.475,0.43932,0.23718,1.01319,0.99814,0.99584,0.99492,0.94723,0.34515,0.18239,0.9499,0.000878,0.000878,0.000878
19,971.475,0.42971,0.2334,1.00868,0.99825,0.99753,0.99498,0.94879,0.34016,0.18052,0.94498,0.000812,0.000812,0.000812
20,1022.53,0.42854,0.23071,1.00742,0.99938,0.99729,0.99498,0.95364,0.33256,0.17602,0.94008,0.000746,0.000746,0.000746
21,1074.39,0.32708,0.18906,0.96424,0.99732,0.99876,0.99499,0.95035,0.33494,0.17316,0.94164,0.00068,0.00068,0.00068
22,1124.93,0.31866,0.17506,0.9592,0.99621,0.99815,0.99497,0.95152,0.33248,0.16988,0.94094,0.000614,0.000614,0.000614
23,1175.46,0.30958,0.168,0.94957,0.99831,0.99753,0.99498,0.95105,0.33111,0.17094,0.93559,0.000548,0.000548,0.000548
24,1225.97,0.30714,0.16416,0.94929,0.99815,0.99933,0.99499,0.95503,0.32394,0.16241,0.93467,0.000482,0.000482,0.000482
25,1276.54,0.30032,0.15701,0.94659,0.99874,0.99753,0.99499,0.95569,0.31841,0.16276,0.92806,0.000416,0.000416,0.000416
26,1326.22,0.29506,0.15388,0.94503,0.99787,0.99815,0.99499,0.95463,0.32037,0.1555,0.93212,0.00035,0.00035,0.00035
27,1375.98,0.29241,0.1497,0.93798,0.99813,0.99876,0.995,0.95615,0.31963,0.15638,0.92999,0.000284,0.000284,0.000284
28,1426.11,0.2869,0.1453,0.93679,0.99862,0.99876,0.99499,0.95797,0.31423,0.1567,0.9261,0.000218,0.000218,0.000218
29,1476.22,0.28348,0.13949,0.93213,0.99876,0.99872,0.995,0.95721,0.3159,0.15389,0.92625,0.000152,0.000152,0.000152
30,1527.45,0.28047,0.13573,0.93088,0.99863,0.99815,0.99499,0.95716,0.31496,0.15435,0.92675,8.6e-05,8.6e-05,8.6e-05
