epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.147,0.5892,0.67028,1.11339,0.97828,0.98203,0.99325,0.85205,0.55739,0.41236,1.16997,0.000665686,0.000665686,0.000665686
2,291.244,0.61157,0.41737,1.11687,0.9919,0.98618,0.99455,0.88977,0.45907,0.32205,1.05043,0.00128839,0.00128839,0.00128839
3,433.139,0.5818,0.36924,1.09637,0.98354,0.99071,0.99338,0.88638,0.48681,0.32053,1.07715,0.00186708,0.00186708,0.00186708
4,572.167,0.56903,0.3496,1.0902,0.98721,0.99752,0.99442,0.90985,0.44323,0.28276,1.03045,0.001802,0.001802,0.001802
5,714.696,0.54332,0.32887,1.07462,0.99258,0.99257,0.99477,0.92157,0.42068,0.24284,1.00882,0.001736,0.001736,0.001736
6,854.355,0.52108,0.30975,1.05958,0.99321,0.99625,0.99447,0.92867,0.3953,0.25145,0.98707,0.00167,0.00167,0.00167
7,991.907,0.50964,0.30032,1.0543,0.98674,0.99566,0.99449,0.9265,0.38637,0.23898,0.97843,0.001604,0.001604,0.001604
8,1127.52,0.49956,0.28932,1.04885,0.99443,0.99639,0.99477,0.93023,0.37188,0.214,0.96917,0.001538,0.001538,0.001538
9,1268.29,0.49081,0.28102,1.0413,0.99382,0.99625,0.99472,0.93864,0.37323,0.21719,0.9722,0.001472,0.001472,0.001472
10,1403.85,0.48516,0.27893,1.03965,0.99322,0.99834,0.99472,0.93771,0.36138,0.2117,0.96296,0.001406,0.001406,0.001406
11,1538.32,0.47777,0.27189,1.03422,0.99458,0.99876,0.99481,0.93954,0.36515,0.20287,0.96141,0.00134,0.00134,0.00134
12,1673.85,0.46934,0.26441,1.03041,0.99588,0.99752,0.99495,0.9427,0.35067,0.19726,0.95401,0.001274,0.001274,0.001274
13,1811.42,0.46227,0.26012,1.02567,0.99445,0.99855,0.99487,0.93883,0.35555,0.198,0.95525,0.001208,0.001208,0.001208
14,1946.28,0.45877,0.25495,1.02495,0.99444,0.99788,0.99492,0.94449,0.34711,0.18885,0.94495,0.001142,0.001142,0.001142
15,2082.07,0.4537,0.25032,1.02006,0.99611,0.99752,0.99493,0.94442,0.34772,0.19724,0.94507,0.001076,0.001076,0.001076
16,2223.53,0.45028,0.24867,1.01945,0.99489,0.9969,0.99475,0.9437,0.3369,0.18721,0.93941,0.00101,0.00101,0.00101
17,2347.32,0.44083,0.24166,1.0166,0.99395,0.99814,0.99489,0.94893,0.34543,0.18501,0.94643,0.000944,0.000944,0.000944
18,2461.07,0.44162,0.24209,1.01431,0.99275,0.99814,0.99488,0.94831,0.33833,0.18101,0.93572,0.000878,0.000878,0.000878
19,2573.8,0.43103,0.23391,1.00917,0.99872,0.99628,0.995,0.94945,0.33529,0.17128,0.93555,0.000812,0.000812,0.000812
20,2687.43,0.42929,0.23155,1.00898,0.99691,0.99849,0.99496,0.95308,0.32926,0.1714,0.9357,0.000746,0.000746,0.000746
21,2800.6,0.32928,0.18782,0.96594,0.99666,0.99876,0.99497,0.95056,0.33111,0.17066,0.93634,0.00068,0.00068,0.00068
22,2913.08,0.32146,0.17959,0.96323,0.99885,0.99628,0.99499,0.95068,0.32638,0.17229,0.92781,0.000614,0.000614,0.000614
23,3027.84,0.31665,0.17327,0.95539,0.99882,0.99628,0.99499,0.95295,0.32276,0.16172,0.92595,0.000548,0.000548,0.000548
24,3141.84,0.30673,0.16556,0.95001,0.99814,0.9992,0.995,0.9552,0.32577,0.15908,0.92626,0.000482,0.000482,0.000482
25,3254.86,0.30254,0.16116,0.94776,0.99738,0.99938,0.995,0.95399,0.31959,0.15648,0.92363,0.000416,0.000416,0.000416
26,3365.75,0.29919,0.15691,0.94555,0.99876,0.99911,0.99498,0.95404,0.31619,0.15379,0.92209,0.00035,0.00035,0.00035
27,3486.01,0.29418,0.15077,0.94107,0.99876,0.99938,0.995,0.95705,0.3152,0.15077,0.92199,0.000284,0.000284,0.000284
28,3618.46,0.28895,0.14726,0.93452,0.99806,0.99938,0.995,0.95761,0.31581,0.15039,0.92334,0.000218,0.000218,0.000218
29,3749.55,0.28495,0.14268,0.93686,0.99864,0.99938,0.995,0.95663,0.31283,0.14836,0.91934,0.000152,0.000152,0.000152
30,3881.58,0.2813,0.13884,0.93247,0.99814,0.99926,0.995,0.95701,0.31313,0.14707,0.92033,8.6e-05,8.6e-05,8.6e-05
