epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3952,0.57027,0.7483,1.1026,0.98081,0.98179,0.99184,0.84176,0.58617,0.49663,1.18509,0.00066455,0.00066455,0.00066455
2,102.18,0.60775,0.42801,1.11354,0.96506,0.97532,0.99079,0.79813,0.67139,0.52857,1.21964,0.00128729,0.00128729,0.00128729
3,151.543,0.5974,0.38036,1.10522,0.98271,0.98587,0.994,0.8891,0.47675,0.33907,1.07379,0.00186602,0.00186602,0.00186602
4,199.637,0.53707,0.32786,1.0689,0.98947,0.99442,0.99394,0.90063,0.44568,0.27505,1.02338,0.001802,0.001802,0.001802
5,247.828,0.51841,0.30999,1.05634,0.99064,0.99318,0.99407,0.90567,0.43898,0.28618,1.03037,0.001736,0.001736,0.001736
6,295.913,0.50403,0.29653,1.0482,0.99547,0.99318,0.99437,0.91013,0.46541,0.27281,1.03012,0.00167,0.00167,0.00167
7,344.67,0.49959,0.29166,1.05004,0.99517,0.99504,0.99452,0.9225,0.39667,0.23888,1.00143,0.001604,0.001604,0.001604
8,392.797,0.48946,0.28356,1.0399,0.99016,0.99749,0.99368,0.92418,0.39408,0.22394,0.9959,0.001538,0.001538,0.001538
9,441.044,0.47682,0.27333,1.03453,0.99138,0.99814,0.99447,0.92654,0.39555,0.21759,0.99947,0.001472,0.001472,0.001472
10,489.124,0.47361,0.2687,1.03341,0.99485,0.99752,0.99479,0.93105,0.38384,0.20693,0.98325,0.001406,0.001406,0.001406
11,537.271,0.46379,0.262,1.02667,0.99381,0.99548,0.99437,0.9345,0.37452,0.21546,0.97293,0.00134,0.00134,0.00134
12,585.407,0.45764,0.2584,1.02046,0.99404,0.9969,0.99431,0.92339,0.3857,0.21768,0.97944,0.001274,0.001274,0.001274
13,633.513,0.45335,0.25424,1.02146,0.99372,0.99814,0.99453,0.93649,0.36482,0.19587,0.96887,0.001208,0.001208,0.001208
14,681.572,0.45066,0.25226,1.01994,0.99502,0.99628,0.9946,0.93795,0.35581,0.19106,0.96507,0.001142,0.001142,0.001142
15,729.796,0.4439,0.24658,1.01451,0.99322,0.99803,0.99454,0.94051,0.35236,0.18833,0.96212,0.001076,0.001076,0.001076
16,777.856,0.43988,0.24436,1.01203,0.99485,0.99814,0.99441,0.9412,0.35129,0.1875,0.956,0.00101,0.00101,0.00101
17,826.144,0.43547,0.23952,1.00959,0.99541,0.99752,0.99444,0.9347,0.35203,0.18876,0.9546,0.000944,0.000944,0.000944
18,874.22,0.43378,0.23953,1.0088,0.99565,0.99814,0.9944,0.94033,0.34828,0.18046,0.95017,0.000878,0.000878,0.000878
19,922.386,0.42398,0.23011,1.0042,0.99539,0.99814,0.99418,0.94303,0.34699,0.17737,0.94809,0.000812,0.000812,0.000812
20,971.329,0.42319,0.2281,1.00399,0.99506,0.99857,0.99464,0.94455,0.34272,0.17983,0.94595,0.000746,0.000746,0.000746
21,1020.21,0.32313,0.18499,0.9615,0.99806,0.99752,0.99468,0.94487,0.35187,0.18736,0.95713,0.00068,0.00068,0.00068
22,1067.78,0.31646,0.17632,0.95598,0.99681,0.99938,0.99463,0.94593,0.34454,0.17249,0.95342,0.000614,0.000614,0.000614
23,1115.44,0.31151,0.16854,0.95239,0.99676,0.99876,0.99461,0.94756,0.33599,0.16491,0.94216,0.000548,0.000548,0.000548
24,1162.98,0.30527,0.16433,0.94956,0.99799,0.99814,0.99469,0.94957,0.3329,0.16498,0.941,0.000482,0.000482,0.000482
25,1210.65,0.29826,0.15829,0.9417,0.99795,0.99876,0.99457,0.95053,0.33341,0.15936,0.93959,0.000416,0.000416,0.000416
26,1258.41,0.2927,0.15186,0.94079,0.9986,0.99814,0.99443,0.95165,0.33003,0.15669,0.93858,0.00035,0.00035,0.00035
27,1306.55,0.28732,0.14725,0.93739,0.99814,0.99865,0.99472,0.95306,0.32657,0.15592,0.93773,0.000284,0.000284,0.000284
28,1357.25,0.28545,0.1438,0.9339,0.99814,0.99809,0.99473,0.9529,0.32431,0.15041,0.9345,0.000218,0.000218,0.000218
29,1404.95,0.28018,0.13811,0.93096,0.99744,0.99876,0.99463,0.95403,0.32383,0.14793,0.93257,0.000152,0.000152,0.000152
30,1452.6,0.27788,0.13679,0.92749,0.99865,0.99876,0.99463,0.9545,0.32167,0.1474,0.93044,8.6e-05,8.6e-05,8.6e-05
