epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3797,0.54023,1.00322,1.08961,0.99304,0.9969,0.99487,0.90389,0.41292,0.45291,1.00831,0.00332405,0.00332405,0.00332405
2,134.021,0.57124,0.47073,1.08168,0.99465,0.99628,0.99492,0.89207,0.45127,0.33065,1.0384,0.00659147,0.00659147,0.00659147
3,186.61,0.60003,0.40615,1.09404,0.93323,0.93618,0.95977,0.73658,0.73047,0.55935,1.46177,0.0097929,0.0097929,0.0097929
4,245.668,0.62152,0.3953,1.10973,0.99381,0.9953,0.99494,0.89138,0.47275,0.30943,1.06435,0.009703,0.009703,0.009703
5,299.963,0.59132,0.35935,1.09131,0.99462,0.9969,0.99496,0.89763,0.44967,0.2651,1.05283,0.009604,0.009604,0.009604
6,361.265,0.56315,0.33464,1.07595,0.99189,0.99318,0.99488,0.90488,0.45398,0.27697,1.05531,0.009505,0.009505,0.009505
7,417.653,0.55013,0.32294,1.07207,0.99015,0.99622,0.99488,0.89005,0.49689,0.29795,1.10814,0.009406,0.009406,0.009406
8,472.144,0.53866,0.31053,1.06506,0.99679,0.99876,0.99497,0.91373,0.42633,0.23704,1.02253,0.009307,0.009307,0.009307
9,530.108,0.52488,0.29896,1.05452,0.99361,0.99195,0.99492,0.92545,0.406,0.24453,1.00142,0.009208,0.009208,0.009208
10,589.499,0.51673,0.29138,1.05098,0.99363,0.99938,0.99494,0.93368,0.38269,0.20841,0.98671,0.009109,0.009109,0.009109
11,647.275,0.50593,0.28344,1.04508,0.99553,0.99938,0.99494,0.92843,0.38134,0.20988,0.97793,0.00901,0.00901,0.00901
12,710.306,0.49833,0.27915,1.03962,0.99629,0.99928,0.99499,0.93619,0.37909,0.20574,0.97747,0.008911,0.008911,0.008911
13,772.552,0.49872,0.27589,1.04148,0.99713,0.99752,0.99499,0.93128,0.38927,0.21285,0.97952,0.008812,0.008812,0.008812
14,828.443,0.49268,0.27147,1.03936,0.93206,0.98389,0.98053,0.91435,0.38523,0.23199,0.97639,0.008713,0.008713,0.008713
15,884.491,0.48753,0.26845,1.03578,0.99831,0.9969,0.995,0.93748,0.37096,0.21057,0.97236,0.008614,0.008614,0.008614
16,940.118,0.48402,0.26733,1.03557,0.99662,0.99752,0.99497,0.93777,0.36641,0.19609,0.9628,0.008515,0.008515,0.008515
17,993.82,0.48166,0.26208,1.03149,0.97115,0.98947,0.99364,0.93321,0.38187,0.24088,0.98074,0.008416,0.008416,0.008416
18,1048.82,0.47888,0.26268,1.02941,0.99654,0.99752,0.995,0.94,0.3649,0.18609,0.96646,0.008317,0.008317,0.008317
19,1103.79,0.47194,0.25694,1.02827,0.99551,1,0.995,0.93679,0.37178,0.18905,0.96773,0.008218,0.008218,0.008218
20,1158.01,0.46907,0.25285,1.02271,0.99806,0.99938,0.99498,0.94599,0.35306,0.17926,0.95421,0.008119,0.008119,0.008119
21,1210.8,0.46836,0.25177,1.02446,0.99809,0.99814,0.99498,0.94559,0.35457,0.17648,0.95271,0.00802,0.00802,0.00802
22,1263.2,0.46476,0.25261,1.02348,0.99893,0.99938,0.995,0.94444,0.35286,0.17463,0.95256,0.007921,0.007921,0.007921
23,1315.77,0.46392,0.25077,1.02388,0.99699,0.99876,0.99499,0.94378,0.36088,0.19083,0.95962,0.007822,0.007822,0.007822
24,1368.11,0.45844,0.24593,1.01857,0.99919,1,0.995,0.9468,0.35183,0.17817,0.95424,0.007723,0.007723,0.007723
25,1420.5,0.45519,0.24655,1.01632,0.99929,0.99876,0.995,0.94841,0.3477,0.17294,0.94613,0.007624,0.007624,0.007624
26,1472.95,0.45452,0.2414,1.01686,0.99752,0.99844,0.99499,0.94962,0.34255,0.17486,0.94279,0.007525,0.007525,0.007525
27,1525.34,0.45486,0.24263,1.0164,0.99814,0.99931,0.995,0.94999,0.34847,0.17045,0.94957,0.007426,0.007426,0.007426
28,1577.62,0.45409,0.24208,1.01788,0.99853,1,0.995,0.95092,0.34289,0.17878,0.94396,0.007327,0.007327,0.007327
29,1630.2,0.45033,0.24214,1.0147,0.99856,1,0.995,0.94996,0.34381,0.16949,0.94426,0.007228,0.007228,0.007228
30,1682.48,0.44878,0.23719,1.01457,0.99769,1,0.99491,0.94925,0.33734,0.16236,0.93579,0.007129,0.007129,0.007129
31,1735.12,0.44477,0.2356,1.01309,0.99795,0.99938,0.995,0.95085,0.33777,0.1677,0.94161,0.00703,0.00703,0.00703
32,1787.43,0.44698,0.23471,1.0127,0.99876,0.99933,0.995,0.9515,0.33118,0.16228,0.93838,0.006931,0.006931,0.006931
33,1839.76,0.44633,0.23457,1.01261,0.99876,0.9998,0.99499,0.95332,0.33723,0.16258,0.93767,0.006832,0.006832,0.006832
34,1892.31,0.44526,0.23369,1.01239,0.99929,0.99876,0.99499,0.9517,0.33199,0.16143,0.9369,0.006733,0.006733,0.006733
35,1945.1,0.43511,0.22888,1.00852,0.99966,0.99876,0.995,0.95384,0.33689,0.16272,0.93821,0.006634,0.006634,0.006634
36,1998.15,0.43724,0.22859,1.00907,0.99938,0.9992,0.995,0.95542,0.33138,0.15625,0.93185,0.006535,0.006535,0.006535
37,2051.02,0.43738,0.22889,1.00828,0.99805,1,0.99499,0.95747,0.32779,0.15477,0.93077,0.006436,0.006436,0.006436
38,2103.87,0.43717,0.22977,1.00832,0.99873,0.99938,0.99498,0.95496,0.32821,0.15601,0.92948,0.006337,0.006337,0.006337
39,2156.82,0.43527,0.2284,1.00543,0.99876,0.99936,0.99497,0.95392,0.32803,0.15977,0.93132,0.006238,0.006238,0.006238
40,2209.52,0.43513,0.22776,1.00741,0.99923,1,0.99499,0.95776,0.3235,0.15527,0.92652,0.006139,0.006139,0.006139
41,2262.37,0.43535,0.22809,1.0066,0.998,1,0.995,0.95563,0.32721,0.15189,0.92852,0.00604,0.00604,0.00604
42,2315.46,0.43103,0.22436,1.00447,0.99938,0.99996,0.995,0.95802,0.32286,0.15347,0.92627,0.005941,0.005941,0.005941
43,2368.3,0.42965,0.22465,1.00356,0.99932,1,0.995,0.959,0.32304,0.15277,0.92661,0.005842,0.005842,0.005842
44,2421.34,0.42845,0.22143,1.00254,0.99981,0.99938,0.995,0.95662,0.32322,0.15145,0.92784,0.005743,0.005743,0.005743
45,2474.19,0.43048,0.22423,1.00261,0.99743,1,0.99499,0.95708,0.32364,0.15501,0.92689,0.005644,0.005644,0.005644
46,2526.95,0.43071,0.22218,1.00454,0.99871,1,0.995,0.95967,0.317,0.14995,0.9237,0.005545,0.005545,0.005545
