epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.785,1.49181,3.22085,1.11369,0.00412,0.6443,0.33899,0.24247,1.072,3.46336,0.89578,0.00064,0.00064,0.00064
2,119.678,1.12114,1.42598,0.92734,0.0038,0.64155,0.23594,0.15936,1.07186,3.34764,0.91908,0.00128713,0.00128713,0.00128713
3,150.303,1.11895,1.12375,0.94539,0.84327,0.31779,0.60398,0.39038,1.14298,2.38313,1.00266,0.00192119,0.00192119,0.00192119
4,180.734,1.09594,0.92302,0.94934,0.87329,0.78602,0.85084,0.57891,1.0848,1.57323,0.94996,0.0019406,0.0019406,0.0019406
5,211.139,1.07687,0.80924,0.93845,0.5786,0.55804,0.51453,0.32449,1.42682,9.10644,1.13916,0.0019208,0.0019208,0.0019208
6,242.263,1.01337,0.72928,0.92621,0.965,0.92057,0.97,0.70201,0.96417,0.6621,0.89581,0.001901,0.001901,0.001901
7,274.706,0.98721,0.68492,0.9213,0.93578,0.89025,0.93398,0.69395,0.87891,0.66974,0.88937,0.0018812,0.0018812,0.0018812
8,303.228,0.95842,0.6517,0.91447,0.94988,0.87984,0.93929,0.67865,0.92016,0.72468,0.89797,0.0018614,0.0018614,0.0018614
9,333.524,0.9249,0.62099,0.90053,0.95511,0.91853,0.97483,0.73519,0.85009,0.53712,0.88241,0.0018416,0.0018416,0.0018416
10,364.699,0.93031,0.61969,0.90008,0.94439,0.92261,0.96738,0.73456,0.83609,0.53502,0.87706,0.0018218,0.0018218,0.0018218
11,393.35,0.93294,0.61379,0.89672,0.95595,0.93075,0.9792,0.75408,0.82205,0.61451,0.87293,0.001802,0.001802,0.001802
12,424.701,0.90516,0.587,0.8904,0.93857,0.93357,0.97478,0.75876,0.74929,0.56413,0.86247,0.0017822,0.0017822,0.0017822
13,453.018,0.88459,0.56305,0.89619,0.93543,0.94412,0.9747,0.77506,0.74821,0.52875,0.85612,0.0017624,0.0017624,0.0017624
