epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8963,5.38441,11.8117,4.09596,1e-05,0.00204,0,0,5.56177,9.40056,3.92319,0.00064,0.00064,0.00064
2,129.887,3.7756,4.91548,2.72586,0,0,0,0,5.34565,5.53621,4.0047,0.00129571,0.00129571,0.00129571
3,162.527,2.74528,2.96853,2.01426,0.00176,0.30346,0.04497,0.01283,3.45118,3.75883,2.62086,0.00194706,0.00194706,0.00194706
4,190.964,2.23386,1.97743,1.6955,0.52858,0.33605,0.32469,0.145,2.21831,2.07481,1.79237,0.0019802,0.0019802,0.0019802
5,221.477,1.93729,1.52568,1.4933,0.73565,0.54175,0.62281,0.2909,2.02,1.61645,1.62809,0.0019736,0.0019736,0.0019736
6,250.743,1.70682,1.26464,1.37256,0.47824,0.53949,0.44224,0.13087,2.55979,1.53617,1.66215,0.001967,0.001967,0.001967
7,281.873,1.62669,1.1534,1.30235,0.77783,0.69168,0.72965,0.38906,1.65831,1.14012,1.29985,0.0019604,0.0019604,0.0019604
8,310.33,1.48118,1.01052,1.21844,0.92357,0.79837,0.88018,0.54537,1.29302,0.9728,1.18138,0.0019538,0.0019538,0.0019538
9,340.242,1.39803,0.94267,1.17901,0.94513,0.83096,0.88906,0.5738,1.22917,0.87032,1.15368,0.0019472,0.0019472,0.0019472
10,370.336,1.40161,0.92147,1.1699,0.95987,0.82814,0.90699,0.54651,1.22857,0.85373,1.11549,0.0019406,0.0019406,0.0019406
11,398.302,1.36605,0.88731,1.144,0.93817,0.83707,0.91827,0.58592,1.15761,0.8336,1.09775,0.001934,0.001934,0.001934
12,428.459,1.29782,0.8441,1.13179,0.87301,0.84521,0.87941,0.59188,1.137,0.79731,1.07124,0.0019274,0.0019274,0.0019274
13,459.189,1.26351,0.79538,1.10601,0.96581,0.8391,0.92699,0.62699,1.15937,0.72588,1.05404,0.0019208,0.0019208,0.0019208
14,488.441,1.25284,0.78293,1.09787,0.91219,0.87576,0.93478,0.6092,1.10865,0.72248,1.05279,0.0019142,0.0019142,0.0019142
15,517.497,1.21001,0.7766,1.09533,0.92683,0.90291,0.94294,0.62956,1.07473,0.66978,1.05603,0.0019076,0.0019076,0.0019076
16,548.393,1.19777,0.76265,1.07989,0.951,0.84725,0.92714,0.65133,0.99556,0.71301,1.02233,0.001901,0.001901,0.001901
17,577.943,1.20689,0.77171,1.07656,0.97014,0.87373,0.94972,0.66065,1.0297,0.61391,1.0227,0.0018944,0.0018944,0.0018944
18,607.297,1.16977,0.73098,1.07663,0.95948,0.88595,0.95637,0.6727,1.01594,0.63145,1.02641,0.0018878,0.0018878,0.0018878
19,637.511,1.14815,0.7038,1.05458,0.93403,0.86151,0.94354,0.67586,1.01816,0.62275,1.02244,0.0018812,0.0018812,0.0018812
20,666.303,1.15154,0.70417,1.05646,0.95704,0.8554,0.93322,0.62952,1.13681,0.67095,1.04015,0.0018746,0.0018746,0.0018746
21,696.615,1.14482,0.68583,1.03913,0.94716,0.89409,0.94961,0.64038,1.03501,0.65049,1.01758,0.001868,0.001868,0.001868
22,724.954,1.08936,0.64349,1.02729,0.9295,0.91292,0.95995,0.69455,0.89785,0.5847,0.98669,0.0018614,0.0018614,0.0018614
23,754.06,1.11158,0.66752,1.02658,0.94444,0.90224,0.95781,0.6705,0.97323,0.61779,1.0148,0.0018548,0.0018548,0.0018548
24,784.512,1.09278,0.67144,1.03084,0.97743,0.92057,0.96402,0.6936,0.93732,0.57639,0.98744,0.0018482,0.0018482,0.0018482
25,815.087,1.0934,0.65676,1.03224,0.96662,0.90428,0.95585,0.66737,1.01933,0.61185,0.99102,0.0018416,0.0018416,0.0018416
26,846.039,1.07104,0.63158,1.01826,0.97143,0.91446,0.97319,0.70536,0.92118,0.54321,0.95682,0.001835,0.001835,0.001835
27,873.307,1.05081,0.63029,1.02493,0.93516,0.93075,0.97208,0.72331,0.90291,0.57232,0.94806,0.0018284,0.0018284,0.0018284
28,902.802,1.03335,0.61159,1.00291,0.9382,0.93279,0.96542,0.70742,0.869,0.53757,0.96781,0.0018218,0.0018218,0.0018218
