epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.796,5.45093,11.9197,3.96674,0,0,0,0,5.8615,10.2615,4.23248,0.000648148,0.000648148,0.000648148
2,121.895,3.56473,4.90872,2.53205,3e-05,0.00778,2e-05,1e-05,5.71283,10.4335,4.22525,0.00131048,0.00131048,0.00131048
3,152.611,2.70644,2.86586,2.02496,0.29541,0.10895,0.08192,0.03114,3.16597,3.77526,2.43671,0.0019684,0.0019684,0.0019684
4,184.373,2.20629,1.89103,1.68149,0.53178,0.43969,0.39114,0.16817,2.26834,2.12998,1.77055,0.0019802,0.0019802,0.0019802
5,212.966,1.91129,1.49682,1.49087,0.75251,0.67315,0.74196,0.39219,1.74025,1.29554,1.45654,0.0019736,0.0019736,0.0019736
6,240.48,1.72871,1.27145,1.39181,0.85111,0.67704,0.78033,0.36974,1.88995,1.34593,1.46502,0.001967,0.001967,0.001967
7,272.249,1.6716,1.17994,1.33582,0.88931,0.68872,0.79907,0.471,1.62702,1.41938,1.35226,0.0019604,0.0019604,0.0019604
8,298.623,1.56245,1.07125,1.2849,0.88737,0.79708,0.85624,0.51368,1.42575,1.02348,1.25621,0.0019538,0.0019538,0.0019538
9,329.171,1.43188,0.97223,1.21256,0.93558,0.82101,0.88374,0.52995,1.37433,0.91565,1.18224,0.0019472,0.0019472,0.0019472
10,358.581,1.38305,0.90011,1.189,0.92712,0.79767,0.90202,0.58969,1.24623,0.94654,1.14733,0.0019406,0.0019406,0.0019406
11,390.352,1.32373,0.87351,1.14125,0.92583,0.81712,0.8963,0.58311,1.22682,0.85795,1.1286,0.001934,0.001934,0.001934
12,419.332,1.31176,0.85376,1.15313,0.90988,0.86423,0.92388,0.62003,1.10684,0.76857,1.0725,0.0019274,0.0019274,0.0019274
13,454.866,1.26107,0.81114,1.12142,0.91937,0.79865,0.87531,0.51537,1.40174,1.17045,1.16878,0.0019208,0.0019208,0.0019208
14,485.842,1.28967,0.82132,1.13475,0.8839,0.87938,0.91268,0.6284,1.13945,0.87152,1.091,0.0019142,0.0019142,0.0019142
15,519.372,1.20767,0.77376,1.1017,0.94862,0.86212,0.92359,0.60137,1.15523,0.80784,1.09187,0.0019076,0.0019076,0.0019076
16,544.783,1.22766,0.76154,1.0809,0.92005,0.85603,0.91234,0.61241,1.16729,0.82474,1.09068,0.001901,0.001901,0.001901
17,573.987,1.17184,0.73561,1.07952,0.96801,0.88327,0.94688,0.65135,1.06736,0.64777,1.03006,0.0018944,0.0018944,0.0018944
18,600.39,1.15151,0.71045,1.0618,0.97324,0.88327,0.94972,0.67146,1.02104,0.66461,1.01092,0.0018878,0.0018878,0.0018878
19,629.159,1.13438,0.69909,1.0483,0.96808,0.85603,0.94278,0.68298,0.99702,0.67277,1.02837,0.0018812,0.0018812,0.0018812
20,658.351,1.1364,0.70876,1.05355,0.9426,0.89451,0.95035,0.67941,1.03548,0.62348,1.04436,0.0018746,0.0018746,0.0018746
21,688.501,1.07813,0.66106,1.02584,0.93174,0.90285,0.95182,0.71475,0.89747,0.58488,1.00233,0.001868,0.001868,0.001868
22,715.99,1.10329,0.67183,1.03578,0.96647,0.89729,0.96468,0.66844,1.13128,0.63363,1.01296,0.0018614,0.0018614,0.0018614
23,746.701,1.10298,0.66742,1.02976,0.97074,0.90378,0.96152,0.69731,0.94865,0.61187,1.00225,0.0018548,0.0018548,0.0018548
24,772.175,1.05675,0.64553,1.01738,0.9146,0.93385,0.95824,0.70413,0.97583,0.58738,1.01046,0.0018482,0.0018482,0.0018482
25,801.884,1.06735,0.64773,1.02019,0.93811,0.9144,0.95926,0.69395,0.99829,0.62286,1.00114,0.0018416,0.0018416,0.0018416
26,827.168,1.03914,0.63251,1.01182,0.91894,0.85214,0.90949,0.65468,1.05888,0.82053,1.02729,0.001835,0.001835,0.001835
27,858.291,1.0204,0.62573,1.00309,0.9134,0.93385,0.95226,0.72148,0.91932,0.62772,0.98279,0.0018284,0.0018284,0.0018284
