epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4777,1.33542,5.10489,1.09605,0.89288,0.87938,0.91896,0.6817,0.89775,0.84359,0.9099,0.000657005,0.000657005,0.000657005
2,89.3744,1.04839,0.83117,0.95827,0.00133,0.21401,0.00078,0.0005,nan,nan,nan,0.00131057,0.00131057,0.00131057
3,119.095,1.09161,0.79989,0.98032,0.88738,0.84825,0.89994,0.60571,1.07719,0.82276,0.98555,0.00195093,0.00195093,0.00195093
4,151.635,1.01865,0.71975,0.96112,0.94228,0.88929,0.95523,0.67505,1.09108,0.82483,0.99892,0.0019406,0.0019406,0.0019406
5,179.713,1.02411,0.6962,0.95055,0.85333,0.83759,0.89442,0.62146,1.09168,0.74751,0.98558,0.0019208,0.0019208,0.0019208
6,211.698,0.95351,0.64181,0.93379,0.97031,0.89006,0.94265,0.7166,0.89981,0.6541,0.91939,0.001901,0.001901,0.001901
7,243.29,0.95043,0.64575,0.92171,0.91848,0.9144,0.96258,0.69862,0.92995,0.65861,0.89325,0.0018812,0.0018812,0.0018812
8,274.564,0.89539,0.59142,0.92176,0.96335,0.92996,0.9759,0.77269,0.77098,0.53833,0.88141,0.0018614,0.0018614,0.0018614
9,303.3,0.89248,0.58947,0.90907,0.9438,0.91476,0.96892,0.74928,0.8248,0.55611,0.8707,0.0018416,0.0018416,0.0018416
10,335.467,0.84793,0.55955,0.89695,0.92904,0.89883,0.95787,0.72817,0.88556,0.59616,0.90961,0.0018218,0.0018218,0.0018218
11,367.401,0.85482,0.55651,0.89739,0.93076,0.94942,0.97928,0.79001,0.71075,0.49509,0.85972,0.001802,0.001802,0.001802
12,394.768,0.8038,0.52387,0.88535,0.97575,0.93954,0.98136,0.79066,0.69,0.47236,0.84119,0.0017822,0.0017822,0.0017822
13,425.973,0.81829,0.5223,0.89036,0.98789,0.95263,0.97543,0.78802,0.70057,0.60596,0.8547,0.0017624,0.0017624,0.0017624
14,455.977,0.80996,0.52574,0.88163,0.96093,0.96109,0.98892,0.81223,0.66982,0.43413,0.84308,0.0017426,0.0017426,0.0017426
15,487.733,0.77199,0.5064,0.8861,0.95764,0.97276,0.98295,0.81579,0.65422,0.43058,0.83916,0.0017228,0.0017228,0.0017228
16,518.694,0.77016,0.49744,0.87675,0.93948,0.96644,0.98467,0.79766,0.68522,0.4787,0.84814,0.001703,0.001703,0.001703
17,547.634,0.77147,0.50672,0.8778,0.94909,0.94298,0.97322,0.79616,0.68891,0.48652,0.84796,0.0016832,0.0016832,0.0016832
18,578.048,0.76168,0.48564,0.88049,0.96891,0.96998,0.98829,0.81614,0.63921,0.43349,0.83913,0.0016634,0.0016634,0.0016634
19,608.729,0.73955,0.47716,0.86506,0.9679,0.96109,0.98245,0.81282,0.66395,0.43321,0.84328,0.0016436,0.0016436,0.0016436
20,638.669,0.73264,0.47541,0.86354,0.96387,0.93428,0.98644,0.80985,0.67022,0.43735,0.83678,0.0016238,0.0016238,0.0016238
21,669.997,0.73678,0.48366,0.86683,0.96865,0.96165,0.98889,0.82086,0.64645,0.41212,0.83691,0.001604,0.001604,0.001604
22,700.78,0.70707,0.45532,0.859,0.98016,0.96116,0.98448,0.82324,0.62991,0.39622,0.8254,0.0015842,0.0015842,0.0015842
23,733.619,0.71915,0.45181,0.86137,0.96787,0.96109,0.98903,0.83084,0.63078,0.4019,0.83128,0.0015644,0.0015644,0.0015644
24,764.215,0.7149,0.45119,0.85873,0.96356,0.9259,0.97434,0.81391,0.63452,0.47093,0.8336,0.0015446,0.0015446,0.0015446
25,792.016,0.71369,0.45598,0.86266,0.96316,0.96498,0.9895,0.81923,0.65259,0.41874,0.83431,0.0015248,0.0015248,0.0015248
26,823.929,0.72235,0.44588,0.85379,0.94326,0.97033,0.98441,0.82995,0.64667,0.42122,0.82784,0.001505,0.001505,0.001505
27,853.567,0.67839,0.43823,0.84862,0.96883,0.96887,0.99137,0.84192,0.59867,0.37965,0.81983,0.0014852,0.0014852,0.0014852
28,886.128,0.68647,0.43873,0.85132,0.97857,0.96109,0.9915,0.84026,0.61038,0.3833,0.82832,0.0014654,0.0014654,0.0014654
29,916.649,0.67707,0.4292,0.85132,0.95414,0.97149,0.98874,0.8261,0.6083,0.38359,0.82433,0.0014456,0.0014456,0.0014456
