epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4706,1.17197,1.2939,1.01574,0.09748,0.8677,0.09457,0.06243,1.11753,21.6824,0.96385,0.000662447,0.000662447,0.000662447
2,78.0181,1.17261,0.90749,1.00035,0.04927,0.50195,0.03742,0.02285,nan,nan,nan,0.00131596,0.00131596,0.00131596
3,113.227,1.22253,0.91177,1.01636,0.21985,0.64981,0.1797,0.10159,1.46727,5.93164,1.2031,0.00195626,0.00195626,0.00195626
4,146.104,1.16374,0.87242,1.00984,0.94002,0.89105,0.95286,0.68054,0.96672,0.81609,0.96697,0.0019406,0.0019406,0.0019406
5,178.305,1.06726,0.74053,0.98371,0.87158,0.82101,0.88558,0.62654,0.97767,1.14065,0.97908,0.0019208,0.0019208,0.0019208
6,210.17,1.04756,0.72249,0.97282,0.86117,0.79653,0.89873,0.6624,0.91787,0.87205,0.93214,0.001901,0.001901,0.001901
7,243.25,1.01219,0.69158,0.94657,0.95921,0.91491,0.9622,0.71846,0.89302,0.58661,0.93087,0.0018812,0.0018812,0.0018812
8,277.605,0.93891,0.62651,0.93465,0.96802,0.94236,0.97467,0.76707,0.75072,0.50592,0.86221,0.0018614,0.0018614,0.0018614
9,309.648,0.89124,0.6052,0.91897,0.96378,0.93191,0.97592,0.75458,0.80522,0.51171,0.88285,0.0018416,0.0018416,0.0018416
10,342.6,0.88729,0.59698,0.92075,0.9269,0.92218,0.96806,0.76041,0.75478,0.55591,0.87968,0.0018218,0.0018218,0.0018218
11,376.207,0.86977,0.58392,0.90759,0.97344,0.96498,0.98734,0.78303,0.74567,0.49191,0.8636,0.001802,0.001802,0.001802
12,409.634,0.84723,0.54503,0.9034,0.93361,0.89883,0.96025,0.78209,0.7187,0.52172,0.86759,0.0017822,0.0017822,0.0017822
13,442.032,0.84276,0.54426,0.89019,0.94243,0.95543,0.98416,0.78333,0.71987,0.47313,0.84454,0.0017624,0.0017624,0.0017624
14,474.75,0.78997,0.53637,0.88401,0.97544,0.92715,0.97081,0.79113,0.69797,0.45661,0.85214,0.0017426,0.0017426,0.0017426
15,508.244,0.79995,0.53026,0.88788,0.94866,0.93469,0.97927,0.80921,0.64555,0.45074,0.85008,0.0017228,0.0017228,0.0017228
16,541.408,0.79571,0.52147,0.8854,0.95249,0.93604,0.97934,0.80228,0.65892,0.43962,0.84327,0.001703,0.001703,0.001703
17,573.187,0.78366,0.50455,0.87712,0.96254,0.95331,0.9817,0.81282,0.69661,0.44192,0.84219,0.0016832,0.0016832,0.0016832
18,605.162,0.76903,0.49656,0.88134,0.97288,0.94942,0.98028,0.79317,0.72535,0.44161,0.84829,0.0016634,0.0016634,0.0016634
19,637.78,0.76077,0.49984,0.87892,0.95957,0.9572,0.98057,0.81352,0.6428,0.41711,0.82789,0.0016436,0.0016436,0.0016436
20,669.604,0.75465,0.49093,0.87442,0.9689,0.9697,0.99006,0.81878,0.6473,0.42583,0.83149,0.0016238,0.0016238,0.0016238
21,702.789,0.72896,0.48297,0.86629,0.9253,0.96392,0.9803,0.82077,0.61983,0.43872,0.83088,0.001604,0.001604,0.001604
22,736.056,0.73358,0.47111,0.86802,0.9702,0.96109,0.98822,0.82632,0.63348,0.41156,0.82744,0.0015842,0.0015842,0.0015842
23,768.598,0.74995,0.47817,0.87158,0.92018,0.9572,0.97683,0.79445,0.68811,0.44545,0.83842,0.0015644,0.0015644,0.0015644
24,801.787,0.72016,0.46374,0.86551,0.98074,0.93774,0.98069,0.81565,0.65844,0.42339,0.8289,0.0015446,0.0015446,0.0015446
25,834.147,0.72336,0.46807,0.86328,0.94696,0.97266,0.98861,0.83576,0.58861,0.39105,0.81909,0.0015248,0.0015248,0.0015248
26,867.246,0.70267,0.44386,0.85723,0.98518,0.97276,0.98512,0.84085,0.59846,0.37466,0.81785,0.001505,0.001505,0.001505
27,900.24,0.68166,0.43958,0.85072,0.97245,0.96124,0.98864,0.86018,0.56129,0.36127,0.80669,0.0014852,0.0014852,0.0014852
28,932.484,0.6792,0.43951,0.85824,0.96005,0.96498,0.98485,0.85285,0.57432,0.37268,0.81419,0.0014654,0.0014654,0.0014654
29,964.783,0.67774,0.43181,0.85262,0.97327,0.96887,0.98984,0.84415,0.59688,0.37239,0.81995,0.0014456,0.0014456,0.0014456
30,998.885,0.69153,0.43862,0.85468,0.97019,0.97276,0.99191,0.83953,0.60277,0.37966,0.82141,0.0014258,0.0014258,0.0014258
31,1030.44,0.68156,0.42116,0.84973,0.96364,0.96498,0.98237,0.82331,0.61158,0.39326,0.82205,0.001406,0.001406,0.001406
