epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4285,1.01461,3.49201,0.9947,0.93131,0.88798,0.96099,0.73272,0.86425,1.76272,0.93845,0.000661616,0.000661616,0.000661616
2,109.165,0.93971,1.73722,0.95841,0.96697,0.90835,0.97575,0.73036,0.88496,1.08126,0.95115,0.0013239,0.0013239,0.0013239
3,157.488,0.90518,1.15262,0.95796,0.95532,0.92668,0.97396,0.767,0.78263,0.74299,0.95854,0.00198178,0.00198178,0.00198178
4,203.947,0.9216,0.8958,0.96601,0.93244,0.95577,0.97724,0.76877,0.77123,0.58953,0.94276,0.0019802,0.0019802,0.0019802
5,253.827,0.87198,0.73637,0.9434,0.95238,0.88187,0.96214,0.7712,0.75503,0.63458,0.92383,0.0019736,0.0019736,0.0019736
6,299.861,0.83959,0.66156,0.93486,0.93404,0.90224,0.95678,0.75753,0.80519,0.70743,0.9477,0.001967,0.001967,0.001967
7,350.672,0.83662,0.64299,0.93595,0.94576,0.96538,0.98693,0.81149,0.71425,0.51127,0.90798,0.0019604,0.0019604,0.0019604
8,396.117,0.80502,0.59726,0.91885,0.94794,0.97963,0.98377,0.7915,0.74824,0.51019,0.9262,0.0019538,0.0019538,0.0019538
9,440.24,0.7997,0.59295,0.92024,0.985,0.9776,0.99242,0.82292,0.67059,0.47186,0.89391,0.0019472,0.0019472,0.0019472
10,485.631,0.76276,0.56209,0.90858,0.97321,0.96741,0.9892,0.82068,0.65596,0.46964,0.8845,0.0019406,0.0019406,0.0019406
11,532.98,0.76716,0.53769,0.89728,0.97353,0.97366,0.98953,0.82318,0.64734,0.44086,0.8751,0.001934,0.001934,0.001934
12,582.221,0.74214,0.51691,0.89526,0.94895,0.94643,0.98606,0.82451,0.63591,0.46728,0.8852,0.0019274,0.0019274,0.0019274
13,630.096,0.73185,0.50937,0.89131,0.95207,0.97095,0.98789,0.83307,0.64437,0.46069,0.87872,0.0019208,0.0019208,0.0019208
14,678.209,0.69678,0.51126,0.88719,0.96745,0.97963,0.9918,0.84448,0.65264,0.46163,0.87076,0.0019142,0.0019142,0.0019142
15,728.143,0.71953,0.51535,0.89197,0.95274,0.95927,0.98759,0.8345,0.62868,0.45978,0.88206,0.0019076,0.0019076,0.0019076
16,776.312,0.70632,0.50059,0.88631,0.97196,0.9884,0.99101,0.84625,0.59274,0.39733,0.86789,0.001901,0.001901,0.001901
17,822.41,0.6817,0.47746,0.87793,0.99175,0.97927,0.99195,0.84528,0.59274,0.42467,0.86066,0.0018944,0.0018944,0.0018944
18,868.021,0.69349,0.47425,0.88124,0.96713,0.98371,0.99066,0.84678,0.59674,0.41561,0.85797,0.0018878,0.0018878,0.0018878
19,912.184,0.67758,0.46706,0.87558,0.97942,0.99185,0.99295,0.86624,0.55976,0.3777,0.85985,0.0018812,0.0018812,0.0018812
