epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6222,1.9652,3.10733,1.36945,0,0,0,0,nan,nan,nan,0.0032,0.0032,0.0712
2,37.5378,1.71484,1.35119,1.26663,0,0,0,0,nan,nan,nan,0.00651177,0.00651177,0.0411784
3,52.7103,1.57262,1.18296,1.17784,0,0,0,0,nan,nan,nan,0.00980155,0.00980155,0.0111349
4,64.6288,1.53641,1.08138,1.16952,0,0,0,0,nan,nan,nan,0.009901,0.009901,0.009901
5,83.2779,1.37844,0.98009,1.12018,0.05724,0.0087,0.00036,0.00021,nan,nan,nan,0.009868,0.009868,0.009868
6,99.0997,1.31538,0.90316,1.08128,0.0333,0.36522,0.01686,0.0069,nan,nan,nan,0.009835,0.009835,0.009835
7,114.136,1.35451,0.89488,1.07291,0.78425,0.70435,0.74586,0.42122,1.67176,7.41317,1.40513,0.009802,0.009802,0.009802
8,127.839,1.28837,0.84205,1.06185,0.94556,0.89565,0.93188,0.6106,1.31318,1.54484,1.16167,0.009769,0.009769,0.009769
9,140.518,1.20685,0.78257,1.05136,0.74937,0.72801,0.79538,0.48228,1.36574,4.52894,1.22036,0.009736,0.009736,0.009736
10,152.955,1.18344,0.79282,1.0442,0.96195,0.87826,0.92694,0.65813,1.09035,1.15196,1.07718,0.009703,0.009703,0.009703
11,165.841,1.10045,0.71364,0.9868,0.84691,0.83478,0.84735,0.57367,1.20452,1.16452,1.11172,0.00967,0.00967,0.00967
12,178.607,1.13788,0.73384,1.01801,0.94172,0.87826,0.95032,0.67527,1.12765,1.70354,1.09129,0.009637,0.009637,0.009637
13,191.067,1.07095,0.69256,0.97776,0.93103,0.88696,0.94668,0.66217,1.14158,0.75865,1.09773,0.009604,0.009604,0.009604
14,203.351,1.03741,0.68614,0.97138,0.96561,0.91304,0.94521,0.68529,1.00833,0.74789,1.05742,0.009571,0.009571,0.009571
15,216.442,1.02696,0.65486,0.96695,0.96177,0.89565,0.96257,0.69999,1.05396,0.96684,1.06615,0.009538,0.009538,0.009538
16,229.176,1.07759,0.67619,0.98109,0.96053,0.84641,0.93164,0.59339,1.25729,0.88262,1.11332,0.009505,0.009505,0.009505
17,242.324,1.05379,0.64988,0.94871,0.94401,0.90435,0.93592,0.65403,1.0957,0.75608,1.04369,0.009472,0.009472,0.009472
18,255.018,1.02689,0.63265,0.95952,0.97186,0.83478,0.92447,0.6689,1.0962,0.93525,1.07288,0.009439,0.009439,0.009439
19,267.612,1.01826,0.64472,0.96041,0.97134,0.88424,0.93358,0.68831,0.98933,1.33505,1.03575,0.009406,0.009406,0.009406
20,280.33,0.96981,0.62282,0.95466,0.9686,0.88696,0.93405,0.68816,1.05733,1.06335,1.02764,0.009373,0.009373,0.009373
21,293.349,0.97824,0.59708,0.93453,0.97202,0.90643,0.96626,0.73146,0.96197,0.87129,1.0019,0.00934,0.00934,0.00934
22,306.02,0.97931,0.62288,0.94878,0.99056,0.91244,0.95624,0.70122,0.97426,0.74096,0.97651,0.009307,0.009307,0.009307
23,319.242,0.93763,0.56802,0.92594,0.9934,0.93043,0.97292,0.7356,0.92276,0.62399,0.96114,0.009274,0.009274,0.009274
24,332.037,0.92522,0.56723,0.92249,0.94103,0.97136,0.98143,0.74194,0.87794,0.60037,0.96695,0.009241,0.009241,0.009241
25,344.15,0.90315,0.57755,0.92403,0.99921,0.86957,0.92004,0.71401,0.93471,0.7849,0.98392,0.009208,0.009208,0.009208
26,357.449,0.98594,0.61075,0.94323,0.96915,0.81954,0.92188,0.67818,1.04352,0.81531,1.03427,0.009175,0.009175,0.009175
27,370.166,0.95363,0.59824,0.93792,0.97272,0.93035,0.97218,0.74347,0.9418,0.6424,0.96729,0.009142,0.009142,0.009142
28,383.106,0.89337,0.55944,0.917,0.96235,0.88913,0.94995,0.71801,0.99423,0.72823,0.98998,0.009109,0.009109,0.009109
29,396.31,0.94053,0.57478,0.927,1,0.89123,0.94301,0.68234,1.10403,0.74388,1.06576,0.009076,0.009076,0.009076
30,409.171,0.91097,0.54864,0.90245,1,0.94772,0.98343,0.74609,0.92541,0.64571,0.96657,0.009043,0.009043,0.009043
31,422.706,0.91264,0.56716,0.9087,0.94158,0.84091,0.91322,0.70172,0.94814,1.21566,0.98858,0.00901,0.00901,0.00901
