epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3729,4.71262,12.2271,4.33016,1e-05,0.00204,0,0,5.22286,5.86559,4.2438,0.00330808,0.00330808,0.00330808
2,102.305,3.48546,5.10935,3.28468,0.00284,0.41955,0.01965,0.00409,3.43461,3.56093,3.26805,0.00663046,0.00663046,0.00663046
3,148.619,2.59588,3.00499,2.52898,0.39625,0.18312,0.19785,0.08493,2.47692,2.81893,2.56436,0.00994183,0.00994183,0.00994183
4,195.505,2.17678,2.16752,2.16168,0.61926,0.52546,0.5624,0.2293,2.09219,2.02257,2.12226,0.0099505,0.0099505,0.0099505
5,239.048,1.86994,1.55408,1.85168,0.80444,0.65347,0.75403,0.3908,1.78857,1.44696,1.88305,0.009934,0.009934,0.009934
6,286.486,1.64442,1.24555,1.68263,0.87095,0.75598,0.8464,0.51369,1.45973,1.15886,1.64497,0.0099175,0.0099175,0.0099175
7,332.716,1.48475,1.09898,1.54367,0.95328,0.83096,0.92453,0.59509,1.26575,0.94732,1.46188,0.009901,0.009901,0.009901
8,378.599,1.37645,0.95775,1.44862,0.94554,0.85743,0.92434,0.57572,1.35469,0.91702,1.44758,0.0098845,0.0098845,0.0098845
9,423.358,1.30184,0.90159,1.3924,0.93628,0.81263,0.91768,0.60008,1.19514,0.86799,1.38836,0.009868,0.009868,0.009868
10,469.608,1.23888,0.83989,1.34228,0.93072,0.87373,0.94799,0.65205,1.1006,0.72097,1.31227,0.0098515,0.0098515,0.0098515
11,516.909,1.19718,0.79172,1.2975,0.95545,0.87366,0.95501,0.67498,1.04546,0.68464,1.28163,0.009835,0.009835,0.009835
12,562.803,1.14819,0.75301,1.27577,0.95095,0.90818,0.96853,0.67925,1.05372,0.65914,1.25401,0.0098185,0.0098185,0.0098185
13,606.71,1.12139,0.73158,1.25232,0.92519,0.89613,0.96464,0.70699,0.99488,0.63397,1.25545,0.009802,0.009802,0.009802
14,652.487,1.08883,0.70931,1.21993,0.95935,0.87984,0.96919,0.68119,1.05445,0.6492,1.29627,0.0097855,0.0097855,0.0097855
15,700.085,1.08229,0.69898,1.20532,0.97309,0.87169,0.96906,0.70555,0.96641,0.63888,1.23639,0.009769,0.009769,0.009769
16,746.358,1.03062,0.68067,1.18277,0.94612,0.94705,0.97861,0.73286,0.92751,0.58916,1.20957,0.0097525,0.0097525,0.0097525
17,792.66,1.00467,0.64717,1.18053,0.90624,0.96458,0.97643,0.76127,0.83535,0.57467,1.13983,0.009736,0.009736,0.009736
18,836.347,0.98769,0.64917,1.15262,0.95539,0.95951,0.98181,0.75893,0.86417,0.53779,1.15182,0.0097195,0.0097195,0.0097195
19,883.776,0.95985,0.61382,1.14043,0.91579,0.95723,0.97797,0.75071,0.86055,0.5812,1.15786,0.009703,0.009703,0.009703
20,929.496,0.97573,0.62854,1.14975,0.95928,0.92261,0.96639,0.75751,0.84362,0.56828,1.16017,0.0096865,0.0096865,0.0096865
21,976.531,0.94238,0.6047,1.1088,0.96656,0.94199,0.98175,0.77574,0.81576,0.53051,1.11203,0.00967,0.00967,0.00967
22,1022.42,0.94599,0.60036,1.1252,0.96105,0.95488,0.98349,0.7771,0.79445,0.51535,1.11226,0.0096535,0.0096535,0.0096535
23,1068.18,0.9314,0.58865,1.10539,0.96311,0.95723,0.98752,0.78923,0.76064,0.49799,1.07222,0.009637,0.009637,0.009637
24,1113.84,0.90568,0.57501,1.09844,0.96694,0.96334,0.98728,0.79894,0.75837,0.49283,1.07901,0.0096205,0.0096205,0.0096205
25,1161.28,0.90509,0.5779,1.10417,0.97756,0.94501,0.98684,0.79525,0.7553,0.47515,1.06604,0.009604,0.009604,0.009604
26,1208.02,0.89337,0.56734,1.08904,0.95965,0.96872,0.98645,0.78988,0.75652,0.48452,1.0684,0.0095875,0.0095875,0.0095875
27,1252.3,0.86825,0.54977,1.07984,0.9761,0.95112,0.98561,0.79897,0.73668,0.48057,1.06623,0.009571,0.009571,0.009571
28,1298.46,0.87007,0.55984,1.05865,0.97497,0.95198,0.98725,0.80052,0.69903,0.47624,1.02746,0.0095545,0.0095545,0.0095545
29,1345.73,0.87163,0.55572,1.07542,0.95973,0.97083,0.98959,0.80001,0.72353,0.48066,1.04489,0.009538,0.009538,0.009538
30,1394.13,0.83339,0.53209,1.04924,0.95619,0.97789,0.98853,0.80509,0.72018,0.45734,1.04005,0.0095215,0.0095215,0.0095215
31,1440.84,0.84104,0.53205,1.05668,0.9737,0.98035,0.99057,0.82401,0.67216,0.44054,1.01379,0.009505,0.009505,0.009505
32,1486.9,0.82124,0.53254,1.04383,0.96967,0.97668,0.98738,0.82127,0.67124,0.44001,1.00923,0.0094885,0.0094885,0.0094885
33,1533.27,0.81124,0.52321,1.03558,0.98325,0.97149,0.98918,0.81624,0.69787,0.44009,1.02439,0.009472,0.009472,0.009472
34,1580.06,0.83007,0.52844,1.03264,0.97815,0.96334,0.98991,0.82799,0.65689,0.4438,0.99598,0.0094555,0.0094555,0.0094555
35,1626.86,0.80968,0.52163,1.03473,0.97944,0.97556,0.98459,0.82167,0.66511,0.42847,1.00487,0.009439,0.009439,0.009439
36,1671.99,0.80361,0.51285,1.0256,0.97147,0.97105,0.98826,0.81664,0.67427,0.43001,1.00076,0.0094225,0.0094225,0.0094225
37,1716.35,0.80129,0.51758,1.02558,0.96686,0.96538,0.98767,0.82587,0.65028,0.42861,0.9944,0.009406,0.009406,0.009406
38,1764.73,0.79259,0.50859,1.01668,0.9756,0.97722,0.99096,0.82454,0.66037,0.41758,0.99498,0.0093895,0.0093895,0.0093895
39,1811.82,0.79071,0.50043,1.01898,0.96984,0.98254,0.98922,0.83688,0.65859,0.41733,1.00533,0.009373,0.009373,0.009373
40,1859,0.76665,0.49246,1.00857,0.96783,0.98021,0.98812,0.83107,0.63301,0.41545,0.98031,0.0093565,0.0093565,0.0093565
41,1904.1,0.77539,0.48652,1.01586,0.97476,0.96538,0.98923,0.82347,0.66474,0.41153,0.99773,0.00934,0.00934,0.00934
42,1950.16,0.77208,0.48751,1.01316,0.96378,0.97559,0.99087,0.83256,0.61998,0.40855,0.98229,0.0093235,0.0093235,0.0093235
43,1995.3,0.7754,0.48871,1.00499,0.96501,0.98167,0.98898,0.83683,0.63008,0.40587,0.97274,0.009307,0.009307,0.009307
44,2042.82,0.74842,0.47515,0.9972,0.99373,0.96866,0.99114,0.82606,0.67616,0.40798,0.99435,0.0092905,0.0092905,0.0092905
45,2089.4,0.75973,0.47767,1.00542,0.9755,0.97314,0.98982,0.83069,0.66012,0.40479,0.99688,0.009274,0.009274,0.009274
46,2136.07,0.75466,0.47629,1.0049,0.98255,0.96741,0.99071,0.83237,0.63906,0.39928,0.97467,0.0092575,0.0092575,0.0092575
47,2180.95,0.73949,0.46887,0.97811,0.98688,0.96741,0.98954,0.84212,0.60838,0.39341,0.9676,0.009241,0.009241,0.009241
48,2227.88,0.73312,0.4777,0.98726,0.98711,0.97149,0.99074,0.83515,0.62079,0.41185,0.97002,0.0092245,0.0092245,0.0092245
49,2276.12,0.74,0.47075,0.99028,0.97546,0.97963,0.98961,0.83798,0.59989,0.40012,0.97422,0.009208,0.009208,0.009208
50,2323.26,0.7411,0.45801,0.98953,0.97364,0.97809,0.99143,0.85162,0.60635,0.38584,0.97791,0.0091915,0.0091915,0.0091915
51,2369.73,0.72129,0.46058,0.98413,0.96559,0.9776,0.98863,0.84332,0.60831,0.39539,0.96077,0.009175,0.009175,0.009175
52,2416.61,0.71225,0.46165,0.984,0.97154,0.98167,0.9907,0.85534,0.59266,0.37689,0.96087,0.0091585,0.0091585,0.0091585
53,2462.24,0.71804,0.45082,0.98884,0.96022,0.98317,0.98905,0.84981,0.59471,0.38621,0.96229,0.009142,0.009142,0.009142
54,2510.33,0.73044,0.45405,0.98676,0.97164,0.97685,0.98876,0.8561,0.58484,0.37362,0.96198,0.0091255,0.0091255,0.0091255
55,2554.16,0.72267,0.45626,0.98171,0.96339,0.96475,0.98809,0.83854,0.62282,0.41443,0.97555,0.009109,0.009109,0.009109
56,2602.44,0.71721,0.45591,0.97226,0.95051,0.97791,0.98821,0.84653,0.59933,0.39154,0.96682,0.0090925,0.0090925,0.0090925
57,2648.64,0.71189,0.45468,0.97649,0.98551,0.96947,0.99159,0.84934,0.58152,0.3793,0.95378,0.009076,0.009076,0.009076
58,2696.03,0.69055,0.43468,0.97679,0.9841,0.97149,0.99106,0.8586,0.57868,0.37189,0.94145,0.0090595,0.0090595,0.0090595
59,2741.28,0.69996,0.44239,0.96655,0.97763,0.97897,0.99041,0.84925,0.59875,0.36977,0.95541,0.009043,0.009043,0.009043
60,2788.53,0.7007,0.44127,0.96578,0.96997,0.9776,0.99029,0.84944,0.58129,0.37169,0.94893,0.0090265,0.0090265,0.0090265
61,2833.62,0.69027,0.43604,0.96162,0.96235,0.98371,0.98929,0.85007,0.58722,0.38408,0.9477,0.00901,0.00901,0.00901
62,2879.83,0.68972,0.44148,0.97755,0.96653,0.97963,0.98929,0.86022,0.5732,0.37353,0.94335,0.0089935,0.0089935,0.0089935
63,2926.51,0.67588,0.4326,0.95876,0.97188,0.98556,0.99105,0.8642,0.56538,0.36445,0.93588,0.008977,0.008977,0.008977
64,2972.09,0.69829,0.43642,0.97568,0.97199,0.98574,0.98931,0.85553,0.57159,0.3687,0.93548,0.0089605,0.0089605,0.0089605
65,3019.01,0.66733,0.42036,0.95728,0.96712,0.98167,0.99048,0.85844,0.5544,0.36459,0.92588,0.008944,0.008944,0.008944
66,3066.26,0.68393,0.43866,0.97569,0.98139,0.97352,0.99126,0.86212,0.56559,0.36032,0.93638,0.0089275,0.0089275,0.0089275
67,3113.25,0.67338,0.43661,0.95863,0.96395,0.98019,0.98961,0.85286,0.56872,0.36925,0.94153,0.008911,0.008911,0.008911
68,3158.24,0.67807,0.42857,0.96198,0.96973,0.97879,0.99071,0.85655,0.56248,0.36088,0.93647,0.0088945,0.0088945,0.0088945
69,3205.57,0.67607,0.43115,0.96238,0.9686,0.98574,0.99114,0.86694,0.55168,0.35781,0.92679,0.008878,0.008878,0.008878
70,3252.77,0.66723,0.42035,0.95588,0.97577,0.98426,0.99125,0.86377,0.55802,0.35912,0.94305,0.0088615,0.0088615,0.0088615
71,3297.91,0.66874,0.41522,0.9499,0.97754,0.99185,0.99049,0.86137,0.56032,0.34988,0.92733,0.008845,0.008845,0.008845
72,3345.78,0.66246,0.42374,0.94762,0.98103,0.97963,0.9919,0.86825,0.56971,0.35154,0.93846,0.0088285,0.0088285,0.0088285
73,3391.43,0.64925,0.4118,0.93855,0.97713,0.98574,0.99087,0.86244,0.55722,0.34442,0.93425,0.008812,0.008812,0.008812
74,3438.28,0.67002,0.42504,0.95433,0.96784,0.98073,0.98958,0.86326,0.53763,0.34987,0.92237,0.0087955,0.0087955,0.0087955
75,3484.84,0.65523,0.41992,0.95419,0.96662,0.98574,0.99078,0.85814,0.56138,0.34827,0.92973,0.008779,0.008779,0.008779
76,3530.37,0.66764,0.41971,0.95602,0.97403,0.99319,0.99195,0.87107,0.54345,0.33465,0.92134,0.0087625,0.0087625,0.0087625
77,3578.43,0.65214,0.40899,0.94093,0.97899,0.98574,0.99248,0.85623,0.55976,0.35167,0.92322,0.008746,0.008746,0.008746
78,3626.25,0.66155,0.41879,0.94664,0.97174,0.98043,0.99044,0.86493,0.53704,0.33824,0.92501,0.0087295,0.0087295,0.0087295
79,3669.81,0.64005,0.40787,0.935,0.97187,0.98519,0.99084,0.88007,0.51912,0.32721,0.9163,0.008713,0.008713,0.008713
80,3717.83,0.63506,0.39691,0.93546,0.97173,0.99593,0.98989,0.87539,0.53436,0.33135,0.91493,0.0086965,0.0086965,0.0086965
81,3765.14,0.64479,0.40565,0.9484,0.97462,0.98982,0.99149,0.85844,0.55534,0.35074,0.93106,0.00868,0.00868,0.00868
82,3809.42,0.64723,0.40481,0.94589,0.98287,0.98167,0.99192,0.87759,0.54948,0.33896,0.92134,0.0086635,0.0086635,0.0086635
83,3855.88,0.64452,0.40877,0.93691,0.97208,0.98371,0.99011,0.87231,0.53508,0.34057,0.91833,0.008647,0.008647,0.008647
84,3903.38,0.63666,0.39957,0.94249,0.96653,0.97963,0.98997,0.86778,0.54255,0.34316,0.91928,0.0086305,0.0086305,0.0086305
85,3950.13,0.61865,0.39982,0.93947,0.98811,0.97556,0.99257,0.87652,0.52917,0.327,0.91756,0.008614,0.008614,0.008614
