epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7414,1.00834,3.7281,0.99471,0.94787,0.91829,0.97256,0.72708,0.91334,2.16843,0.90246,0.000662447,0.000662447,0.000662447
2,93.7493,0.96228,1.93008,0.95904,0.91349,0.92607,0.95517,0.71811,0.84983,1.1393,0.91942,0.00132473,0.00132473,0.00132473
3,138.278,0.94173,1.23507,0.95576,0.95981,0.92921,0.98007,0.76098,0.80665,0.6886,0.91278,0.00198261,0.00198261,0.00198261
4,179.707,0.91184,0.93869,0.95305,0.95336,0.95451,0.98109,0.78224,0.75666,0.60106,0.89201,0.0019802,0.0019802,0.0019802
5,222.669,0.86042,0.76863,0.93301,0.95367,0.96115,0.98735,0.77891,0.77533,0.57695,0.88713,0.0019736,0.0019736,0.0019736
6,263.966,0.86939,0.69997,0.93768,0.96285,0.96109,0.988,0.73797,0.83597,0.59087,0.91692,0.001967,0.001967,0.001967
7,304.908,0.87047,0.66632,0.92648,0.90982,0.90272,0.96829,0.77187,0.75201,0.71349,0.87243,0.0019604,0.0019604,0.0019604
8,347.159,0.82948,0.61516,0.92055,0.966,0.96498,0.98325,0.80982,0.69197,0.5046,0.85487,0.0019538,0.0019538,0.0019538
9,390.065,0.77539,0.59607,0.90846,0.97998,0.95216,0.98583,0.81521,0.6551,0.49074,0.85688,0.0019472,0.0019472,0.0019472
10,431.659,0.80107,0.57926,0.91355,0.97629,0.98054,0.98726,0.81069,0.66175,0.48534,0.86848,0.0019406,0.0019406,0.0019406
11,474.745,0.74799,0.54079,0.89201,0.97888,0.96498,0.98618,0.83997,0.61553,0.48367,0.85554,0.001934,0.001934,0.001934
12,516.347,0.71269,0.52471,0.88422,0.96112,0.96191,0.98586,0.8402,0.60886,0.46554,0.84821,0.0019274,0.0019274,0.0019274
13,557.211,0.7253,0.52825,0.88588,0.97882,0.97665,0.99208,0.83611,0.63666,0.43739,0.84162,0.0019208,0.0019208,0.0019208
14,599.873,0.70002,0.49875,0.87804,0.97681,0.98359,0.99381,0.85529,0.60681,0.43009,0.83911,0.0019142,0.0019142,0.0019142
15,643.625,0.70579,0.5053,0.87951,0.95089,0.97948,0.99033,0.82983,0.65962,0.42907,0.8424,0.0019076,0.0019076,0.0019076
16,686.061,0.70478,0.50181,0.88068,0.98502,0.97665,0.9926,0.83748,0.60725,0.41292,0.84239,0.001901,0.001901,0.001901
17,727.661,0.72014,0.50743,0.88234,0.96118,0.92996,0.98397,0.85088,0.60636,0.45502,0.84147,0.0018944,0.0018944,0.0018944
18,768.924,0.7093,0.49125,0.88556,0.98058,0.98213,0.98968,0.84921,0.60314,0.4039,0.8407,0.0018878,0.0018878,0.0018878
19,810.151,0.70173,0.48355,0.88242,0.97125,0.98444,0.98985,0.84034,0.59888,0.40522,0.83802,0.0018812,0.0018812,0.0018812
20,851.746,0.69755,0.48464,0.87692,0.98433,0.97773,0.99392,0.86442,0.56905,0.39197,0.83074,0.0018746,0.0018746,0.0018746
21,895.359,0.66266,0.47186,0.86893,0.98656,0.98054,0.9939,0.86205,0.55846,0.38521,0.83455,0.001868,0.001868,0.001868
22,939.159,0.65951,0.45677,0.87406,0.98504,0.96887,0.99352,0.86066,0.56628,0.38788,0.82449,0.0018614,0.0018614,0.0018614
23,980.724,0.6954,0.47628,0.87607,0.98621,0.97665,0.994,0.84727,0.58171,0.40268,0.83319,0.0018548,0.0018548,0.0018548
24,1020.35,0.69105,0.46246,0.86983,0.97673,0.98833,0.99352,0.84141,0.60997,0.38108,0.82649,0.0018482,0.0018482,0.0018482
25,1064.24,0.64489,0.44735,0.85995,0.98922,0.96887,0.99354,0.87374,0.56374,0.37218,0.82828,0.0018416,0.0018416,0.0018416
26,1106.67,0.64629,0.43811,0.86124,0.98428,0.97456,0.99287,0.86682,0.55626,0.37336,0.83925,0.001835,0.001835,0.001835
27,1149.82,0.64491,0.44473,0.86414,0.96919,0.97932,0.99272,0.85298,0.55314,0.39573,0.8235,0.0018284,0.0018284,0.0018284
28,1192,0.63173,0.4389,0.86015,0.97999,0.98444,0.9941,0.86574,0.55498,0.35809,0.8206,0.0018218,0.0018218,0.0018218
29,1235.33,0.63547,0.43785,0.86267,0.9851,0.98444,0.99389,0.8812,0.52469,0.36772,0.81886,0.0018152,0.0018152,0.0018152
30,1275.56,0.63706,0.43991,0.86179,0.98027,0.98054,0.99341,0.86948,0.52171,0.37799,0.82574,0.0018086,0.0018086,0.0018086
31,1317.99,0.63638,0.41928,0.8571,0.98103,0.98054,0.99301,0.8652,0.53898,0.394,0.82387,0.001802,0.001802,0.001802
32,1360.82,0.61495,0.41932,0.8536,0.98422,0.97053,0.99335,0.88353,0.52257,0.36037,0.82102,0.0017954,0.0017954,0.0017954
33,1402.86,0.63795,0.43926,0.86663,0.97621,0.98833,0.9935,0.88251,0.51997,0.35019,0.81612,0.0017888,0.0017888,0.0017888
34,1445.92,0.62703,0.42265,0.85987,0.96218,0.99005,0.99065,0.86213,0.56679,0.38147,0.8201,0.0017822,0.0017822,0.0017822
35,1487.69,0.61917,0.42463,0.85755,0.98698,0.98444,0.99356,0.87605,0.51588,0.34943,0.81687,0.0017756,0.0017756,0.0017756
36,1529.17,0.60524,0.40271,0.84728,0.99602,0.97264,0.99357,0.88569,0.49585,0.33409,0.81077,0.001769,0.001769,0.001769
37,1572.15,0.61766,0.42174,0.85281,0.98614,0.96109,0.98726,0.88521,0.50986,0.34082,0.81566,0.0017624,0.0017624,0.0017624
38,1614.31,0.61201,0.41517,0.85139,0.99213,0.9814,0.99394,0.88551,0.5189,0.35525,0.82191,0.0017558,0.0017558,0.0017558
39,1654.67,0.62038,0.41496,0.85627,0.9878,0.98444,0.99263,0.87631,0.53693,0.34407,0.81827,0.0017492,0.0017492,0.0017492
40,1697.82,0.60445,0.41263,0.84859,0.97534,0.98054,0.99373,0.8793,0.51026,0.3617,0.81507,0.0017426,0.0017426,0.0017426
41,1738.8,0.58935,0.40029,0.849,0.98207,0.97665,0.99283,0.88647,0.51456,0.34747,0.81211,0.001736,0.001736,0.001736
42,1782.33,0.61449,0.4126,0.85011,0.98085,0.98444,0.99417,0.87523,0.53028,0.35551,0.81175,0.0017294,0.0017294,0.0017294
43,1823.57,0.58578,0.38793,0.8443,0.98446,0.98584,0.99332,0.88058,0.51836,0.33532,0.8192,0.0017228,0.0017228,0.0017228
44,1866.35,0.60601,0.39621,0.8548,0.98447,0.98693,0.99386,0.8857,0.50484,0.32586,0.8146,0.0017162,0.0017162,0.0017162
45,1910.79,0.58327,0.39463,0.84813,0.97325,0.99101,0.99405,0.88607,0.50247,0.34167,0.81475,0.0017096,0.0017096,0.0017096
46,1954.12,0.57521,0.39044,0.84229,0.98825,0.98167,0.99461,0.88186,0.49683,0.31835,0.81073,0.001703,0.001703,0.001703
47,1995.29,0.59418,0.40347,0.85081,0.98723,0.98833,0.99381,0.89378,0.48849,0.3254,0.80844,0.0016964,0.0016964,0.0016964
48,2036.91,0.58962,0.39953,0.84796,0.9812,0.98444,0.99418,0.88704,0.50531,0.33175,0.81029,0.0016898,0.0016898,0.0016898
49,2079.66,0.57898,0.38896,0.84296,0.9843,0.98833,0.99434,0.88772,0.51164,0.32416,0.81286,0.0016832,0.0016832,0.0016832
50,2122.16,0.579,0.38808,0.84771,0.97854,0.98833,0.99353,0.88904,0.48492,0.32277,0.80995,0.0016766,0.0016766,0.0016766
51,2163.06,0.57068,0.39172,0.84274,0.98039,0.97272,0.99126,0.88637,0.49078,0.33289,0.81393,0.00167,0.00167,0.00167
52,2206.73,0.57802,0.39359,0.8494,0.97605,0.98444,0.99374,0.89229,0.49654,0.33538,0.80685,0.0016634,0.0016634,0.0016634
53,2248.28,0.56756,0.38258,0.84153,0.99326,0.98833,0.99488,0.8987,0.47244,0.30449,0.80636,0.0016568,0.0016568,0.0016568
54,2289.92,0.566,0.37756,0.83807,0.97838,0.98444,0.99336,0.89854,0.47175,0.31702,0.80639,0.0016502,0.0016502,0.0016502
55,2333.96,0.56622,0.37782,0.83853,0.97688,0.98633,0.99344,0.89211,0.4842,0.31851,0.80706,0.0016436,0.0016436,0.0016436
56,2377.41,0.56524,0.37686,0.84329,0.98969,0.97665,0.99412,0.90184,0.47355,0.30552,0.80625,0.001637,0.001637,0.001637
57,2419.75,0.56868,0.37947,0.84498,0.97905,0.99222,0.99389,0.88958,0.49498,0.31974,0.81256,0.0016304,0.0016304,0.0016304
58,2460.57,0.5584,0.36779,0.84272,0.99452,0.98054,0.99445,0.89716,0.46844,0.30342,0.80304,0.0016238,0.0016238,0.0016238
59,2504.98,0.57135,0.37814,0.83876,0.97664,0.98833,0.99304,0.90126,0.4729,0.31504,0.80174,0.0016172,0.0016172,0.0016172
60,2547.4,0.56324,0.372,0.83671,0.98558,0.98054,0.99378,0.89954,0.47321,0.30966,0.80256,0.0016106,0.0016106,0.0016106
61,2589.66,0.54885,0.36546,0.83108,0.98588,0.99222,0.99399,0.90148,0.47628,0.30485,0.80238,0.001604,0.001604,0.001604
62,2630.58,0.55828,0.3662,0.83353,0.98803,0.99222,0.99473,0.89409,0.48167,0.31335,0.80313,0.0015974,0.0015974,0.0015974
63,2672.7,0.54322,0.36314,0.83484,0.9817,0.98833,0.99449,0.90044,0.48954,0.30654,0.79969,0.0015908,0.0015908,0.0015908
64,2714.51,0.56013,0.36746,0.83476,0.98065,0.98611,0.99421,0.90133,0.4651,0.31107,0.80089,0.0015842,0.0015842,0.0015842
65,2756.7,0.54214,0.36402,0.83792,0.98836,0.99135,0.99477,0.88881,0.49482,0.31076,0.80665,0.0015776,0.0015776,0.0015776
66,2799.41,0.5419,0.36362,0.83901,0.98067,0.98688,0.99366,0.89957,0.47679,0.31072,0.80115,0.001571,0.001571,0.001571
