epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0766,5.00318,14.0478,4.27149,5e-05,0.01167,3e-05,1e-05,4.71091,9.10072,4.08685,0.0033165,0.0033165,0.0033165
2,115.974,3.62352,6.1322,3.31954,0.11048,0.1323,0.05084,0.01408,2.82403,3.15443,2.90639,0.00663886,0.00663886,0.00663886
3,159.349,2.70036,3.13398,2.60622,0.5459,0.32296,0.3744,0.14596,2.0983,2.28147,2.30802,0.00995022,0.00995022,0.00995022
4,202.772,2.27371,2.21115,2.24566,0.62878,0.59533,0.63404,0.25972,1.98021,1.71933,2.08709,0.0099505,0.0099505,0.0099505
5,244.225,1.98302,1.65523,1.95891,0.64129,0.70955,0.66136,0.31861,1.7083,1.5929,1.88304,0.009934,0.009934,0.009934
6,287.831,1.7467,1.40133,1.77178,0.81419,0.80545,0.83326,0.47745,1.41609,1.11265,1.62017,0.0099175,0.0099175,0.0099175
7,330.549,1.58587,1.1679,1.63069,0.87699,0.81712,0.86846,0.51874,1.40825,1.06654,1.58563,0.009901,0.009901,0.009901
8,373.438,1.48926,1.05856,1.55485,0.92394,0.84825,0.92042,0.53418,1.44206,0.91272,1.53536,0.0098845,0.0098845,0.0098845
9,416.442,1.41694,0.98713,1.49453,0.95338,0.87549,0.94922,0.65299,1.15262,0.83492,1.40242,0.009868,0.009868,0.009868
10,459.302,1.35756,0.89577,1.43949,0.97011,0.88417,0.95442,0.65446,1.12129,0.7308,1.36477,0.0098515,0.0098515,0.0098515
11,500.906,1.26259,0.85275,1.37968,0.91787,0.91324,0.96057,0.67341,1.03547,0.73497,1.3134,0.009835,0.009835,0.009835
12,543.508,1.21615,0.80815,1.33771,0.95372,0.91829,0.96687,0.70379,0.97237,0.67864,1.25499,0.0098185,0.0098185,0.0098185
13,586.316,1.19836,0.78851,1.34006,0.96303,0.91829,0.96765,0.71968,0.92234,0.63938,1.24096,0.009802,0.009802,0.009802
14,629.423,1.18217,0.77258,1.3219,0.96274,0.89883,0.97829,0.72119,0.95846,0.62334,1.26952,0.0097855,0.0097855,0.0097855
15,672.195,1.13004,0.75686,1.2793,0.9229,0.93147,0.97163,0.71321,0.95514,0.6592,1.24545,0.009769,0.009769,0.009769
16,715.978,1.09476,0.72888,1.26414,0.9561,0.92607,0.97753,0.74758,0.87793,0.5717,1.19349,0.0097525,0.0097525,0.0097525
17,758.933,1.079,0.70952,1.23057,0.9592,0.89105,0.96577,0.7121,0.90283,0.646,1.20085,0.009736,0.009736,0.009736
18,802.393,1.06836,0.69862,1.22586,0.97262,0.96773,0.98408,0.76534,0.87045,0.55699,1.17903,0.0097195,0.0097195,0.0097195
19,842.3,1.02183,0.67089,1.19692,0.93753,0.93385,0.97875,0.71529,0.95905,0.59017,1.18349,0.009703,0.009703,0.009703
20,885.904,0.99252,0.65217,1.18716,0.95043,0.96989,0.98251,0.76983,0.79753,0.52056,1.12275,0.0096865,0.0096865,0.0096865
21,927.44,0.99906,0.6623,1.19704,0.95766,0.9572,0.98098,0.77413,0.81488,0.56534,1.12992,0.00967,0.00967,0.00967
22,971.59,0.9759,0.642,1.16794,0.97603,0.96498,0.98793,0.78203,0.79465,0.51992,1.11371,0.0096535,0.0096535,0.0096535
23,1014.73,0.96617,0.63066,1.16146,0.9727,0.96498,0.98837,0.7737,0.77765,0.50395,1.08791,0.009637,0.009637,0.009637
24,1057.75,0.96169,0.62909,1.14104,0.94466,0.94942,0.97917,0.73253,0.8958,0.54812,1.14104,0.0096205,0.0096205,0.0096205
25,1098.94,0.93843,0.61966,1.14565,0.96525,0.97287,0.98722,0.77789,0.79439,0.48344,1.097,0.009604,0.009604,0.009604
26,1142.23,0.94696,0.63067,1.13396,0.96426,0.94491,0.98621,0.77371,0.78624,0.51548,1.08276,0.0095875,0.0095875,0.0095875
27,1187.42,0.92726,0.6026,1.12265,0.98263,0.95331,0.98117,0.77691,0.76658,0.49758,1.0822,0.009571,0.009571,0.009571
