epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.235,1.16973,1.48828,1.10924,0.78832,0.73904,0.82513,0.53119,1.1746,1.29913,1.10961,0.000665823,0.000665823,0.000665823
2,193.891,1.21125,1.12387,1.12978,0.89837,0.85986,0.91608,0.64168,1.0675,1.1778,1.14204,0.00132809,0.00132809,0.00132809
3,282.917,1.22406,1.05338,1.13845,0.89336,0.78233,0.89583,0.60363,1.18009,1.07446,1.15914,0.00198596,0.00198596,0.00198596
4,372.598,1.17556,0.9857,1.14054,0.91546,0.89883,0.94769,0.68566,0.96549,0.73316,1.07311,0.0019802,0.0019802,0.0019802
5,462.981,1.06739,0.88367,1.08276,0.96538,0.91051,0.97958,0.7232,0.86331,0.75416,1.01656,0.0019736,0.0019736,0.0019736
6,553.288,1.02346,0.81867,1.06965,0.92247,0.92218,0.96545,0.74889,0.85584,nan,0.98237,0.001967,0.001967,0.001967
7,642.132,1.00467,0.7735,1.03623,0.95005,0.85214,0.93629,0.70832,0.92746,0.77757,0.99613,0.0019604,0.0019604,0.0019604
8,732.19,0.93596,0.7357,1.03361,0.9645,0.95136,0.98694,0.76492,0.8199,0.57142,0.98021,0.0019538,0.0019538,0.0019538
9,820.511,0.93246,0.73196,1.01017,0.94644,0.96254,0.98312,0.77573,0.83851,0.5825,0.96782,0.0019472,0.0019472,0.0019472
10,909.848,0.88397,0.66174,0.99084,0.93233,0.96497,0.98346,0.77651,0.7959,0.56221,0.94817,0.0019406,0.0019406,0.0019406
11,998.628,0.88406,0.66635,0.98361,0.9655,0.92996,0.97604,0.77052,0.79086,0.59132,0.9375,0.001934,0.001934,0.001934
12,1088.28,0.87273,0.63558,0.98567,0.96885,0.9683,0.9888,0.81924,0.72339,0.48709,0.92866,0.0019274,0.0019274,0.0019274
13,1175.44,0.84008,0.62395,0.97914,0.95851,0.96109,0.9813,0.78169,0.76634,0.56766,0.95517,0.0019208,0.0019208,0.0019208
14,1262.64,0.79232,0.59906,0.96061,0.96908,0.97558,0.98715,0.81951,0.69307,0.48364,0.91638,0.0019142,0.0019142,0.0019142
15,1352.64,0.82555,0.59507,0.96012,0.96869,0.96297,0.99208,0.83109,0.65086,0.45437,0.89464,0.0019076,0.0019076,0.0019076
16,1442.56,0.80526,0.58647,0.951,0.97812,0.96887,0.98864,0.82816,0.65361,0.44532,0.89955,0.001901,0.001901,0.001901
17,1530.45,0.78488,0.58804,0.94591,0.96481,0.96887,0.99194,0.84036,0.64473,0.44044,0.90143,0.0018944,0.0018944,0.0018944
18,1617.22,0.76507,0.5499,0.93877,0.96224,0.9144,0.97457,0.7991,0.71803,0.58679,0.92733,0.0018878,0.0018878,0.0018878
19,1705.41,0.74666,0.54333,0.9337,0.95424,0.96109,0.98586,0.83207,0.62346,0.46669,0.90648,0.0018812,0.0018812,0.0018812
20,1799.16,0.74213,0.55729,0.93229,0.95985,0.96109,0.98459,0.82046,0.64503,0.49227,0.9014,0.0018746,0.0018746,0.0018746
21,1889.8,0.75353,0.55615,0.93993,0.98411,0.96376,0.99239,0.83994,0.62736,0.44358,0.88836,0.001868,0.001868,0.001868
22,1979.37,0.73486,0.52439,0.936,0.98956,0.97276,0.99393,0.84146,0.63761,0.41373,0.89648,0.0018614,0.0018614,0.0018614
23,2067.03,0.72006,0.51087,0.92557,0.9845,0.98876,0.99358,0.84839,0.6182,0.42243,0.88862,0.0018548,0.0018548,0.0018548
24,2153.84,0.73711,0.51567,0.92798,0.98298,0.98054,0.99231,0.84931,0.58596,0.42352,0.87826,0.0018482,0.0018482,0.0018482
25,2241.21,0.73536,0.51997,0.93306,0.98718,0.97665,0.99199,0.84199,0.62471,0.42565,0.89213,0.0018416,0.0018416,0.0018416
26,2329.65,0.71921,0.50634,0.91691,0.98284,0.97665,0.99303,0.84752,0.61769,0.43455,0.87271,0.001835,0.001835,0.001835
27,2419.12,0.69841,0.50702,0.92159,0.97304,0.98315,0.98678,0.82142,0.62122,0.41764,0.88774,0.0018284,0.0018284,0.0018284
28,2507.61,0.73036,0.52005,0.92391,0.98377,0.94347,0.98183,0.80793,0.6688,0.49285,0.89567,0.0018218,0.0018218,0.0018218
29,2594.47,0.69978,0.50928,0.91541,0.98446,0.98604,0.9939,0.84754,0.60747,0.4041,0.88772,0.0018152,0.0018152,0.0018152
30,2682.06,0.68319,0.48589,0.90945,0.9804,0.9733,0.99243,0.85585,0.57557,0.38132,0.87549,0.0018086,0.0018086,0.0018086
31,2772.77,0.67285,0.47587,0.90443,0.98422,0.9709,0.99318,0.86269,0.56475,0.39902,0.86124,0.001802,0.001802,0.001802
32,2862.09,0.6964,0.48724,0.92572,0.97676,0.98118,0.99301,0.85454,0.59405,0.40693,0.87028,0.0017954,0.0017954,0.0017954
33,2949.72,0.68842,0.48007,0.91069,0.99211,0.97839,0.99388,0.85871,0.582,0.38209,0.86995,0.0017888,0.0017888,0.0017888
34,3043.33,0.6674,0.46742,0.90875,0.98342,0.96498,0.9916,0.86195,0.57683,0.37715,0.86583,0.0017822,0.0017822,0.0017822
35,3137.07,0.70031,0.48834,0.92008,0.98661,0.98444,0.99313,0.85009,0.60277,0.38254,0.89359,0.0017756,0.0017756,0.0017756
36,3230.66,0.66861,0.47926,0.91206,0.98513,0.98833,0.9933,0.87939,0.54133,0.37086,0.85536,0.001769,0.001769,0.001769
37,3324.33,0.65498,0.47423,0.89358,0.97669,0.98444,0.99336,0.87466,0.54423,0.36481,0.85782,0.0017624,0.0017624,0.0017624
38,3418.1,0.65748,0.46886,0.89833,0.98828,0.98407,0.99404,0.86415,0.58063,0.37248,0.86506,0.0017558,0.0017558,0.0017558
39,3511.88,0.65084,0.45348,0.90277,0.98816,0.97421,0.99355,0.86912,0.54477,0.36335,0.85816,0.0017492,0.0017492,0.0017492
40,3605.69,0.64514,0.45232,0.90374,0.95817,0.98055,0.99014,0.85619,0.55508,0.39889,0.86741,0.0017426,0.0017426,0.0017426
41,3699.45,0.64386,0.46435,0.89306,0.98021,0.97665,0.99204,0.85922,0.56113,0.38039,0.85382,0.001736,0.001736,0.001736
42,3793.26,0.65721,0.45369,0.90474,0.99595,0.97665,0.99383,0.86794,0.53611,0.35055,0.8631,0.0017294,0.0017294,0.0017294
43,3886.87,0.65366,0.44932,0.90297,0.97245,0.99611,0.99426,0.87957,0.50508,0.35591,0.84788,0.0017228,0.0017228,0.0017228
44,3980.53,0.62656,0.44575,0.89871,0.99026,0.96887,0.99144,0.86567,0.52436,0.37014,0.85826,0.0017162,0.0017162,0.0017162
45,4073.97,0.60876,0.4298,0.88596,0.98023,0.98444,0.99334,0.88149,0.54588,0.3717,0.86051,0.0017096,0.0017096,0.0017096
46,4168.11,0.6437,0.44513,0.89913,0.99212,0.97928,0.98502,0.86275,0.54621,0.38525,0.86491,0.001703,0.001703,0.001703
47,4261.8,0.61981,0.42155,0.88434,0.97702,0.99265,0.99392,0.87971,0.51409,0.34152,0.84854,0.0016964,0.0016964,0.0016964
48,4355.51,0.63933,0.4731,0.89356,0.98051,0.97887,0.99378,0.879,0.50654,0.36111,0.83681,0.0016898,0.0016898,0.0016898
49,4449.14,0.64259,0.44151,0.89685,0.9731,0.98531,0.99319,0.86935,0.52712,0.35301,0.84736,0.0016832,0.0016832,0.0016832
50,4542.82,0.61364,0.45856,0.89914,0.9747,0.98833,0.99185,0.87308,0.53241,0.38176,0.84069,0.0016766,0.0016766,0.0016766
51,4636.66,0.62963,0.46036,0.89599,0.97305,0.98334,0.99295,0.88152,0.52317,0.36493,0.85463,0.00167,0.00167,0.00167
52,4730.47,0.63117,0.43558,0.90188,0.97664,0.98444,0.99245,0.86126,0.56336,0.37381,0.86464,0.0016634,0.0016634,0.0016634
53,4824.25,0.63113,0.42842,0.88249,0.98239,0.98054,0.99103,0.87686,0.51099,0.34704,0.84463,0.0016568,0.0016568,0.0016568
54,4917.81,0.6119,0.43869,0.88057,0.9845,0.99222,0.99436,0.87439,0.52449,0.3342,0.84556,0.0016502,0.0016502,0.0016502
55,5011.47,0.60693,0.40843,0.88017,0.99179,0.99222,0.99397,0.88823,0.5144,0.33478,0.84723,0.0016436,0.0016436,0.0016436
56,5105,0.60228,0.41273,0.88617,0.99297,0.98444,0.9941,0.89013,0.49852,0.33041,0.84018,0.001637,0.001637,0.001637
57,5198.93,0.61231,0.42731,0.88092,0.98911,0.98054,0.99385,0.89654,0.48445,0.33568,0.8341,0.0016304,0.0016304,0.0016304
58,5292.71,0.62052,0.42833,0.89421,0.98834,0.98913,0.99398,0.89112,0.50291,0.32497,0.84133,0.0016238,0.0016238,0.0016238
59,5386.49,0.59086,0.41971,0.87777,0.99008,0.98054,0.99387,0.8857,0.5017,0.34856,0.83854,0.0016172,0.0016172,0.0016172
60,5480.09,0.59459,0.41481,0.87724,0.98073,0.99005,0.99453,0.89189,0.51245,0.31428,0.83998,0.0016106,0.0016106,0.0016106
61,5573.91,0.59273,0.40193,0.8841,0.98855,0.98833,0.99433,0.89671,0.49564,0.3149,0.84357,0.001604,0.001604,0.001604
62,5667.58,0.58264,0.3986,0.88058,0.99068,0.99222,0.99488,0.88897,0.49729,0.33571,0.84125,0.0015974,0.0015974,0.0015974
63,5761.35,0.59863,0.41354,0.8756,0.99606,0.98278,0.99454,0.88759,0.50278,0.32673,0.84702,0.0015908,0.0015908,0.0015908
64,5855,0.57974,0.39479,0.87451,0.98051,0.97899,0.99292,0.8901,0.49527,0.32684,0.84156,0.0015842,0.0015842,0.0015842
65,5948.8,0.58844,0.39049,0.87399,0.98451,0.98929,0.99425,0.89585,0.48509,0.32339,0.83809,0.0015776,0.0015776,0.0015776
66,6042.49,0.58401,0.3927,0.88228,0.98398,0.99611,0.99259,0.87989,0.50685,0.32145,0.83942,0.001571,0.001571,0.001571
67,6136.2,0.58149,0.40214,0.86665,0.98726,0.99222,0.99469,0.89813,0.4729,0.30737,0.83713,0.0015644,0.0015644,0.0015644
68,6229.93,0.57337,0.38822,0.87609,0.98374,0.99611,0.99389,0.89817,0.474,0.32086,0.84016,0.0015578,0.0015578,0.0015578
69,6323.8,0.58789,0.40826,0.87136,0.98084,0.9959,0.99328,0.90189,0.46493,0.31438,0.82973,0.0015512,0.0015512,0.0015512
70,6417.54,0.57429,0.41529,0.8698,0.98841,0.99516,0.99345,0.87831,0.47373,0.29783,0.82952,0.0015446,0.0015446,0.0015446
71,6511.18,0.55747,0.38687,0.86268,0.99558,0.99611,0.99496,0.90065,0.48211,0.30547,0.82715,0.001538,0.001538,0.001538
72,6604.93,0.57654,0.40553,0.86842,0.99515,0.99611,0.99488,0.8709,0.52616,0.33485,0.84835,0.0015314,0.0015314,0.0015314
73,6698.8,0.56619,0.37803,0.87241,0.98796,0.99611,0.99488,0.89297,0.47727,0.31772,0.82954,0.0015248,0.0015248,0.0015248
74,6792.45,0.5736,0.38737,0.86794,0.98836,0.9912,0.99437,0.89741,0.48378,0.31336,0.83025,0.0015182,0.0015182,0.0015182
75,6886.15,0.5676,0.38629,0.86498,0.98834,0.98961,0.99326,0.88583,0.473,0.31168,0.83033,0.0015116,0.0015116,0.0015116
76,6979.89,0.5595,0.38473,0.87286,0.99152,0.99611,0.99492,0.89558,0.49616,0.2945,0.84499,0.001505,0.001505,0.001505
77,7073.69,0.5481,0.37392,0.85853,0.98724,0.99222,0.99413,0.88629,0.50618,0.31007,0.83791,0.0014984,0.0014984,0.0014984
78,7167.24,0.56302,0.37989,0.86401,0.99224,0.99559,0.99461,0.89864,0.4715,0.29401,0.8276,0.0014918,0.0014918,0.0014918
79,7260.86,0.56058,0.37432,0.86319,0.99102,0.99611,0.99275,0.89395,0.47403,0.29675,0.82716,0.0014852,0.0014852,0.0014852
80,7354.56,0.5506,0.37136,0.85377,0.98502,0.98833,0.99373,0.89976,0.46113,0.30381,0.82754,0.0014786,0.0014786,0.0014786
81,7448.44,0.53944,0.35706,0.84773,0.98457,0.99322,0.99437,0.90286,0.47436,0.29738,0.82567,0.001472,0.001472,0.001472
82,7542.17,0.55555,0.37288,0.86416,0.98965,0.99222,0.99469,0.90657,0.462,0.29253,0.82783,0.0014654,0.0014654,0.0014654
83,7635.95,0.54847,0.37696,0.85802,0.99866,0.98833,0.99496,0.89997,0.46223,0.28665,0.83043,0.0014588,0.0014588,0.0014588
84,7729.73,0.57634,0.40508,0.87233,0.99172,0.99611,0.99488,0.90965,0.44296,0.28778,0.8226,0.0014522,0.0014522,0.0014522
85,7823.74,0.55749,0.36866,0.85785,0.99609,0.99032,0.99496,0.89931,0.45632,0.29054,0.82563,0.0014456,0.0014456,0.0014456
86,7917.47,0.56189,0.37667,0.8664,0.99222,0.99202,0.9942,0.90462,0.46427,0.29595,0.82462,0.001439,0.001439,0.001439
87,8011.46,0.54855,0.36655,0.86041,0.99864,0.98833,0.99496,0.90638,0.44906,0.28772,0.82278,0.0014324,0.0014324,0.0014324
88,8105.23,0.54984,0.36351,0.85547,0.98756,0.99611,0.99396,0.90828,0.45151,0.28774,0.82013,0.0014258,0.0014258,0.0014258
89,8199.31,0.54639,0.37736,0.85515,0.99218,0.98695,0.99292,0.90479,0.44664,0.29792,0.81726,0.0014192,0.0014192,0.0014192
90,8292.91,0.55389,0.36917,0.86279,0.99143,0.98833,0.99413,0.91169,0.43018,0.29121,0.82129,0.0014126,0.0014126,0.0014126
91,8386.77,0.54505,0.36883,0.86279,0.9862,0.99222,0.99473,0.90554,0.45674,0.29298,0.81906,0.001406,0.001406,0.001406
92,8480.46,0.54259,0.37298,0.85476,0.98339,0.99611,0.99417,0.90894,0.45101,0.28987,0.8214,0.0013994,0.0013994,0.0013994
93,8574.1,0.53961,0.37575,0.85572,0.98765,0.99222,0.99469,0.91174,0.4396,0.27353,0.82303,0.0013928,0.0013928,0.0013928
94,8667.89,0.54559,0.35769,0.86047,0.98841,0.99574,0.99484,0.91007,0.45098,0.28714,0.8252,0.0013862,0.0013862,0.0013862
95,8761.57,0.53459,0.35714,0.845,0.9959,0.98054,0.99109,0.9126,0.42613,0.28046,0.81211,0.0013796,0.0013796,0.0013796
96,8855.53,0.53454,0.361,0.84615,0.99143,0.99611,0.99461,0.91258,0.43158,0.27502,0.81586,0.001373,0.001373,0.001373
97,8949.33,0.53086,0.34191,0.85562,0.98839,0.99404,0.99488,0.90967,0.44194,0.2777,0.81872,0.0013664,0.0013664,0.0013664
98,9043.04,0.53167,0.34988,0.84939,0.98779,0.99611,0.99488,0.91001,0.4422,0.27841,0.81617,0.0013598,0.0013598,0.0013598
99,9136.9,0.53132,0.36508,0.85442,0.99609,0.99039,0.99422,0.90738,0.42907,0.29183,0.81009,0.0013532,0.0013532,0.0013532
100,9230.87,0.52174,0.34565,0.84579,0.9877,0.99222,0.9944,0.90654,0.44273,0.27536,0.82314,0.0013466,0.0013466,0.0013466
101,9324.71,0.52467,0.34581,0.84616,0.98808,0.99611,0.99476,0.90259,0.45169,0.28611,0.82236,0.00134,0.00134,0.00134
