epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6126,0.96784,2.5414,0.98477,0.64097,0.91051,0.64779,0.48886,0.85634,1.17172,0.95822,0.000664141,0.000664141,0.000664141
2,94.0529,0.97277,0.81824,0.99872,0.96925,0.93774,0.98769,0.75649,0.84774,0.62073,0.94901,0.00132642,0.00132642,0.00132642
3,138.966,0.97032,0.75357,1.00513,0.95674,0.94663,0.97589,0.74782,0.83813,0.70049,0.98246,0.00198429,0.00198429,0.00198429
4,183.731,0.92832,0.74048,0.98025,0.96571,0.94553,0.98138,0.80526,0.75852,0.55105,0.91756,0.0019802,0.0019802,0.0019802
5,228.394,0.88875,0.64859,0.96843,0.95989,0.96887,0.98615,0.7989,0.72736,0.50841,0.90056,0.0019736,0.0019736,0.0019736
6,273.036,0.83243,0.59355,0.95348,0.9736,0.94163,0.98893,0.81385,0.69308,0.49534,0.90058,0.001967,0.001967,0.001967
7,317.647,0.79546,0.57069,0.92609,0.93836,0.92607,0.97268,0.80098,0.70669,0.54372,0.89642,0.0019604,0.0019604,0.0019604
8,362.589,0.79014,0.56801,0.91898,0.97296,0.98022,0.98893,0.80531,0.7088,0.47929,0.88869,0.0019538,0.0019538,0.0019538
9,407.174,0.79651,0.5549,0.92978,0.95987,0.97665,0.99169,0.80749,0.7218,0.46499,0.89575,0.0019472,0.0019472,0.0019472
10,451.726,0.72816,0.52289,0.90051,0.97577,0.94009,0.98557,0.80936,0.6961,0.48462,0.89771,0.0019406,0.0019406,0.0019406
11,496.492,0.73511,0.52274,0.9052,0.95784,0.97233,0.98779,0.83317,0.6071,0.45792,0.8703,0.001934,0.001934,0.001934
12,541.349,0.7108,0.50348,0.89924,0.97804,0.96887,0.99186,0.84276,0.60045,0.41277,0.86913,0.0019274,0.0019274,0.0019274
13,586.293,0.70763,0.49818,0.90198,0.98423,0.97158,0.99156,0.8406,0.61843,0.4265,0.87676,0.0019208,0.0019208,0.0019208
14,631.17,0.6929,0.48325,0.89498,0.97622,0.95846,0.99057,0.85167,0.5813,0.41011,0.85623,0.0019142,0.0019142,0.0019142
15,675.757,0.69289,0.48603,0.88605,0.98418,0.96801,0.9915,0.84909,0.62061,0.43112,0.86205,0.0019076,0.0019076,0.0019076
16,720.482,0.69118,0.46803,0.88464,0.99217,0.98604,0.99422,0.85031,0.61935,0.38136,0.86393,0.001901,0.001901,0.001901
17,765.244,0.68813,0.47463,0.88815,0.97633,0.963,0.99091,0.86487,0.54387,0.3922,0.84422,0.0018944,0.0018944,0.0018944
18,810.275,0.65798,0.46747,0.88531,0.97059,0.98054,0.99256,0.85705,0.55122,0.38627,0.8456,0.0018878,0.0018878,0.0018878
19,854.817,0.66843,0.46173,0.89187,0.98314,0.97665,0.99364,0.85474,0.58175,0.38796,0.84726,0.0018812,0.0018812,0.0018812
20,899.508,0.65533,0.4509,0.88394,0.98265,0.98054,0.99153,0.87516,0.53109,0.36717,0.84386,0.0018746,0.0018746,0.0018746
21,944.304,0.64813,0.43368,0.88251,0.98106,0.98833,0.99421,0.86269,0.55081,0.35742,0.84752,0.001868,0.001868,0.001868
22,989.263,0.63985,0.43428,0.88437,0.98818,0.98833,0.99425,0.87575,0.54738,0.35886,0.84643,0.0018614,0.0018614,0.0018614
23,1034.06,0.63136,0.42795,0.8788,0.99287,0.98054,0.99137,0.87013,0.52719,0.35394,0.84082,0.0018548,0.0018548,0.0018548
