epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9128,1.31098,1.51725,1.20161,0.87201,0.74347,0.82935,0.45702,1.4441,0.97428,1.29152,0.000665198,0.000665198,0.000665198
2,171.614,1.32372,0.85992,1.21897,0.88485,0.76264,0.85345,0.48254,1.4993,1.03076,1.32225,0.00128791,0.00128791,0.00128791
3,255.556,1.3178,0.81453,1.23004,0.9026,0.78777,0.84576,0.45751,1.58113,0.86125,1.35184,0.00186663,0.00186663,0.00186663
4,338.787,1.28472,0.75673,1.21344,0.92775,0.84099,0.90484,0.51669,1.48464,0.72304,1.3014,0.001802,0.001802,0.001802
5,423.644,1.24769,0.70796,1.19239,0.94588,0.86744,0.92865,0.55234,1.40404,0.64995,1.26224,0.001736,0.001736,0.001736
6,507.961,1.22958,0.67063,1.18619,0.93044,0.88,0.92854,0.57735,1.30598,0.61402,1.20347,0.00167,0.00167,0.00167
7,592.274,1.21639,0.65448,1.1757,0.94073,0.88231,0.9312,0.59005,1.29478,0.59389,1.20069,0.001604,0.001604,0.001604
8,676.422,1.20134,0.6337,1.16942,0.94856,0.88463,0.93408,0.59203,1.29911,0.56056,1.18812,0.001538,0.001538,0.001538
9,760.797,1.18744,0.61947,1.16255,0.95343,0.88132,0.93959,0.60044,1.27938,0.55023,1.1848,0.001472,0.001472,0.001472
10,845.077,1.1755,0.60722,1.15717,0.93981,0.90328,0.94463,0.60478,1.2622,0.5386,1.17684,0.001406,0.001406,0.001406
11,930.756,1.16282,0.58759,1.15133,0.95166,0.89812,0.94713,0.6131,1.24667,0.51683,1.15643,0.00134,0.00134,0.00134
12,1016.29,1.14828,0.57506,1.14056,0.93439,0.89851,0.94409,0.62325,1.21669,0.52744,1.15828,0.001274,0.001274,0.001274
13,1098.71,1.14039,0.56624,1.13762,0.9547,0.90577,0.9516,0.62445,1.22385,0.50062,1.14909,0.001208,0.001208,0.001208
14,1181.26,1.12761,0.55644,1.13045,0.95059,0.90313,0.9518,0.62339,1.22469,0.49968,1.1485,0.001142,0.001142,0.001142
15,1265.73,1.12143,0.54557,1.1276,0.94321,0.91934,0.95503,0.63275,1.21145,0.48266,1.14349,0.001076,0.001076,0.001076
16,1349.03,1.10857,0.53481,1.11993,0.9521,0.90612,0.95459,0.63804,1.19063,0.48222,1.13593,0.00101,0.00101,0.00101
17,1431.44,1.10413,0.53002,1.11761,0.95125,0.91008,0.95521,0.64245,1.17436,0.4743,1.12777,0.000944,0.000944,0.000944
18,1515.06,1.0896,0.5158,1.11331,0.94989,0.91481,0.95819,0.64205,1.18713,0.46252,1.13263,0.000878,0.000878,0.000878
19,1596.72,1.085,0.51057,1.11056,0.94371,0.9255,0.9584,0.64803,1.17305,0.45388,1.12689,0.000812,0.000812,0.000812
20,1677.68,1.08202,0.50449,1.10893,0.95138,0.91861,0.9584,0.64883,1.16377,0.45188,1.12568,0.000746,0.000746,0.000746
21,1758.36,1.06024,0.4459,1.12897,0.95485,0.91736,0.95886,0.65093,1.16453,0.45841,1.12652,0.00068,0.00068,0.00068
22,1837.35,1.05586,0.43874,1.13394,0.95367,0.91859,0.95908,0.64921,1.16743,0.45162,1.12523,0.000614,0.000614,0.000614
23,1914.53,1.04542,0.43039,1.12155,0.94739,0.91901,0.95816,0.65358,1.16227,0.44646,1.12059,0.000548,0.000548,0.000548
24,1991.63,1.03529,0.42506,1.12124,0.95882,0.91599,0.96301,0.6582,1.15167,0.44311,1.1168,0.000482,0.000482,0.000482
25,2068.79,1.02362,0.41525,1.11268,0.94911,0.92481,0.96262,0.65819,1.14663,0.44032,1.11704,0.000416,0.000416,0.000416
26,2146.74,1.0183,0.41028,1.11034,0.95476,0.92092,0.9635,0.65894,1.14731,0.43887,1.11532,0.00035,0.00035,0.00035
27,2229.82,1.00834,0.40174,1.10392,0.96066,0.92132,0.96379,0.65997,1.14502,0.43883,1.11354,0.000284,0.000284,0.000284
28,2312.33,0.99797,0.39507,1.0964,0.9572,0.91868,0.96255,0.66121,1.14008,0.43678,1.11203,0.000218,0.000218,0.000218
29,2394.94,0.99027,0.38904,1.09066,0.95734,0.91934,0.96346,0.66051,1.13898,0.43559,1.11261,0.000152,0.000152,0.000152
30,2477.54,0.98177,0.38214,1.08862,0.95623,0.91967,0.96276,0.66172,1.13884,0.43558,1.11252,8.6e-05,8.6e-05,8.6e-05
