epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.8734,1.41116,2.8607,1.08369,0.00504,0.82353,0.25637,0.17743,1.04945,3.49146,0.8964,0.000652482,0.000652482,0.000652482
2,119.039,1.1223,1.33522,0.93768,0.8113,0.59011,0.76925,0.43661,1.2401,2.00123,0.96784,0.00129303,0.00129303,0.00129303
3,150.51,1.06506,1.04742,0.93328,0.83428,0.76996,0.85365,0.5635,1.04653,1.3136,0.89871,0.00190718,0.00190718,0.00190718
4,182.81,1.03577,0.86078,0.92211,0.95333,0.88109,0.93209,0.68379,0.9229,0.72955,0.90475,0.0018812,0.0018812,0.0018812
5,214.399,0.97766,0.73442,0.90727,0.95889,0.91373,0.96089,0.6485,1.04759,0.7197,0.92495,0.0018416,0.0018416,0.0018416
6,238.625,0.92167,0.6778,0.89488,0.95542,0.8404,0.92089,0.65952,0.92388,0.81813,0.88528,0.001802,0.001802,0.001802
7,266.703,0.93692,0.66236,0.90027,0.95086,0.9106,0.96659,0.70498,0.92034,0.59507,0.89328,0.0017624,0.0017624,0.0017624
8,297.133,0.86787,0.60464,0.88746,0.94249,0.89968,0.95678,0.69933,0.91929,0.58719,0.87724,0.0017228,0.0017228,0.0017228
9,328.417,0.90399,0.60544,0.88546,0.95872,0.91069,0.96152,0.71151,0.87777,0.56889,0.8743,0.0016832,0.0016832,0.0016832
10,358.822,0.88636,0.58863,0.8842,0.97092,0.92941,0.97739,0.75484,0.77604,0.51064,0.85789,0.0016436,0.0016436,0.0016436
11,389.659,0.84368,0.56915,0.87321,0.97527,0.9281,0.98117,0.74667,0.78124,0.5306,0.8537,0.001604,0.001604,0.001604
12,418.841,0.83384,0.54924,0.86334,0.97452,0.91373,0.96813,0.74769,0.79162,0.5765,0.83846,0.0015644,0.0015644,0.0015644
13,448.742,0.82784,0.53606,0.87235,0.98307,0.91098,0.97585,0.75648,0.77156,0.51964,0.84532,0.0015248,0.0015248,0.0015248
14,476.775,0.79864,0.52111,0.8602,0.9691,0.95294,0.97941,0.7727,0.80665,0.50207,0.85785,0.0014852,0.0014852,0.0014852
15,502.889,0.81934,0.53561,0.86947,0.97109,0.92208,0.9765,0.77589,0.75228,0.52094,0.84833,0.0014456,0.0014456,0.0014456
16,534.013,0.77085,0.50544,0.8562,0.97945,0.93465,0.97785,0.78064,0.7062,0.44791,0.82923,0.001406,0.001406,0.001406
17,563.802,0.77424,0.50379,0.86124,0.94372,0.9451,0.97775,0.79268,0.69156,0.44807,0.84564,0.0013664,0.0013664,0.0013664
18,595.156,0.74316,0.48892,0.85714,0.96511,0.95294,0.98639,0.78365,0.71727,0.44211,0.83901,0.0013268,0.0013268,0.0013268
19,622.586,0.76385,0.49895,0.85644,0.96495,0.94902,0.98694,0.77549,0.71568,0.44193,0.84808,0.0012872,0.0012872,0.0012872
20,651.279,0.74233,0.47877,0.85589,0.97173,0.94353,0.98638,0.79069,0.68473,0.42176,0.83467,0.0012476,0.0012476,0.0012476
21,681.912,0.73585,0.47106,0.85324,0.97044,0.94118,0.98635,0.80665,0.6958,0.4227,0.83537,0.001208,0.001208,0.001208
22,708.266,0.73489,0.46526,0.8538,0.96914,0.95294,0.98267,0.81235,0.65443,0.39541,0.82677,0.0011684,0.0011684,0.0011684
23,733.243,0.70941,0.44986,0.84159,0.97584,0.95686,0.98702,0.8054,0.70365,0.41369,0.82931,0.0011288,0.0011288,0.0011288
24,764.04,0.72155,0.46621,0.84371,0.96809,0.95191,0.98773,0.80806,0.68638,0.40956,0.82394,0.0010892,0.0010892,0.0010892
25,794.861,0.69583,0.43983,0.84117,0.97177,0.94504,0.98738,0.81178,0.65294,0.4023,0.82637,0.0010496,0.0010496,0.0010496
