epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.4057,0.96496,0.91443,0.99544,0.24925,0.000332474,0.000332474,0.0670851
2,97.604,0.36462,0.93526,0.99756,0.17073,0.000659216,0.000659216,0.0340785
3,143.239,0.30311,0.94934,0.99907,0.12867,0.000979358,0.000979358,0.00106527
4,189.66,0.26743,0.95662,0.99905,0.10861,0.0009703,0.0009703,0.0009703
5,235.634,0.23549,0.95666,0.99877,0.10949,0.0009604,0.0009604,0.0009604
6,282.509,0.22234,0.95747,0.99925,0.10303,0.0009505,0.0009505,0.0009505
7,329.343,0.20845,0.96463,0.99927,0.08565,0.0009406,0.0009406,0.0009406
8,375.931,0.20042,0.96416,0.99915,0.08605,0.0009307,0.0009307,0.0009307
9,421.11,0.19228,0.96662,0.99925,0.08129,0.0009208,0.0009208,0.0009208
10,466.806,0.18573,0.96644,0.99927,0.08157,0.0009109,0.0009109,0.0009109
11,514.193,0.17913,0.97116,0.99946,0.07127,0.000901,0.000901,0.000901
12,564.142,0.17272,0.97144,0.99948,0.07127,0.0008911,0.0008911,0.0008911
13,610.799,0.16856,0.97066,0.99942,0.06849,0.0008812,0.0008812,0.0008812
14,656.952,0.16458,0.97292,0.99931,0.06721,0.0008713,0.0008713,0.0008713
15,703.854,0.16042,0.97439,0.99946,0.06636,0.0008614,0.0008614,0.0008614
16,751.836,0.15614,0.97463,0.99958,0.06186,0.0008515,0.0008515,0.0008515
17,798.312,0.15332,0.97517,0.9996,0.06129,0.0008416,0.0008416,0.0008416
18,844.591,0.15224,0.97556,0.99946,0.06114,0.0008317,0.0008317,0.0008317
19,890.85,0.14564,0.97538,0.99946,0.06229,0.0008218,0.0008218,0.0008218
20,937.889,0.14813,0.97739,0.99952,0.05821,0.0008119,0.0008119,0.0008119
21,984.304,0.14095,0.97701,0.99954,0.05733,0.000802,0.000802,0.000802
22,1029.38,0.14047,0.97739,0.99956,0.05756,0.0007921,0.0007921,0.0007921
23,1074.74,0.13827,0.97804,0.99956,0.05569,0.0007822,0.0007822,0.0007822
24,1120.45,0.13822,0.97905,0.99964,0.05402,0.0007723,0.0007723,0.0007723
25,1165.52,0.13282,0.97832,0.99968,0.05409,0.0007624,0.0007624,0.0007624
