epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.10951,3.69142,0.05899,0.27094,3.49503,8.23643e-05,8.23643e-05,8.23643e-05
2,3.76496,3.27923,0.2032,0.51639,2.89151,0.000157496,0.000157496,0.000157496
3,5.34098,2.73349,0.39767,0.74873,2.09144,0.000224377,0.000224377,0.000224377
4,6.90308,2.20973,0.52513,0.85943,1.57733,0.000212875,0.000212875,0.000212875
5,8.4662,1.83318,0.62272,0.90022,1.25852,0.0002005,0.0002005,0.0002005
6,9.99681,1.59252,0.68463,0.92134,1.04652,0.000188125,0.000188125,0.000188125
7,11.4987,1.43556,0.69046,0.93299,0.97914,0.00017575,0.00017575,0.00017575
8,13.0625,1.31229,0.70648,0.94319,0.92805,0.000163375,0.000163375,0.000163375
9,14.5963,1.23219,0.73926,0.94319,0.84277,0.000151,0.000151,0.000151
10,16.0998,1.16696,0.74508,0.94756,0.78977,0.000138625,0.000138625,0.000138625
11,18.1458,1.13441,0.76184,0.94756,0.75621,0.00012625,0.00012625,0.00012625
12,19.6617,1.06809,0.7713,0.9512,0.73025,0.000113875,0.000113875,0.000113875
13,21.1691,1.03968,0.77786,0.95266,0.70246,0.0001015,0.0001015,0.0001015
14,22.7558,0.99905,0.78296,0.9512,0.70384,8.9125e-05,8.9125e-05,8.9125e-05
15,24.3457,0.97839,0.78514,0.95849,0.67933,7.675e-05,7.675e-05,7.675e-05
16,25.8661,0.94383,0.78878,0.95921,0.66939,6.4375e-05,6.4375e-05,6.4375e-05
17,27.4556,0.96297,0.78951,0.95994,0.66204,5.2e-05,5.2e-05,5.2e-05
18,29.049,0.93629,0.78951,0.95849,0.66637,3.9625e-05,3.9625e-05,3.9625e-05
19,30.6305,0.90578,0.7917,0.95994,0.66542,2.725e-05,2.725e-05,2.725e-05
20,32.206,0.90759,0.78733,0.96286,0.64431,1.4875e-05,1.4875e-05,1.4875e-05
