epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.82557,3.69142,0.05899,0.27094,3.49503,8.23643e-05,8.23643e-05,8.23643e-05
2,3.41808,3.2716,0.21049,0.52149,2.86967,0.000164057,0.000164057,0.000164057
3,4.96022,2.6998,0.41442,0.76839,2.02717,0.0002441,0.0002441,0.0002441
4,6.54138,2.14978,0.54843,0.8689,1.50089,0.000242575,0.000242575,0.000242575
5,8.10254,1.75656,0.64239,0.9075,1.182,0.0002401,0.0002401,0.0002401
6,9.72004,1.51686,0.7094,0.93008,0.96835,0.000237625,0.000237625,0.000237625
7,11.3179,1.35563,0.71231,0.94465,0.90909,0.00023515,0.00023515,0.00023515
8,12.8642,1.23519,0.72688,0.9461,0.86435,0.000232675,0.000232675,0.000232675
9,14.4526,1.14399,0.75601,0.95266,0.77468,0.0002302,0.0002302,0.0002302
10,16.0136,1.07514,0.76548,0.95703,0.72643,0.000227725,0.000227725,0.000227725
11,17.5945,1.00037,0.77932,0.95484,0.69034,0.00022525,0.00022525,0.00022525
12,19.1581,0.96488,0.79315,0.9614,0.67112,0.000222775,0.000222775,0.000222775
13,20.6723,0.92348,0.80481,0.96358,0.62522,0.0002203,0.0002203,0.0002203
14,22.2151,0.89232,0.79971,0.96067,0.63592,0.000217825,0.000217825,0.000217825
15,23.768,0.85216,0.81063,0.96504,0.59794,0.00021535,0.00021535,0.00021535
16,25.388,0.8221,0.81282,0.96577,0.58332,0.000212875,0.000212875,0.000212875
17,26.992,0.82269,0.81646,0.96286,0.57582,0.0002104,0.0002104,0.0002104
18,28.5231,0.8025,0.81428,0.96431,0.57275,0.000207925,0.000207925,0.000207925
19,30.0755,0.7585,0.81865,0.96431,0.57917,0.00020545,0.00020545,0.00020545
20,31.623,0.76291,0.81865,0.96577,0.56692,0.000202975,0.000202975,0.000202975
21,33.1592,0.69333,0.82302,0.96577,0.55924,0.0002005,0.0002005,0.0002005
22,34.7362,0.68298,0.82229,0.9665,0.54028,0.000198025,0.000198025,0.000198025
23,36.2857,0.6721,0.81355,0.9665,0.54481,0.00019555,0.00019555,0.00019555
24,37.8239,0.67071,0.82666,0.9665,0.53436,0.000193075,0.000193075,0.000193075
25,39.3637,0.64697,0.81573,0.96723,0.5459,0.0001906,0.0001906,0.0001906
26,40.9189,0.66039,0.83467,0.96431,0.52768,0.000188125,0.000188125,0.000188125
27,42.4504,0.62097,0.83176,0.96577,0.52972,0.00018565,0.00018565,0.00018565
28,43.9923,0.61168,0.82739,0.96431,0.55051,0.000183175,0.000183175,0.000183175
29,45.5347,0.60142,0.8354,0.96504,0.53229,0.0001807,0.0001807,0.0001807
30,47.0973,0.59044,0.82884,0.96577,0.53518,0.000178225,0.000178225,0.000178225
31,48.6332,0.57361,0.83685,0.96431,0.51056,0.00017575,0.00017575,0.00017575
32,50.1987,0.58859,0.83103,0.96358,0.53092,0.000173275,0.000173275,0.000173275
33,51.6696,0.55557,0.83758,0.97087,0.50355,0.0001708,0.0001708,0.0001708
34,53.2148,0.53545,0.84414,0.96504,0.5034,0.000168325,0.000168325,0.000168325
35,54.73,0.54011,0.84268,0.97014,0.49607,0.00016585,0.00016585,0.00016585
36,56.2706,0.5511,0.84559,0.9665,0.5113,0.000163375,0.000163375,0.000163375
37,57.8235,0.53715,0.83977,0.96213,0.48879,0.0001609,0.0001609,0.0001609
38,59.3417,0.52572,0.84414,0.96504,0.50027,0.000158425,0.000158425,0.000158425
39,60.9156,0.51311,0.84851,0.96286,0.51611,0.00015595,0.00015595,0.00015595
40,62.4523,0.49925,0.84996,0.96577,0.50087,0.000153475,0.000153475,0.000153475
41,63.982,0.47887,0.84996,0.9665,0.49538,0.000151,0.000151,0.000151
42,65.5159,0.52207,0.84559,0.96504,0.48497,0.000148525,0.000148525,0.000148525
43,67.0406,0.48662,0.85361,0.9665,0.49585,0.00014605,0.00014605,0.00014605
44,68.6031,0.44991,0.84632,0.9665,0.51247,0.000143575,0.000143575,0.000143575
45,70.134,0.47336,0.84924,0.96504,0.50424,0.0001411,0.0001411,0.0001411
46,71.6533,0.4661,0.85215,0.96358,0.50144,0.000138625,0.000138625,0.000138625
47,73.2323,0.46975,0.85652,0.96431,0.50033,0.00013615,0.00013615,0.00013615
48,74.7918,0.44443,0.85579,0.96504,0.49951,0.000133675,0.000133675,0.000133675
49,76.3389,0.44376,0.85069,0.96213,0.50384,0.0001312,0.0001312,0.0001312
50,77.9091,0.4385,0.86016,0.96795,0.49614,0.000128725,0.000128725,0.000128725
51,79.4475,0.43926,0.85579,0.9665,0.49798,0.00012625,0.00012625,0.00012625
52,80.9821,0.42431,0.85361,0.96504,0.49119,0.000123775,0.000123775,0.000123775
53,82.5326,0.42163,0.85798,0.96723,0.49063,0.0001213,0.0001213,0.0001213
54,84.0495,0.41504,0.85142,0.96504,0.50639,0.000118825,0.000118825,0.000118825
55,85.6928,0.41424,0.85725,0.96795,0.50417,0.00011635,0.00011635,0.00011635
