epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.78463,3.71626,0.05899,0.2571,3.50089,8.23643e-05,8.23643e-05,8.23643e-05
2,3.32955,3.28582,0.185,0.49891,2.93661,0.000162417,0.000162417,0.000162417
3,4.85819,2.7752,0.35907,0.71814,2.20082,0.000239169,0.000239169,0.000239169
4,6.40049,2.3002,0.49017,0.83394,1.69061,0.00023515,0.00023515,0.00023515
5,7.97021,1.94138,0.56519,0.88274,1.39915,0.0002302,0.0002302,0.0002302
6,9.53464,1.72921,0.62564,0.89439,1.24547,0.00022525,0.00022525,0.00022525
7,11.0575,1.57564,0.63729,0.91114,1.17787,0.0002203,0.0002203,0.0002203
8,12.5474,1.453,0.66934,0.92425,1.07147,0.00021535,0.00021535,0.00021535
9,14.0889,1.39627,0.68827,0.92935,1.0083,0.0002104,0.0002104,0.0002104
10,15.6118,1.29909,0.69337,0.94465,0.93941,0.00020545,0.00020545,0.00020545
11,17.1444,1.22245,0.71522,0.94246,0.88849,0.0002005,0.0002005,0.0002005
12,18.6157,1.22072,0.72688,0.94829,0.86412,0.00019555,0.00019555,0.00019555
13,20.0839,1.14896,0.72833,0.94902,0.85414,0.0001906,0.0001906,0.0001906
14,21.5824,1.11759,0.73489,0.94683,0.81601,0.00018565,0.00018565,0.00018565
15,23.1205,1.09697,0.75018,0.95339,0.78729,0.0001807,0.0001807,0.0001807
16,24.6366,1.06325,0.74144,0.9563,0.78187,0.00017575,0.00017575,0.00017575
17,26.1129,1.04314,0.74581,0.95266,0.76216,0.0001708,0.0001708,0.0001708
18,27.9133,1.00571,0.75455,0.9563,0.7417,0.00016585,0.00016585,0.00016585
19,29.5396,0.99779,0.76766,0.95994,0.73673,0.0001609,0.0001609,0.0001609
20,31.1305,0.95164,0.7764,0.96067,0.70734,0.00015595,0.00015595,0.00015595
21,32.6833,0.94818,0.77786,0.96286,0.7112,0.000151,0.000151,0.000151
22,34.2818,0.89432,0.77932,0.96431,0.69429,0.00014605,0.00014605,0.00014605
23,35.8706,0.89936,0.78077,0.96213,0.67492,0.0001411,0.0001411,0.0001411
24,37.4501,0.88391,0.77859,0.96213,0.68568,0.00013615,0.00013615,0.00013615
25,39.0104,0.86186,0.79024,0.9614,0.6636,0.0001312,0.0001312,0.0001312
26,40.6318,0.84427,0.79388,0.96067,0.66138,0.00012625,0.00012625,0.00012625
27,42.2052,0.82463,0.79534,0.96213,0.67059,0.0001213,0.0001213,0.0001213
28,43.8263,0.82535,0.79461,0.96067,0.66002,0.00011635,0.00011635,0.00011635
29,45.3985,0.82794,0.79388,0.95921,0.64542,0.0001114,0.0001114,0.0001114
30,46.9378,0.7949,0.80481,0.96213,0.6329,0.00010645,0.00010645,0.00010645
31,48.4653,0.77813,0.80117,0.96213,0.62895,0.0001015,0.0001015,0.0001015
32,50.042,0.78043,0.81719,0.96067,0.62704,9.655e-05,9.655e-05,9.655e-05
33,51.6503,0.78524,0.81719,0.96504,0.62007,9.16e-05,9.16e-05,9.16e-05
34,53.2334,0.76451,0.81282,0.96795,0.63148,8.665e-05,8.665e-05,8.665e-05
35,54.8069,0.75579,0.81937,0.96868,0.5997,8.17e-05,8.17e-05,8.17e-05
36,56.3836,0.74753,0.81719,0.96577,0.62156,7.675e-05,7.675e-05,7.675e-05
37,57.9244,0.70435,0.81355,0.96723,0.60964,7.18e-05,7.18e-05,7.18e-05
38,59.4502,0.72379,0.81937,0.96795,0.60183,6.685e-05,6.685e-05,6.685e-05
39,61.1283,0.70174,0.81136,0.96941,0.60767,6.19e-05,6.19e-05,6.19e-05
40,62.7048,0.73045,0.81792,0.96941,0.61,5.695e-05,5.695e-05,5.695e-05
41,64.6882,0.73127,0.81646,0.97014,0.59453,5.2e-05,5.2e-05,5.2e-05
42,66.2181,0.69931,0.81355,0.97087,0.60083,4.705e-05,4.705e-05,4.705e-05
43,67.762,0.70348,0.81573,0.97087,0.5932,4.21e-05,4.21e-05,4.21e-05
44,69.2935,0.69971,0.81136,0.96941,0.60574,3.715e-05,3.715e-05,3.715e-05
45,70.829,0.69355,0.81792,0.96723,0.59586,3.22e-05,3.22e-05,3.22e-05
46,72.3277,0.68962,0.81792,0.96723,0.58585,2.725e-05,2.725e-05,2.725e-05
47,73.7978,0.68635,0.81719,0.96723,0.59044,2.23e-05,2.23e-05,2.23e-05
48,75.2848,0.66069,0.81719,0.96723,0.58643,1.735e-05,1.735e-05,1.735e-05
49,76.8047,0.67961,0.82229,0.96941,0.58194,1.24e-05,1.24e-05,1.24e-05
50,78.3237,0.68243,0.82374,0.97014,0.58711,7.45e-06,7.45e-06,7.45e-06
