epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.9392,2.31807,0.72562,0.94981,0.84223,0.00333207,0.00333207,0.00333207
2,91.4138,1.09836,0.85838,0.97952,0.43178,0.00653343,0.00653343,0.00653343
3,135.598,0.87199,0.88743,0.9837,0.34504,0.00960279,0.00960279,0.00960279
4,179.53,0.77344,0.91675,0.98718,0.25472,0.009406,0.009406,0.009406
5,223.859,0.69501,0.92514,0.98964,0.22635,0.009208,0.009208,0.009208
6,268.578,0.65294,0.93213,0.99062,0.20991,0.00901,0.00901,0.00901
7,313.233,0.63732,0.93419,0.99109,0.20277,0.008812,0.008812,0.008812
8,357.565,0.62326,0.93547,0.99128,0.19942,0.008614,0.008614,0.008614
9,402.135,0.61388,0.93637,0.99159,0.19838,0.008416,0.008416,0.008416
10,446.507,0.60325,0.93573,0.99173,0.19925,0.008218,0.008218,0.008218
11,491.118,0.59257,0.93592,0.99192,0.1995,0.00802,0.00802,0.00802
12,535.535,0.58362,0.93597,0.99194,0.19914,0.007822,0.007822,0.007822
