epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.4091,2.31807,0.72562,0.94981,0.84223,0.00333207,0.00333207,0.00333207
2,91.7038,1.09998,0.85705,0.97934,0.43801,0.00633546,0.00633546,0.00633546
3,136.844,0.86899,0.88708,0.98362,0.34039,0.00900886,0.00900886,0.00900886
4,182.391,0.76516,0.91639,0.98862,0.25146,0.008515,0.008515,0.008515
5,228.367,0.67706,0.92744,0.98993,0.22155,0.00802,0.00802,0.00802
6,273.458,0.62482,0.9312,0.99064,0.20624,0.007525,0.007525,0.007525
7,318.488,0.59923,0.93421,0.99104,0.19739,0.00703,0.00703,0.00703
8,363.855,0.57873,0.93599,0.99154,0.19308,0.006535,0.006535,0.006535
9,409.793,0.55886,0.93725,0.99171,0.19005,0.00604,0.00604,0.00604
10,457.65,0.53866,0.93779,0.99201,0.18812,0.005545,0.005545,0.005545
11,503.609,0.52027,0.93867,0.99242,0.18652,0.00505,0.00505,0.00505
12,548.587,0.50157,0.93962,0.99258,0.18439,0.004555,0.004555,0.004555
13,593.627,0.48209,0.9404,0.99291,0.18182,0.00406,0.00406,0.00406
14,638.887,0.46232,0.94125,0.99284,0.17862,0.003565,0.003565,0.003565
15,683.863,0.44311,0.94184,0.99301,0.1748,0.00307,0.00307,0.00307
16,728.461,0.41912,0.94341,0.99308,0.16937,0.002575,0.002575,0.002575
17,773.667,0.39677,0.9445,0.99329,0.16403,0.00208,0.00208,0.00208
18,818.79,0.3739,0.94625,0.9936,0.15847,0.001585,0.001585,0.001585
19,863.808,0.35201,0.94777,0.99393,0.15259,0.00109,0.00109,0.00109
20,908.964,0.32609,0.94995,0.99405,0.14644,0.000595,0.000595,0.000595
