epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.2179,1.70258,0.83311,0.98664,0.48599,0.00333226,0.00333226,0.00333226
2,105.275,0.71334,0.90082,0.99588,0.28039,0.00653361,0.00653361,0.00653361
3,157.418,0.56426,0.91975,0.99759,0.21632,0.00960297,0.00960297,0.00960297
4,209.014,0.5142,0.93056,0.99823,0.18821,0.009406,0.009406,0.009406
5,259.543,0.46294,0.93456,0.99867,0.17226,0.009208,0.009208,0.009208
6,309.888,0.44795,0.93818,0.99873,0.16626,0.00901,0.00901,0.00901
7,360.634,0.43522,0.93929,0.99875,0.16408,0.008812,0.008812,0.008812
8,411.444,0.43093,0.93947,0.99873,0.16443,0.008614,0.008614,0.008614
9,462.096,0.42633,0.93917,0.99883,0.16502,0.008416,0.008416,0.008416
10,512.89,0.41546,0.93991,0.99879,0.16595,0.008218,0.008218,0.008218
11,563.703,0.41292,0.94065,0.99875,0.16506,0.00802,0.00802,0.00802
12,614.462,0.40327,0.9413,0.99873,0.16331,0.007822,0.007822,0.007822
13,665.217,0.39502,0.94188,0.99881,0.16101,0.007624,0.007624,0.007624
14,716.03,0.38764,0.94192,0.99877,0.15893,0.007426,0.007426,0.007426
15,767.115,0.38291,0.94401,0.99881,0.15537,0.007228,0.007228,0.007228
16,817.976,0.3792,0.94514,0.99893,0.15197,0.00703,0.00703,0.00703
17,869.021,0.37187,0.94609,0.99891,0.14894,0.006832,0.006832,0.006832
18,919.844,0.36718,0.94659,0.99909,0.14603,0.006634,0.006634,0.006634
19,971.161,0.35911,0.94723,0.99907,0.14353,0.006436,0.006436,0.006436
20,1023.58,0.35688,0.94796,0.99926,0.14082,0.006238,0.006238,0.006238
21,1074.9,0.35256,0.94842,0.99934,0.13868,0.00604,0.00604,0.00604
22,1126.07,0.34428,0.94955,0.99932,0.13589,0.005842,0.005842,0.005842
23,1177.33,0.3437,0.95007,0.9993,0.13388,0.005644,0.005644,0.005644
24,1228.66,0.33795,0.95075,0.9993,0.13206,0.005446,0.005446,0.005446
25,1279.67,0.33014,0.95136,0.99936,0.13067,0.005248,0.005248,0.005248
26,1330.85,0.32554,0.95198,0.99938,0.1291,0.00505,0.00505,0.00505
27,1382.23,0.31994,0.95252,0.99934,0.12765,0.004852,0.004852,0.004852
28,1433.32,0.31873,0.95343,0.99934,0.12616,0.004654,0.004654,0.004654
29,1484.7,0.30848,0.95379,0.9994,0.12468,0.004456,0.004456,0.004456
30,1536.03,0.30626,0.95345,0.99946,0.12338,0.004258,0.004258,0.004258
31,1587.78,0.30293,0.95445,0.99948,0.12215,0.00406,0.00406,0.00406
32,1639.2,0.29267,0.95478,0.99954,0.12092,0.003862,0.003862,0.003862
33,1690.53,0.29337,0.9553,0.99948,0.11969,0.003664,0.003664,0.003664
34,1741.92,0.28691,0.9559,0.99948,0.11828,0.003466,0.003466,0.003466
35,1793.1,0.28053,0.95639,0.99952,0.11674,0.003268,0.003268,0.003268
36,1844.14,0.27784,0.95655,0.99948,0.11553,0.00307,0.00307,0.00307
37,1895.29,0.26899,0.95735,0.99956,0.11373,0.002872,0.002872,0.002872
38,1946.75,0.26407,0.95771,0.9995,0.11207,0.002674,0.002674,0.002674
39,1998.05,0.25576,0.95779,0.99958,0.11069,0.002476,0.002476,0.002476
40,2049.36,0.2516,0.95826,0.99956,0.10888,0.002278,0.002278,0.002278
41,2102.59,0.24468,0.95828,0.99956,0.10757,0.00208,0.00208,0.00208
42,2155.04,0.23999,0.959,0.99962,0.10646,0.001882,0.001882,0.001882
43,2206.96,0.23201,0.95971,0.99962,0.10509,0.001684,0.001684,0.001684
44,2259.19,0.22539,0.96001,0.99964,0.10367,0.001486,0.001486,0.001486
45,2311.23,0.21406,0.96047,0.99968,0.10182,0.001288,0.001288,0.001288
46,2363.15,0.21012,0.96095,0.9997,0.1006,0.00109,0.00109,0.00109
47,2415.45,0.20019,0.96166,0.99964,0.09862,0.000892,0.000892,0.000892
48,2467.7,0.19001,0.96192,0.9997,0.09749,0.000694,0.000694,0.000694
49,2519.79,0.1831,0.96226,0.99968,0.09634,0.000496,0.000496,0.000496
50,2571.55,0.17472,0.96278,0.99966,0.09526,0.000298,0.000298,0.000298
