epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.9766,1.45487,0.88024,0.99302,0.34738,0.00333226,0.00333226,0.00333226
2,148.379,0.61704,0.90921,0.9972,0.25389,0.00653361,0.00653361,0.00653361
3,219.502,0.59783,0.91446,0.99702,0.22925,0.00960297,0.00960297,0.00960297
4,289.104,0.57106,0.92639,0.99785,0.19783,0.009406,0.009406,0.009406
5,359.189,0.5078,0.93172,0.99841,0.18463,0.009208,0.009208,0.009208
6,427.749,0.48137,0.93422,0.99841,0.17757,0.00901,0.00901,0.00901
7,496.984,0.46001,0.93629,0.99833,0.17422,0.008812,0.008812,0.008812
8,566.947,0.45123,0.93651,0.99835,0.17187,0.008614,0.008614,0.008614
9,636.431,0.44528,0.9373,0.99849,0.16953,0.008416,0.008416,0.008416
10,705.78,0.43132,0.93814,0.99843,0.16783,0.008218,0.008218,0.008218
11,774.683,0.42555,0.93903,0.99857,0.16559,0.00802,0.00802,0.00802
12,845.496,0.41512,0.93959,0.99867,0.16288,0.007822,0.007822,0.007822
13,916.051,0.40788,0.94057,0.99871,0.16034,0.007624,0.007624,0.007624
14,986.385,0.40221,0.94104,0.99869,0.1583,0.007426,0.007426,0.007426
15,1056.45,0.39738,0.94271,0.99889,0.15496,0.007228,0.007228,0.007228
16,1125.73,0.39078,0.94385,0.99907,0.15225,0.00703,0.00703,0.00703
17,1195.15,0.38502,0.94476,0.99911,0.14951,0.006832,0.006832,0.006832
18,1267.14,0.38033,0.94522,0.99924,0.14661,0.006634,0.006634,0.006634
19,1339.17,0.37389,0.94613,0.99934,0.14468,0.006436,0.006436,0.006436
20,1406.63,0.36972,0.94633,0.99936,0.14286,0.006238,0.006238,0.006238
21,1476.24,0.36677,0.94707,0.99932,0.14085,0.00604,0.00604,0.00604
22,1547.3,0.35903,0.9476,0.9993,0.13838,0.005842,0.005842,0.005842
23,1617.64,0.35794,0.9481,0.9993,0.13678,0.005644,0.005644,0.005644
24,1688.62,0.35192,0.94886,0.99934,0.13506,0.005446,0.005446,0.005446
25,1758.92,0.34684,0.94943,0.99932,0.13403,0.005248,0.005248,0.005248
26,1828.86,0.34096,0.94991,0.9994,0.13243,0.00505,0.00505,0.00505
27,1899.29,0.33604,0.95027,0.9994,0.1315,0.004852,0.004852,0.004852
28,1970.16,0.33005,0.95047,0.99936,0.12985,0.004654,0.004654,0.004654
29,2041.35,0.32377,0.95083,0.9994,0.12829,0.004456,0.004456,0.004456
30,2111.59,0.32003,0.95182,0.9994,0.12689,0.004258,0.004258,0.004258
31,2182.57,0.31661,0.95283,0.99948,0.12537,0.00406,0.00406,0.00406
32,2252.38,0.3081,0.95287,0.99948,0.12465,0.003862,0.003862,0.003862
33,2322.89,0.3056,0.95315,0.99948,0.12345,0.003664,0.003664,0.003664
34,2393.3,0.30117,0.95393,0.9995,0.12201,0.003466,0.003466,0.003466
35,2464.39,0.29342,0.95427,0.99948,0.12051,0.003268,0.003268,0.003268
36,2534.09,0.29019,0.9549,0.99948,0.11915,0.00307,0.00307,0.00307
37,2604.48,0.28281,0.9555,0.99954,0.11739,0.002872,0.002872,0.002872
38,2674.74,0.27631,0.95526,0.9995,0.11563,0.002674,0.002674,0.002674
39,2745.41,0.26939,0.9561,0.99954,0.11407,0.002476,0.002476,0.002476
40,2815.81,0.26357,0.95705,0.9996,0.1121,0.002278,0.002278,0.002278
41,2888.03,0.25586,0.95765,0.9996,0.11062,0.00208,0.00208,0.00208
42,2958.31,0.25039,0.95818,0.99956,0.10928,0.001882,0.001882,0.001882
43,3029.05,0.24102,0.9586,0.99958,0.10773,0.001684,0.001684,0.001684
44,3099.27,0.23746,0.9593,0.99952,0.10616,0.001486,0.001486,0.001486
45,3169.89,0.22563,0.95989,0.9996,0.10424,0.001288,0.001288,0.001288
46,3241.14,0.21871,0.96069,0.9996,0.10317,0.00109,0.00109,0.00109
47,3312.34,0.21052,0.96105,0.9996,0.10121,0.000892,0.000892,0.000892
48,3383.45,0.19875,0.96136,0.99962,0.09999,0.000694,0.000694,0.000694
49,3454.8,0.19119,0.9619,0.9996,0.09838,0.000496,0.000496,0.000496
50,3525.45,0.1827,0.9623,0.9996,0.09718,0.000298,0.000298,0.000298
