epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,69.3395,1.80041,0.85377,0.98859,0.43075,0.00333226,0.00333226,0.00333226
2,138.18,0.58775,0.92462,0.99769,0.2081,0.00653361,0.00653361,0.00653361
3,206.61,0.42526,0.93456,0.99807,0.17502,0.00960297,0.00960297,0.00960297
4,274.738,0.38603,0.94442,0.99909,0.14474,0.009406,0.009406,0.009406
5,344.02,0.35127,0.94848,0.99918,0.13293,0.009208,0.009208,0.009208
6,411.889,0.34519,0.95017,0.99934,0.1284,0.00901,0.00901,0.00901
7,478.974,0.34396,0.95116,0.99924,0.12739,0.008812,0.008812,0.008812
8,547.054,0.34628,0.95122,0.9992,0.1278,0.008614,0.008614,0.008614
9,614.722,0.34473,0.9514,0.99916,0.12792,0.008416,0.008416,0.008416
10,682.011,0.33925,0.95164,0.99916,0.1287,0.008218,0.008218,0.008218
11,748.281,0.33986,0.95204,0.99907,0.12914,0.00802,0.00802,0.00802
12,814.035,0.33214,0.9514,0.99918,0.12896,0.007822,0.007822,0.007822
13,880.651,0.32409,0.95192,0.99918,0.12814,0.007624,0.007624,0.007624
14,946.418,0.31854,0.95196,0.99936,0.12666,0.007426,0.007426,0.007426
15,1012.22,0.31605,0.95323,0.99954,0.12431,0.007228,0.007228,0.007228
16,1078.58,0.30893,0.95407,0.99962,0.12207,0.00703,0.00703,0.00703
17,1144.72,0.30497,0.95488,0.99956,0.11954,0.006832,0.006832,0.006832
18,1211.11,0.30089,0.95576,0.99964,0.11744,0.006634,0.006634,0.006634
19,1277.52,0.29302,0.95596,0.9997,0.11548,0.006436,0.006436,0.006436
20,1343.72,0.29187,0.95618,0.99968,0.11387,0.006238,0.006238,0.006238
21,1410.08,0.28504,0.95653,0.99968,0.11251,0.00604,0.00604,0.00604
22,1476.24,0.27976,0.95719,0.99968,0.11037,0.005842,0.005842,0.005842
23,1542.28,0.27846,0.95796,0.99972,0.10871,0.005644,0.005644,0.005644
24,1608.79,0.27411,0.95812,0.99974,0.10758,0.005446,0.005446,0.005446
25,1674.93,0.26777,0.95836,0.99976,0.10618,0.005248,0.005248,0.005248
26,1741.82,0.26268,0.95944,0.99976,0.10482,0.00505,0.00505,0.00505
27,1808.5,0.25759,0.96013,0.99974,0.10315,0.004852,0.004852,0.004852
28,1875.51,0.25446,0.96039,0.99978,0.1011,0.004654,0.004654,0.004654
29,1941.56,0.24713,0.96009,0.9998,0.09947,0.004456,0.004456,0.004456
30,2007.6,0.2461,0.96071,0.9998,0.0984,0.004258,0.004258,0.004258
31,2074.46,0.24255,0.96055,0.99978,0.09754,0.00406,0.00406,0.00406
32,2140.61,0.23274,0.96136,0.99978,0.09696,0.003862,0.003862,0.003862
33,2206.82,0.2303,0.96206,0.9998,0.09568,0.003664,0.003664,0.003664
34,2272.92,0.22737,0.96246,0.99982,0.09437,0.003466,0.003466,0.003466
35,2343.72,0.21855,0.96311,0.9998,0.09288,0.003268,0.003268,0.003268
36,2412.44,0.21825,0.96375,0.99982,0.09167,0.00307,0.00307,0.00307
37,2480.3,0.20975,0.96419,0.99982,0.0905,0.002872,0.002872,0.002872
38,2547.27,0.20565,0.96461,0.99984,0.08916,0.002674,0.002674,0.002674
39,2616.21,0.19923,0.96461,0.99982,0.0882,0.002476,0.002476,0.002476
40,2684.46,0.19454,0.96512,0.99986,0.08715,0.002278,0.002278,0.002278
41,2759.53,0.18802,0.96566,0.99986,0.08628,0.00208,0.00208,0.00208
42,2832.03,0.18262,0.96636,0.99984,0.08506,0.001882,0.001882,0.001882
43,2905.5,0.17541,0.96689,0.99986,0.08393,0.001684,0.001684,0.001684
44,2977.86,0.17144,0.96705,0.99986,0.08285,0.001486,0.001486,0.001486
45,3049.85,0.16057,0.96761,0.99986,0.08103,0.001288,0.001288,0.001288
46,3123.81,0.15576,0.96783,0.99986,0.08013,0.00109,0.00109,0.00109
47,3198.26,0.14819,0.9684,0.99984,0.07887,0.000892,0.000892,0.000892
48,3271,0.13968,0.96884,0.99984,0.078,0.000694,0.000694,0.000694
49,3344.02,0.13303,0.96898,0.99982,0.077,0.000496,0.000496,0.000496
50,3416.38,0.12667,0.96934,0.99982,0.07619,0.000298,0.000298,0.000298
