epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.697,1.71072,0.85496,0.98996,0.42025,0.00333226,0.00333226,0.00333226
2,104.223,0.61336,0.91897,0.9973,0.22722,0.00653361,0.00653361,0.00653361
3,156.182,0.47041,0.92832,0.99759,0.19074,0.00960297,0.00960297,0.00960297
4,207.655,0.43073,0.94049,0.99887,0.16183,0.009406,0.009406,0.009406
5,259.068,0.3889,0.94442,0.99913,0.14639,0.009208,0.009208,0.009208
6,310.888,0.37951,0.94641,0.99909,0.1415,0.00901,0.00901,0.00901
7,362.386,0.37344,0.94711,0.99905,0.14106,0.008812,0.008812,0.008812
8,414.287,0.37513,0.94774,0.99911,0.14127,0.008614,0.008614,0.008614
9,465.734,0.36965,0.94786,0.99913,0.14125,0.008416,0.008416,0.008416
10,519.098,0.36632,0.94768,0.99913,0.14222,0.008218,0.008218,0.008218
11,570.792,0.36367,0.94788,0.99901,0.14311,0.00802,0.00802,0.00802
12,623.991,0.35482,0.94766,0.99897,0.14265,0.007822,0.007822,0.007822
13,676.73,0.34845,0.94802,0.99911,0.14093,0.007624,0.007624,0.007624
14,728.976,0.34245,0.94882,0.99913,0.1394,0.007426,0.007426,0.007426
15,783.405,0.33795,0.94961,0.99924,0.1363,0.007228,0.007228,0.007228
16,836.038,0.33305,0.94993,0.99934,0.1335,0.00703,0.00703,0.00703
17,890.634,0.3264,0.95093,0.9994,0.13051,0.006832,0.006832,0.006832
18,946.468,0.32289,0.95128,0.9994,0.1283,0.006634,0.006634,0.006634
19,998.591,0.31589,0.9517,0.99938,0.12658,0.006436,0.006436,0.006436
20,1053.46,0.31112,0.95268,0.99946,0.12452,0.006238,0.006238,0.006238
21,1105.1,0.30825,0.95353,0.99952,0.12265,0.00604,0.00604,0.00604
22,1157.12,0.3032,0.95435,0.99954,0.12057,0.005842,0.005842,0.005842
23,1209.22,0.29993,0.95518,0.99958,0.11852,0.005644,0.005644,0.005644
24,1261.2,0.29806,0.95556,0.99952,0.11646,0.005446,0.005446,0.005446
25,1313.17,0.29027,0.9561,0.99954,0.11495,0.005248,0.005248,0.005248
26,1365,0.2851,0.95693,0.99954,0.11292,0.00505,0.00505,0.00505
27,1416.78,0.27962,0.95824,0.99954,0.11121,0.004852,0.004852,0.004852
28,1468.47,0.27524,0.95868,0.99964,0.10929,0.004654,0.004654,0.004654
29,1520.69,0.26916,0.95963,0.99962,0.1081,0.004456,0.004456,0.004456
30,1573.05,0.26722,0.95952,0.9996,0.10712,0.004258,0.004258,0.004258
31,1624.92,0.26233,0.95928,0.99962,0.10594,0.00406,0.00406,0.00406
32,1678.12,0.25378,0.95932,0.99964,0.10511,0.003862,0.003862,0.003862
33,1730.95,0.25258,0.95997,0.99966,0.10402,0.003664,0.003664,0.003664
34,1782.08,0.24955,0.95989,0.9996,0.10316,0.003466,0.003466,0.003466
35,1834.96,0.24034,0.96065,0.99964,0.10205,0.003268,0.003268,0.003268
36,1885.5,0.23872,0.96065,0.99964,0.10107,0.00307,0.00307,0.00307
37,1935.66,0.22955,0.96103,0.99966,0.09952,0.002872,0.002872,0.002872
38,1987.52,0.22589,0.96125,0.99966,0.09808,0.002674,0.002674,0.002674
39,2039.52,0.21833,0.96119,0.99968,0.09682,0.002476,0.002476,0.002476
40,2091.54,0.21503,0.96196,0.9997,0.09516,0.002278,0.002278,0.002278
41,2144.2,0.20813,0.96242,0.99972,0.09347,0.00208,0.00208,0.00208
42,2196.74,0.20247,0.96339,0.99974,0.09193,0.001882,0.001882,0.001882
43,2248.86,0.19315,0.96417,0.99974,0.09063,0.001684,0.001684,0.001684
44,2301.03,0.19074,0.96445,0.99976,0.08933,0.001486,0.001486,0.001486
45,2352.89,0.17931,0.96506,0.99974,0.08761,0.001288,0.001288,0.001288
46,2405.3,0.1747,0.96536,0.99974,0.08662,0.00109,0.00109,0.00109
47,2457.7,0.16542,0.96558,0.99974,0.085,0.000892,0.000892,0.000892
48,2510.2,0.15576,0.96602,0.99976,0.08413,0.000694,0.000694,0.000694
49,2562.06,0.14993,0.96624,0.99976,0.08271,0.000496,0.000496,0.000496
50,2613.81,0.14344,0.96673,0.9998,0.08165,0.000298,0.000298,0.000298
