epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,167.816,1.56711,0.85765,0.98978,0.40459,0.00999677,0.00333226,0.00999677,0.00333226,0.00999677,0.00333226,0.00999677,0.00333226
2,332.822,0.61817,0.91398,0.99698,0.23807,0.0196008,0.00653361,0.0196008,0.00653361,0.0196008,0.00653361,0.0196008,0.00653361
3,497.567,0.52068,0.92637,0.99726,0.19987,0.0288089,0.00960297,0.0288089,0.00960297,0.0288089,0.00960297,0.0288089,0.00960297
4,661.477,0.49588,0.93343,0.99853,0.17727,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,825.014,0.44712,0.93868,0.99897,0.16121,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,986.811,0.42693,0.94192,0.99895,0.15315,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1150.83,0.41106,0.94327,0.99911,0.15048,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1314.93,0.40076,0.94369,0.99913,0.1491,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1478.72,0.39401,0.94482,0.99922,0.14677,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1642,0.38519,0.94524,0.99922,0.14563,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1806.22,0.38101,0.9458,0.9992,0.14375,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1969.59,0.37071,0.94707,0.99918,0.14172,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2133.26,0.36525,0.94701,0.99907,0.13995,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2296.14,0.35658,0.94677,0.99926,0.13879,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2459.71,0.3562,0.94804,0.99928,0.13623,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2624.51,0.34955,0.9486,0.9993,0.13438,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2787.82,0.34471,0.94922,0.99934,0.13233,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2951.89,0.33868,0.94995,0.99938,0.12995,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3117.19,0.33215,0.95106,0.99934,0.12795,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3280.52,0.33003,0.95164,0.99946,0.12613,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3443.23,0.32764,0.95234,0.99946,0.12447,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3606.39,0.31845,0.95311,0.99942,0.12247,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3768.99,0.31718,0.95369,0.99942,0.12083,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,3932.3,0.31472,0.95395,0.99952,0.11942,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4095.56,0.30605,0.95377,0.99952,0.11838,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4260.14,0.30207,0.95516,0.99948,0.11705,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4423.73,0.29665,0.9556,0.99948,0.116,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,4587.23,0.29342,0.956,0.99952,0.11462,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,4751.92,0.2864,0.95633,0.9995,0.11282,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,4915.84,0.28294,0.95691,0.99952,0.11112,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,5079.94,0.2822,0.95757,0.99958,0.11003,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5243.06,0.27287,0.95729,0.99954,0.10929,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5406.51,0.26999,0.95789,0.99956,0.10787,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5570.82,0.26554,0.9583,0.99956,0.10678,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5736.06,0.25931,0.9584,0.99964,0.10526,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5899.73,0.25831,0.95894,0.99962,0.10409,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6063.31,0.25004,0.9592,0.99966,0.10307,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6227.19,0.24309,0.95944,0.99962,0.10184,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6390.99,0.23852,0.95958,0.99962,0.10112,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6554.73,0.23306,0.96015,0.99962,0.09965,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,6720.96,0.22715,0.96055,0.99964,0.09856,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,6885.85,0.22271,0.96123,0.99962,0.09745,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7051.07,0.21357,0.9618,0.9997,0.0963,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7216.3,0.20913,0.96168,0.99964,0.09533,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7381.25,0.19949,0.962,0.99968,0.09405,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,7546.34,0.19439,0.96258,0.99966,0.09322,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,7710.93,0.18653,0.96321,0.99966,0.09176,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,7876.57,0.17743,0.96353,0.99974,0.09095,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8041.56,0.17108,0.96383,0.99972,0.09,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8206.41,0.1645,0.96457,0.99976,0.08913,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
