epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,43.0856,1.96441,0.82245,0.98806,0.5083,0.00333192,0.00333192,0.00333192
2,85.9373,0.80043,0.90275,0.99644,0.26663,0.00653328,0.00653328,0.00653328
3,129.272,0.61165,0.92161,0.99748,0.21484,0.00960264,0.00960264,0.00960264
4,171.796,0.54138,0.94526,0.99764,0.15272,0.009406,0.009406,0.009406
5,213.897,0.46376,0.9495,0.99883,0.13112,0.009208,0.009208,0.009208
6,254.671,0.42952,0.95645,0.99899,0.11777,0.00901,0.00901,0.00901
7,295.461,0.42031,0.95802,0.99923,0.11296,0.008812,0.008812,0.008812
8,334.909,0.41006,0.95813,0.99926,0.11151,0.008614,0.008614,0.008614
9,374.298,0.4068,0.95927,0.99918,0.11124,0.008416,0.008416,0.008416
10,413.688,0.39741,0.95969,0.99915,0.11144,0.008218,0.008218,0.008218
11,453.306,0.38992,0.96001,0.99912,0.11135,0.00802,0.00802,0.00802
12,494.102,0.38514,0.96017,0.99907,0.11196,0.007822,0.007822,0.007822
13,534.284,0.37424,0.96036,0.99902,0.11193,0.007624,0.007624,0.007624
14,575.686,0.3745,0.96065,0.99899,0.1117,0.007426,0.007426,0.007426
15,615.768,0.36342,0.96131,0.99902,0.11101,0.007228,0.007228,0.007228
16,656.284,0.36074,0.96176,0.99902,0.1107,0.00703,0.00703,0.00703
17,696.023,0.35382,0.96158,0.99912,0.10998,0.006832,0.006832,0.006832
18,737.027,0.34823,0.962,0.99923,0.10827,0.006634,0.006634,0.006634
19,777.249,0.34273,0.96304,0.99926,0.10607,0.006436,0.006436,0.006436
20,817.221,0.33475,0.96317,0.99931,0.10411,0.006238,0.006238,0.006238
21,855.826,0.33378,0.96383,0.99936,0.10249,0.00604,0.00604,0.00604
22,895.4,0.32478,0.96447,0.99928,0.10084,0.005842,0.005842,0.005842
23,935.206,0.31875,0.96473,0.99928,0.09893,0.005644,0.005644,0.005644
24,975.38,0.31375,0.96524,0.99936,0.09684,0.005446,0.005446,0.005446
25,1015.31,0.3111,0.96585,0.99944,0.09499,0.005248,0.005248,0.005248
26,1056.28,0.30566,0.96582,0.99944,0.09355,0.00505,0.00505,0.00505
27,1096.65,0.30088,0.96641,0.99944,0.09197,0.004852,0.004852,0.004852
28,1138.96,0.29464,0.96672,0.99947,0.09049,0.004654,0.004654,0.004654
29,1181.39,0.2897,0.96747,0.99944,0.0887,0.004456,0.004456,0.004456
30,1223.32,0.28253,0.96802,0.99952,0.08766,0.004258,0.004258,0.004258
31,1265.23,0.28071,0.96874,0.9995,0.08595,0.00406,0.00406,0.00406
32,1308.29,0.27256,0.9694,0.9995,0.08428,0.003862,0.003862,0.003862
33,1350.76,0.26482,0.96986,0.99944,0.08321,0.003664,0.003664,0.003664
34,1392.37,0.26313,0.96988,0.99944,0.08213,0.003466,0.003466,0.003466
35,1434.15,0.25761,0.96988,0.99947,0.08097,0.003268,0.003268,0.003268
36,1475.51,0.25236,0.97039,0.9995,0.07993,0.00307,0.00307,0.00307
37,1517.6,0.24302,0.97062,0.99955,0.07853,0.002872,0.002872,0.002872
38,1558.06,0.23687,0.9706,0.99952,0.07726,0.002674,0.002674,0.002674
39,1598.48,0.23637,0.97102,0.9996,0.07598,0.002476,0.002476,0.002476
40,1638.84,0.22674,0.97161,0.9996,0.07505,0.002278,0.002278,0.002278
41,1679.44,0.21819,0.97174,0.99966,0.07396,0.00208,0.00208,0.00208
42,1720.32,0.21697,0.97214,0.99966,0.07308,0.001882,0.001882,0.001882
43,1762.48,0.20727,0.97195,0.99963,0.07221,0.001684,0.001684,0.001684
44,1806.09,0.19918,0.97214,0.99958,0.07151,0.001486,0.001486,0.001486
45,1849.18,0.18977,0.97251,0.9996,0.07039,0.001288,0.001288,0.001288
46,1891.82,0.18543,0.97307,0.99963,0.06948,0.00109,0.00109,0.00109
47,1932.89,0.17533,0.97328,0.9996,0.06871,0.000892,0.000892,0.000892
48,1975.18,0.16823,0.97365,0.99955,0.06789,0.000694,0.000694,0.000694
49,2017.94,0.16136,0.97405,0.99963,0.06691,0.000496,0.000496,0.000496
50,2060.33,0.15472,0.97413,0.99963,0.06601,0.000298,0.000298,0.000298
