epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,344.533,0.97613,0.93948,0.99825,0.15008,0.00999919,0.00333306,0.00999919,0.00333306,0.00999919,0.00333306,0.00999919,0.00333306
2,622.517,0.46387,0.95265,0.99889,0.1197,0.0198012,0.0066004,0.0198012,0.0066004,0.0198012,0.0066004,0.0198012,0.0066004
3,877.049,0.46162,0.94992,0.99855,0.13254,0.0294052,0.00980174,0.0294052,0.00980174,0.0294052,0.00980174,0.0294052,0.00980174
4,1121.41,0.40365,0.94184,0.99724,0.17958,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1365.01,0.34102,0.94216,0.99683,0.18237,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1606.76,0.31858,0.94732,0.99754,0.16114,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1850.14,0.30465,0.95166,0.9981,0.14006,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2091.77,0.29638,0.95614,0.99857,0.12242,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2332.61,0.28983,0.95894,0.99881,0.11074,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2576.89,0.28489,0.96086,0.99895,0.10319,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2819.73,0.28087,0.96176,0.99905,0.09734,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3063.8,0.27672,0.96293,0.99909,0.09312,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3306.46,0.27371,0.96396,0.99921,0.08959,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3548.74,0.2698,0.96547,0.99925,0.08662,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3791.56,0.26766,0.96624,0.99933,0.08464,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4034.08,0.2652,0.9666,0.99942,0.08265,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4278.19,0.262,0.96713,0.99946,0.08077,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4522.71,0.25799,0.96729,0.99946,0.07952,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4782.09,0.25644,0.96747,0.99946,0.0785,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5046.52,0.25533,0.96834,0.99946,0.07765,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5311.52,0.25519,0.96803,0.9995,0.07675,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5573.98,0.25078,0.96896,0.9995,0.07633,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5817.34,0.24926,0.96886,0.99952,0.07534,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6058.02,0.24791,0.96902,0.9995,0.07473,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6302.06,0.24643,0.96959,0.9995,0.0741,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6547.27,0.24412,0.96969,0.9995,0.07354,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6789.41,0.24403,0.96985,0.99956,0.0732,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7032.26,0.24123,0.97013,0.9995,0.07238,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7273.91,0.23671,0.97023,0.99954,0.07145,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7518.54,0.23586,0.97021,0.99954,0.07115,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7761.95,0.23416,0.97031,0.99956,0.07069,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8005.6,0.23518,0.97041,0.9996,0.07061,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8248.85,0.23124,0.97064,0.99956,0.07049,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8492.35,0.22748,0.9711,0.99956,0.07007,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8737.05,0.23042,0.97138,0.99954,0.06951,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8983.5,0.22781,0.97156,0.99956,0.0694,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9225.81,0.22677,0.97229,0.99958,0.06906,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9468.23,0.22235,0.97247,0.99958,0.06801,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9710.54,0.22476,0.97231,0.99956,0.06763,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
